From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,84.07,197.08,55.07,89.9,144.97,19.16,41.7
01-01-2019 00:15,01-01-2019 00:30,85.67,208.62,58.46,91,149.47,19.73,45.15
01-01-2019 00:30,01-01-2019 00:45,91.38,239.47,63.63,94.51,158.14,20.53,47.04
01-01-2019 00:45,01-01-2019 01:00,109.43,280.34,66.97,99.06,166.03,20.53,51.46
01-01-2019 01:00,01-01-2019 01:15,125.74,333.79,78.52,102.95,181.48,21.19,54.48
01-01-2019 01:15,01-01-2019 01:30,135.13,375.25,85.42,106.42,191.84,21.69,55.28
01-01-2019 01:30,01-01-2019 01:45,144.92,397.6,92.5,104.35,196.85,21.33,55.88
01-01-2019 01:45,01-01-2019 02:00,146.62,396.23,98.43,113.68,212.12,20.02,56.82
01-01-2019 02:00,01-01-2019 02:15,148.32,394.74,108.85,108.41,217.26,22.44,57.19
01-01-2019 02:15,01-01-2019 02:30,143.87,400.31,111.63,106.11,217.75,23.2,55.69
01-01-2019 02:30,01-01-2019 02:45,141.11,393.54,119.23,106.63,225.87,24.03,56.18
01-01-2019 02:45,01-01-2019 03:00,139.83,390.77,126.6,108.08,234.68,22.09,57.46
01-01-2019 03:00,01-01-2019 03:15,146.2,391.71,130.58,107.65,238.23,23.9,58.38
01-01-2019 03:15,01-01-2019 03:30,151.27,404.81,135.96,102.02,237.99,23.32,59.99
01-01-2019 03:30,01-01-2019 03:45,148.09,402.43,137.9,99.32,237.23,24.3,59.59
01-01-2019 03:45,01-01-2019 04:00,145.54,402.49,141.7,89.56,231.26,23.86,59.88
01-01-2019 04:00,01-01-2019 04:15,146.67,404.5,146.28,97.79,244.08,22.49,60.93
01-01-2019 04:15,01-01-2019 04:30,145.87,413.18,145.23,94.44,239.67,24,59.61
01-01-2019 04:30,01-01-2019 04:45,144.74,409.69,142.88,81,223.88,25.55,56.03
01-01-2019 04:45,01-01-2019 05:00,146.31,384.35,140.23,84.84,225.07,23.34,51.03
01-01-2019 05:00,01-01-2019 05:15,142.76,344.25,134.97,87.93,222.91,24.6,44.37
01-01-2019 05:15,01-01-2019 05:30,124.37,281.09,126.09,87.96,214.05,25.97,43.54
01-01-2019 05:30,01-01-2019 05:45,102.42,230.35,122.09,83.29,205.39,21.71,43.39
01-01-2019 05:45,01-01-2019 06:00,90.24,217.65,115.16,82.31,197.48,23.15,43.06
01-01-2019 06:00,01-01-2019 06:15,90.16,229.43,107.17,79.36,186.52,22.91,41.72
01-01-2019 06:15,01-01-2019 06:30,90.4,232.64,101.95,87.04,188.99,22.36,40.09
01-01-2019 06:30,01-01-2019 06:45,91.52,219.62,95.45,79.7,175.15,24.58,38.61
01-01-2019 06:45,01-01-2019 07:00,87.72,215.23,89.21,87.29,176.51,22.48,38.16
01-01-2019 07:00,01-01-2019 07:15,84.88,208.48,83.89,88.93,172.82,20.04,38.51
01-01-2019 07:15,01-01-2019 07:30,80.77,222.98,82.32,88.01,170.34,23.6,38.37
01-01-2019 07:30,01-01-2019 07:45,87.16,224.32,80.73,84.72,165.45,27.72,38.58
01-01-2019 07:45,01-01-2019 08:00,80.7,233.61,78.85,83.13,161.99,29.42,38.89
01-01-2019 08:00,01-01-2019 08:15,80.35,243.67,79.06,78.09,157.16,30.73,39.44
01-01-2019 08:15,01-01-2019 08:30,77.84,252.96,79.48,75.65,155.13,31.93,39.33
01-01-2019 08:30,01-01-2019 08:45,81.26,244.16,84.6,66.66,151.27,35.09,37.77
01-01-2019 08:45,01-01-2019 09:00,77.66,227.39,80.46,67.37,147.84,29.29,35.55
01-01-2019 09:00,01-01-2019 09:15,78.31,214.98,84.42,63.96,148.38,40.39,35.64
01-01-2019 09:15,01-01-2019 09:30,73.96,211.3,84.32,63.88,148.21,42.64,36.21
01-01-2019 09:30,01-01-2019 09:45,74.1,207.5,87.2,56.76,143.96,43.17,37.08
01-01-2019 09:45,01-01-2019 10:00,80.45,215.94,83.87,73.29,157.16,33.27,35.78
01-01-2019 10:00,01-01-2019 10:15,72.83,216.78,33.62,47.45,80.77,24.36,34.06
01-01-2019 10:15,01-01-2019 10:30,61.6,215.76,58.38,83.84,141.83,26.82,32.55
01-01-2019 10:30,01-01-2019 10:45,52.63,208.32,48.56,78.67,127.23,25.15,35.47
01-01-2019 10:45,01-01-2019 11:00,56.4,203.68,36.45,90.39,126.74,24.99,33.73
01-01-2019 11:00,01-01-2019 11:15,65.68,210.42,29.88,94.96,124.84,22.71,34.86
01-01-2019 11:15,01-01-2019 11:30,68.18,220.15,23.45,96.02,119.32,24.41,34.67
01-01-2019 11:30,01-01-2019 11:45,66.07,218.05,18.54,92.28,110.7,21.81,32.81
01-01-2019 11:45,01-01-2019 12:00,60.12,193.38,16.04,93.3,109.35,24.76,32.14
01-01-2019 12:00,01-01-2019 12:15,58.85,178.32,15.38,91.84,107.23,22.92,30.51
01-01-2019 12:15,01-01-2019 12:30,57.68,169.68,13.3,91.15,104.42,20.56,29.26
01-01-2019 12:30,01-01-2019 12:45,54.01,165.05,8.43,92.26,100.66,22.42,29.68
01-01-2019 12:45,01-01-2019 13:00,52.92,152.97,28.21,62.61,90.83,17.97,29.4
01-01-2019 13:00,01-01-2019 13:15,48.36,136.7,34.4,55.66,90.06,35.36,31.92
01-01-2019 13:15,01-01-2019 13:30,46.22,130.85,32.76,51,83.76,23.53,36.31
01-01-2019 13:30,01-01-2019 13:45,39.86,141.13,31.88,45.47,77.35,29.57,52.43
01-01-2019 13:45,01-01-2019 14:00,45.65,171.29,31.53,42.54,74.08,22.75,53.16
01-01-2019 14:00,01-01-2019 14:15,66.65,183.22,31.88,39.27,71.15,20.14,50.32
01-01-2019 14:15,01-01-2019 14:30,72.81,183.4,32.18,34.69,66.88,18.69,53.3
01-01-2019 14:30,01-01-2019 14:45,71.8,171.53,31.49,34.87,66.36,17.92,49.78
01-01-2019 14:45,01-01-2019 15:00,65.13,166.86,32.07,31.52,63.6,16.92,46.32
01-01-2019 15:00,01-01-2019 15:15,60.27,149.74,31.38,31.66,63.05,16.47,51.02
01-01-2019 15:15,01-01-2019 15:30,50.59,131.81,32.09,29.24,61.33,16.31,48.47
01-01-2019 15:30,01-01-2019 15:45,48.78,122.83,30.99,30.95,61.95,15.96,48.36
01-01-2019 15:45,01-01-2019 16:00,43.71,125.91,31.84,30.45,62.29,15.49,48.94
01-01-2019 16:00,01-01-2019 16:15,36.73,145.42,31.98,27.63,59.62,15.23,44.95
01-01-2019 16:15,01-01-2019 16:30,42.54,160.73,32.21,27.45,59.67,15.77,50.07
01-01-2019 16:30,01-01-2019 16:45,56.74,160.43,32.84,26.43,59.28,15.18,51.98
01-01-2019 16:45,01-01-2019 17:00,56.99,138.5,31.68,26.85,58.53,14.9,49.18
01-01-2019 17:00,01-01-2019 17:15,48.8,138.4,32.36,26,58.36,15.09,52.9
01-01-2019 17:15,01-01-2019 17:30,44.49,147.39,31.85,28.06,59.91,14.8,52.05
01-01-2019 17:30,01-01-2019 17:45,48.36,158.01,32.09,27.21,59.3,14.99,48.55
01-01-2019 17:45,01-01-2019 18:00,56.01,145.11,32.72,25.38,58.1,16.05,45.24
01-01-2019 18:00,01-01-2019 18:15,56.01,142.37,32.71,27.51,60.22,16.07,50.32
01-01-2019 18:15,01-01-2019 18:30,52.28,140.17,32.24,27.62,59.87,14.09,46.31
01-01-2019 18:30,01-01-2019 18:45,46.37,139.63,32.59,30.3,62.9,14.52,45.71
01-01-2019 18:45,01-01-2019 19:00,50.33,144.6,32.16,30.1,62.26,13.93,46.4
01-01-2019 19:00,01-01-2019 19:15,48.45,143.81,31.13,32.25,63.38,14.33,46.81
01-01-2019 19:15,01-01-2019 19:30,46.8,139.56,32.87,29.52,62.4,14.26,46.51
01-01-2019 19:30,01-01-2019 19:45,48.04,132.28,32.72,31.5,64.22,13.05,48.04
01-01-2019 19:45,01-01-2019 20:00,57.08,136.15,32.16,33.91,66.07,12.25,47.55
01-01-2019 20:00,01-01-2019 20:15,56.31,148.12,32.82,32.5,65.33,12.42,47.68
01-01-2019 20:15,01-01-2019 20:30,48.83,160.05,32.26,36.35,68.62,14.03,46.56
01-01-2019 20:30,01-01-2019 20:45,48.98,161.99,32.69,37.89,70.58,12.61,47.64
01-01-2019 20:45,01-01-2019 21:00,59.22,164.35,33.11,37.57,70.69,13.05,47.79
01-01-2019 21:00,01-01-2019 21:15,64.2,176.41,32.95,39.42,72.37,12.59,48.95
01-01-2019 21:15,01-01-2019 21:30,61.69,178.2,37.26,40.67,77.94,17.17,51.25
01-01-2019 21:30,01-01-2019 21:45,61.21,174.53,46.89,41.97,88.87,25.29,51.48
01-01-2019 21:45,01-01-2019 22:00,59.98,179.43,54.37,46.28,100.65,25.88,50.1
01-01-2019 22:00,01-01-2019 22:15,56.84,198,55.68,52.65,108.33,26.42,46.23
01-01-2019 22:15,01-01-2019 22:30,59.34,208.05,54.64,55.44,110.08,26.37,44.48
01-01-2019 22:30,01-01-2019 22:45,71.74,197.37,56.31,61.35,117.66,26.85,43.11
01-01-2019 22:45,01-01-2019 23:00,71.75,179.08,61.62,69.08,130.71,26.27,44.55
01-01-2019 23:00,01-01-2019 23:15,66.25,170.31,62.49,71.41,133.9,26.49,43.2
01-01-2019 23:15,01-01-2019 23:30,57.69,176.59,63.41,76.22,139.63,27.23,44.53
01-01-2019 23:30,01-01-2019 23:45,60.58,184.64,67.49,81.96,149.46,27.9,43.8
01-01-2019 23:45,02-01-2019 00:00,64.45,194.18,69.67,81.49,151.17,26.67,42.62
02-01-2019 00:00,02-01-2019 00:15,64.38,188.75,72.06,83.34,155.4,27.2,43.08
02-01-2019 00:15,02-01-2019 00:30,63.51,180.48,79.36,88.39,167.75,27.62,45.41
02-01-2019 00:30,02-01-2019 00:45,57.41,187.66,86.67,90.55,177.22,28.38,44.24
02-01-2019 00:45,02-01-2019 01:00,65.94,213.45,92.93,95.69,188.62,29.15,44.14
02-01-2019 01:00,02-01-2019 01:15,76.03,232.83,95.37,98.57,193.94,28.69,46.43
02-01-2019 01:15,02-01-2019 01:30,81.21,232.27,99.14,95.77,194.92,30.12,47.29
02-01-2019 01:30,02-01-2019 01:45,87.61,233.75,105.03,101.12,206.15,28.02,50.49
02-01-2019 01:45,02-01-2019 02:00,90.31,247.86,113.03,100.5,213.54,28.37,49.82
02-01-2019 02:00,02-01-2019 02:15,96.62,265.54,119.04,104.86,223.9,29.7,49.58
02-01-2019 02:15,02-01-2019 02:30,99.91,279.6,129.12,104.07,233.2,29.57,50.18
02-01-2019 02:30,02-01-2019 02:45,105.41,291.56,136.88,106.01,242.9,29.34,49.56
02-01-2019 02:45,02-01-2019 03:00,104.63,297.46,141.8,103.75,245.56,30.65,48.42
02-01-2019 03:00,02-01-2019 03:15,100.32,297.98,144.91,104.71,249.63,29.15,47.5
02-01-2019 03:15,02-01-2019 03:30,94.45,293.08,145.23,100.94,246.17,30.2,47.69
02-01-2019 03:30,02-01-2019 03:45,87.22,280.48,142.25,102.37,244.64,30.11,50.1
02-01-2019 03:45,02-01-2019 04:00,95.57,277.61,140.08,102.57,242.66,31.56,49.88
02-01-2019 04:00,02-01-2019 04:15,101.06,273.09,143.25,101.69,244.94,29.93,50.13
02-01-2019 04:15,02-01-2019 04:30,102.53,280.04,141.38,98.3,239.69,30.46,48.4
02-01-2019 04:30,02-01-2019 04:45,86.91,277.6,136.64,92.86,229.51,30.97,48.23
02-01-2019 04:45,02-01-2019 05:00,83.82,269.41,136.13,86.23,222.36,30.22,48
02-01-2019 05:00,02-01-2019 05:15,86.72,254.47,135.95,93.3,229.26,30.48,48.91
02-01-2019 05:15,02-01-2019 05:30,100.95,252.04,134.65,86.11,220.77,29.32,45.89
02-01-2019 05:30,02-01-2019 05:45,96.74,245.16,133.88,85.15,219.04,29.68,50.31
02-01-2019 05:45,02-01-2019 06:00,92.45,256.23,137.43,87.88,225.32,30.11,52.23
02-01-2019 06:00,02-01-2019 06:15,94.26,256.3,142.21,85.71,227.93,30.78,51.52
02-01-2019 06:15,02-01-2019 06:30,102.29,272.58,150.19,88.6,238.79,30.6,53.22
02-01-2019 06:30,02-01-2019 06:45,111.32,286.02,156.02,89.7,245.73,31.67,52.98
02-01-2019 06:45,02-01-2019 07:00,110.8,305.09,166.97,94.73,261.7,30.64,54.02
02-01-2019 07:00,02-01-2019 07:15,115.75,315.58,177.75,92.05,269.81,31.42,53.03
02-01-2019 07:15,02-01-2019 07:30,111.32,319.28,176.88,88.31,265.19,32.66,51.31
02-01-2019 07:30,02-01-2019 07:45,106.94,308.34,177.76,89.49,267.26,32.02,50.59
02-01-2019 07:45,02-01-2019 08:00,92.27,275.03,180.01,90.02,270.04,31.01,50.69
