From Date,To Date,NO,NO2,Ozone,NOx,SO2,PM25,PM10
01-01-2019 00:00,01-01-2019 00:15,59.19,60.97,12.85,120.16,8.77,73.56,210.25
01-01-2019 00:15,01-01-2019 00:30,34.51,60.45,11.43,94.96,8.47,72.63,208.99
01-01-2019 00:30,01-01-2019 00:45,24.57,61.68,11.02,86.26,8.26,72.63,208.99
01-01-2019 00:45,01-01-2019 01:00,44.62,58.01,10.17,102.63,8.99,72.63,208.99
01-01-2019 01:00,01-01-2019 01:15,60.03,56.36,11.04,116.39,None,74.67,182.26
01-01-2019 01:15,01-01-2019 01:30,57.45,52.28,10.43,109.73,9.25,75.01,182.26
01-01-2019 01:30,01-01-2019 01:45,37.04,56.5,9.71,93.54,9.32,75.01,182.26
01-01-2019 01:45,01-01-2019 02:00,54.95,51.24,8.12,106.19,9.05,75.01,182.26
01-01-2019 02:00,01-01-2019 02:15,43.72,53.32,7.32,97.03,8.92,63.38,176.51
01-01-2019 02:15,01-01-2019 02:30,34.69,51.53,5.78,86.22,9.12,60.67,176.31
01-01-2019 02:30,01-01-2019 02:45,37.04,56.5,9.71,93.54,9.32,75.01,182.26
01-01-2019 02:45,01-01-2019 03:00,27.3,50.39,5.75,77.69,10.07,60.67,176.31
01-01-2019 03:00,01-01-2019 03:15,24.31,48.34,5.18,72.65,10.51,54.68,160.08
01-01-2019 03:15,01-01-2019 03:30,29.27,48.76,5.48,78.03,11.24,53.39,159.32
01-01-2019 03:30,01-01-2019 03:45,28.74,52.45,6.08,81.19,9.56,60.67,176.31
01-01-2019 03:45,01-01-2019 04:00,18.48,45.61,5.75,64.1,12.44,53.39,158.8
01-01-2019 04:00,01-01-2019 04:15,14.05,43.18,5.23,57.23,13.11,34.14,112.54
01-01-2019 04:15,01-01-2019 04:30,9.85,42.53,4.29,52.38,12.97,31.18,112.54
01-01-2019 04:30,01-01-2019 04:45,21.61,47.22,5.2,68.83,12.03,53.39,159.32
01-01-2019 04:45,01-01-2019 05:00,13.34,44.92,6.28,58.26,9.55,31.18,112.54
01-01-2019 05:00,01-01-2019 05:15,14.71,41.54,4.58,56.25,None,38.06,108.38
01-01-2019 05:15,01-01-2019 05:30,16.71,43.69,4.03,60.4,8.46,39.66,108.23
01-01-2019 05:30,01-01-2019 05:45,15.77,45.1,5.17,60.86,11.36,31.18,112.54
01-01-2019 05:45,01-01-2019 06:00,19.18,42.58,5.58,61.77,10.16,39.66,108.23
01-01-2019 06:00,01-01-2019 06:15,14.15,41.1,4.56,55.25,10.57,32.51,98.2
01-01-2019 06:15,01-01-2019 06:30,15.63,41.17,4.17,56.8,8.94,31.31,97.73
01-01-2019 06:30,01-01-2019 06:45,14.96,41.43,3.64,56.39,9.07,39.66,108.23
01-01-2019 06:45,01-01-2019 07:00,34.95,44.23,3.1,79.18,6.6,31.31,97.73
01-01-2019 07:00,01-01-2019 07:15,40.17,45.87,4.69,86.04,6.49,51.77,169.97
01-01-2019 07:15,01-01-2019 07:30,41.61,47.72,6.43,89.33,6.63,54.91,169.97
01-01-2019 07:30,01-01-2019 07:45,20.84,39.69,3.97,60.53,6.7,31.31,97.73
01-01-2019 07:45,01-01-2019 08:00,26.36,44.17,8.27,70.53,6.64,54.91,169.97
01-01-2019 08:00,01-01-2019 08:15,55.93,51.04,8.79,106.97,6.84,56.53,186.33
01-01-2019 08:15,01-01-2019 08:30,78.67,68.06,21.58,146.73,7.29,56.91,186.9
01-01-2019 08:30,01-01-2019 08:45,31.73,48.99,8.01,80.72,6.64,54.91,169.97
01-01-2019 08:45,01-01-2019 09:00,58.21,85.9,18.18,144.11,6.74,56.91,186.9
01-01-2019 09:00,01-01-2019 09:15,39.31,100.5,17.76,139.81,None,76.15,270.77
01-01-2019 09:15,01-01-2019 09:30,23.86,87.5,10.08,111.36,7.37,79.4,274.67
01-01-2019 09:30,01-01-2019 09:45,70.74,78.21,23.04,148.95,7.13,56.91,186.9
01-01-2019 09:45,01-01-2019 10:00,5.51,51.9,31.64,57.41,12.2,79.4,274.23
01-01-2019 10:00,01-01-2019 10:15,5.58,44.29,49.05,49.87,20.6,71.69,234.72
01-01-2019 10:15,01-01-2019 10:30,4.53,52.27,55.9,56.8,36.24,70.03,234.72
01-01-2019 10:30,01-01-2019 10:45,10.69,69.21,15.17,79.9,8.72,79.4,274.67
01-01-2019 10:45,01-01-2019 11:00,3.52,48.04,68.2,51.56,45.82,70.03,234.72
01-01-2019 11:00,01-01-2019 11:15,2.99,43.74,81.62,46.73,40.68,52.19,170.17
01-01-2019 11:15,01-01-2019 11:30,2.04,33.48,90.17,35.53,32.37,48.03,167.17
01-01-2019 11:30,01-01-2019 11:45,2.76,47,62.78,49.76,49.35,70.03,234.72
01-01-2019 11:45,01-01-2019 12:00,1.84,27.64,93.79,29.47,26.09,48.03,167.17
01-01-2019 12:00,01-01-2019 12:15,1.91,26.52,93.8,28.44,27.08,50.74,146.43
01-01-2019 12:15,01-01-2019 12:30,2.02,26.32,93.32,28.34,27.97,51.19,145.47
01-01-2019 12:30,01-01-2019 12:45,1.9,31.14,91.85,33.04,26.59,48.03,167.17
01-01-2019 12:45,01-01-2019 13:00,3.31,26.22,94.77,29.53,28.37,51.19,144.85
01-01-2019 13:00,01-01-2019 13:15,2,25.53,106.29,27.53,None,35.63,89.39
01-01-2019 13:15,01-01-2019 13:30,2.23,23.79,109.58,26.02,30.62,32,89.39
01-01-2019 13:30,01-01-2019 13:45,1.84,24.17,102.54,26.01,30.81,51.19,145.47
01-01-2019 13:45,01-01-2019 14:00,1.86,26.83,100.26,28.69,35.62,32,89.39
01-01-2019 14:00,01-01-2019 14:15,1.29,28.98,100.87,30.26,38.05,23.58,73.27
01-01-2019 14:15,01-01-2019 14:30,2.42,32.31,86.48,34.73,34.82,21.62,72.72
01-01-2019 14:30,01-01-2019 14:45,2.35,23.75,108.25,26.09,34.9,32,89.39
01-01-2019 14:45,01-01-2019 15:00,2.58,31.28,91.34,33.85,20.24,21.62,72.72
01-01-2019 15:00,01-01-2019 15:15,2.49,30.71,90.54,33.2,16.64,17.46,60.96
01-01-2019 15:15,01-01-2019 15:30,1.85,32.03,90.29,33.88,13.53,16.82,60.41
