From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,58.82,99,0.9,16.39,17.06,1.39,56.54
01-01-2019 00:15,01-01-2019 00:30,61,99,1.12,22.37,23.5,2.04,48.34
01-01-2019 00:30,01-01-2019 00:45,61,99,0.94,19,19.92,1.7,58.65
01-01-2019 00:45,01-01-2019 01:00,61,98.36,0.73,12.07,12.79,1.47,61.16
01-01-2019 01:00,01-01-2019 01:15,61,98,0.54,13.22,13.73,1.35,58.96
01-01-2019 01:15,01-01-2019 01:30,61,98,0.4,15.73,16.14,1.38,58.61
01-01-2019 01:30,01-01-2019 01:45,61,98,0.25,16.25,16.49,1.42,57.67
01-01-2019 01:45,01-01-2019 02:00,61,95.38,0.49,17.13,17.63,1.43,59.55
01-01-2019 02:00,01-01-2019 02:15,61,94,0.76,15.61,16.35,1.43,63.36
01-01-2019 02:15,01-01-2019 02:30,61,94,0.85,13.47,14.3,1.51,64.49
01-01-2019 02:30,01-01-2019 02:45,61,94,0.54,13.39,13.94,1.74,64.07
01-01-2019 02:45,01-01-2019 03:00,61,92.69,0.45,14.37,14.82,2.01,67.24
01-01-2019 03:00,01-01-2019 03:15,56.18,92,0.47,12.01,12.48,2.57,62.76
01-01-2019 03:15,01-01-2019 03:30,54,92,0.72,20.96,21.68,2.41,50.72
01-01-2019 03:30,01-01-2019 03:45,54,92,0.96,24.18,25.11,2.22,50.28
01-01-2019 03:45,01-01-2019 04:00,54,90.03,0.79,21.49,22.28,2.46,47.31
01-01-2019 04:00,01-01-2019 04:15,54.69,89,1.51,38.58,40.1,2.23,25.83
01-01-2019 04:15,01-01-2019 04:30,55,89,1.24,43.55,44.78,1.65,34.86
01-01-2019 04:30,01-01-2019 04:45,55,89,1.08,27.41,28.47,1.89,55.33
01-01-2019 04:45,01-01-2019 05:00,55,92.28,0.77,17.12,17.89,1.71,49.7
01-01-2019 05:00,01-01-2019 05:15,51.61,94,0.54,17.99,18.52,1.49,51.39
01-01-2019 05:15,01-01-2019 05:30,50,94,0.93,22.23,23.16,1.68,47.97
01-01-2019 05:30,01-01-2019 05:45,50,94,0.51,19.94,20.47,1.89,58.11
01-01-2019 05:45,01-01-2019 06:00,50,81.54,0.4,16.71,17.12,1.98,55.91
01-01-2019 06:00,01-01-2019 06:15,49.31,75,0.59,16.39,16.99,1.94,69.79
01-01-2019 06:15,01-01-2019 06:30,49,75,0.62,12.92,13.56,1.86,63.21
01-01-2019 06:30,01-01-2019 06:45,49,75,0.63,15.91,16.54,1.82,64.84
01-01-2019 06:45,01-01-2019 07:00,49,81.56,0.68,16.46,17.14,1.76,60.55
01-01-2019 07:00,01-01-2019 07:15,50.38,85,0.91,16.98,17.88,1.83,67.78
01-01-2019 07:15,01-01-2019 07:30,51,85,0.62,12.88,13.5,1.96,74.57
01-01-2019 07:30,01-01-2019 07:45,51,85,0.42,9.84,10.26,2.2,69.71
01-01-2019 07:45,01-01-2019 08:00,51,88.93,0.71,12.84,13.55,2.41,70.56
01-01-2019 08:00,01-01-2019 08:15,50.31,91,1.12,15.51,16.5,2.49,62.93
01-01-2019 08:15,01-01-2019 08:30,50,91,1.06,15.44,16.48,2.66,70.97
01-01-2019 08:30,01-01-2019 08:45,50,91,0.7,11.06,11.76,2.77,66.99
01-01-2019 08:45,01-01-2019 09:00,50,98.21,0.71,15.35,16.05,2.77,66.27
01-01-2019 09:00,01-01-2019 09:15,57.58,102,0.59,14.99,15.59,2.84,65.67
01-01-2019 09:15,01-01-2019 09:30,61,102,1.63,25.41,27.04,3.64,62.03
01-01-2019 09:30,01-01-2019 09:45,61,102,1.72,25.95,27.68,3.49,70.35
01-01-2019 09:45,01-01-2019 10:00,61,117.47,1.31,21.96,23.26,4.06,66.65
01-01-2019 10:00,01-01-2019 10:15,60.31,126,1.56,24.57,26.14,4.79,68.79
01-01-2019 10:15,01-01-2019 10:30,60,126,0.99,21.25,22.24,5.55,72.53
01-01-2019 10:30,01-01-2019 10:45,60,126,1.06,25.46,26.54,7.36,73.91
01-01-2019 10:45,01-01-2019 11:00,60,119.44,1.57,25.35,26.94,7.91,75.66
01-01-2019 11:00,01-01-2019 11:15,50.36,116,1.81,21.08,22.88,7.7,85.46
