From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,509,838,192.9,58.9,188.7,18.2,1.8
01-01-2019 00:15,01-01-2019 00:30,509,838,223.8,57,213.1,16.2,2.3
01-01-2019 00:30,01-01-2019 00:45,509,838,192.4,64.7,191.2,16.1,2.3
01-01-2019 00:45,01-01-2019 01:00,417,659,220,63.1,213.1,15.5,2.3
01-01-2019 01:00,01-01-2019 01:15,417,659,211,56.2,202.1,15.3,None
01-01-2019 01:15,01-01-2019 01:30,417,659,196.4,62.5,193.4,14.8,None
01-01-2019 01:30,01-01-2019 01:45,417,659,136.4,71.3,148.5,14.8,None
01-01-2019 01:45,01-01-2019 02:00,356,592,102.3,67.8,119.2,13.7,2.4
01-01-2019 02:00,01-01-2019 02:15,356,592,None,None,None,None,1.9
01-01-2019 02:15,01-01-2019 02:30,356,592,None,None,None,None,2
01-01-2019 02:30,01-01-2019 02:45,356,592,None,None,None,None,2.2
01-01-2019 02:45,01-01-2019 03:00,267,404,62.3,65,85.4,8.4,2.3
01-01-2019 03:00,01-01-2019 03:15,267,404,77.7,62.9,96.7,11.7,1.8
01-01-2019 03:15,01-01-2019 03:30,267,404,53.1,62.2,76.4,12.1,1.8
01-01-2019 03:30,01-01-2019 03:45,267,404,52.5,55.4,72.3,12.4,1.6
01-01-2019 03:45,01-01-2019 04:00,226,343,54.4,59.5,76,12,1.5
01-01-2019 04:00,01-01-2019 04:15,226,343,61.3,58.8,81.4,11.4,1.3
01-01-2019 04:15,01-01-2019 04:30,226,343,64.3,57.2,82.9,11.5,2
01-01-2019 04:30,01-01-2019 04:45,226,343,68.3,56.4,85.8,11.2,1.8
01-01-2019 04:45,01-01-2019 05:00,211,349,93.9,61.7,109.4,11,1.4
01-01-2019 05:00,01-01-2019 05:15,211,349,89.2,53.9,101.5,11.2,1.3
01-01-2019 05:15,01-01-2019 05:30,211,349,91.5,60.9,106.9,11.2,1.7
01-01-2019 05:30,01-01-2019 05:45,211,349,126,53.9,132.4,None,1.4
01-01-2019 05:45,01-01-2019 06:00,210,337,109,73.8,128.2,12.6,1.5
01-01-2019 06:00,01-01-2019 06:15,210,337,110.9,58.2,121,15.1,1.9
01-01-2019 06:15,01-01-2019 06:30,210,337,75.5,57.4,91,15.7,2.3
01-01-2019 06:30,01-01-2019 06:45,210,337,87.5,64.9,105.5,16.1,1.6
01-01-2019 06:45,01-01-2019 07:00,146,343,71,52,85.5,16.3,1.9
01-01-2019 07:00,01-01-2019 07:15,146,343,100.5,52.2,108.7,14.9,1.8
01-01-2019 07:15,01-01-2019 07:30,146,343,145.6,62.9,152.1,16.2,1.5
01-01-2019 07:30,01-01-2019 07:45,146,343,137,59.2,143.3,16.8,1.3
01-01-2019 07:45,01-01-2019 08:00,99,472,153.3,62.6,158.7,17.1,1.6
01-01-2019 08:00,01-01-2019 08:15,99,472,128.1,66.1,140.7,17.1,1.6
01-01-2019 08:15,01-01-2019 08:30,99,472,89.4,77.4,114.7,17.4,2.3
01-01-2019 08:30,01-01-2019 08:45,99,472,104,78.8,126.4,17.8,2
01-01-2019 08:45,01-01-2019 09:00,138,484,92.9,93.3,125.3,17,2.5
01-01-2019 09:00,01-01-2019 09:15,138,484,39.3,87,77.9,17,2.7
01-01-2019 09:15,01-01-2019 09:30,138,484,22.4,66.9,54,18.1,3
01-01-2019 09:30,01-01-2019 09:45,138,484,24.4,56.8,50.8,19.2,5.9
01-01-2019 09:45,01-01-2019 10:00,69,464,19.3,70,53,19.5,7.3
01-01-2019 10:00,01-01-2019 10:15,69,464,12.2,56.2,39.8,20.1,12.1
01-01-2019 10:15,01-01-2019 10:30,69,464,10.8,49.5,35.1,20.5,17.3
01-01-2019 10:30,01-01-2019 10:45,69,464,7.2,37.8,25.9,21,27.4
01-01-2019 10:45,01-01-2019 11:00,74,353,9.4,38.6,28,20.2,31.2
01-01-2019 11:00,01-01-2019 11:15,74,353,7.6,40.8,28.2,20,35.7
01-01-2019 11:15,01-01-2019 11:30,74,353,3.9,38.6,23.7,20.8,44.4
01-01-2019 11:30,01-01-2019 11:45,74,353,3.8,33.8,21,None,51.1
01-01-2019 11:45,01-01-2019 12:00,51,329,4.1,32.4,20.5,20.6,53.3
01-01-2019 12:00,01-01-2019 12:15,51,329,3.5,25.7,16.5,21.2,61.5
01-01-2019 12:15,01-01-2019 12:30,51,329,2.7,22.7,14.4,22.4,68.4
01-01-2019 12:30,01-01-2019 12:45,51,329,2,24.7,14.9,22.4,61.1
01-01-2019 12:45,01-01-2019 13:00,41,233,2,21.7,13.2,22.9,70.4
01-01-2019 13:00,01-01-2019 13:15,41,233,1.8,20.3,12.2,22,73.4
01-01-2019 13:15,01-01-2019 13:30,41,233,2.1,25.6,15.3,22.5,72.1
01-01-2019 13:30,01-01-2019 13:45,41,233,2.2,29.9,17.7,22.2,73.7
01-01-2019 13:45,01-01-2019 14:00,45,235,2.5,26.6,16.4,21.3,76.1
01-01-2019 14:00,01-01-2019 14:15,45,235,2.2,21.4,13.2,24,79.5
01-01-2019 14:15,01-01-2019 14:30,45,235,1.7,23.8,14,25.7,77.9
01-01-2019 14:30,01-01-2019 14:45,45,235,1.9,24,14.3,25.5,75.8
01-01-2019 14:45,01-01-2019 15:00,42,216,1.5,25.3,14.6,25.5,79.1
01-01-2019 15:00,01-01-2019 15:15,42,216,1.7,29,16.8,25.3,80.7
01-01-2019 15:15,01-01-2019 15:30,42,216,1.2,29.1,16.5,25.2,82.5
01-01-2019 15:30,01-01-2019 15:45,42,216,0.9,24.8,13.9,24.1,82.3
01-01-2019 15:45,01-01-2019 16:00,44,232,1,30.5,17.1,23.4,75.3
01-01-2019 16:00,01-01-2019 16:15,44,232,2,41.7,23.6,23,61
