From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,None,None,None,31.88,None,15.59,None
01-01-2019 00:15,01-01-2019 00:30,154.07,262.31,46.52,24.28,81.65,15.34,4.94
01-01-2019 00:30,01-01-2019 00:45,139.6,230.04,41.31,22.84,73.66,14.75,7.59
01-01-2019 00:45,01-01-2019 01:00,133.61,193.85,40.88,22.78,67.17,14.04,3.74
01-01-2019 01:00,01-01-2019 01:15,120.69,178.35,36.44,20.17,59.45,14.84,2.67
01-01-2019 01:15,01-01-2019 01:30,103.32,170.95,37.69,18.2,65.46,14.79,4.21
01-01-2019 01:30,01-01-2019 01:45,98.32,168.46,27.82,20.9,52.73,14.64,4.64
01-01-2019 01:45,01-01-2019 02:00,106.84,165.13,27.49,19.36,51.06,14.19,5.69
01-01-2019 02:00,01-01-2019 02:15,115.02,158.94,30.47,20.13,45.9,12.76,3.53
01-01-2019 02:15,01-01-2019 02:30,106.38,144.18,35.81,20.26,48.29,14.28,3.37
01-01-2019 02:30,01-01-2019 02:45,90.95,121.85,57.85,17.08,48.86,14.45,3.9
01-01-2019 02:45,01-01-2019 03:00,78.42,107.76,24.81,15.53,49.93,14.1,4.68
01-01-2019 03:00,01-01-2019 03:15,74.43,101.61,21.63,15.61,114.32,13.76,4.03
01-01-2019 03:15,01-01-2019 03:30,78.79,99.55,20.42,16.95,37.1,13.81,4.59
01-01-2019 03:30,01-01-2019 03:45,84.21,102.96,27.1,17.28,45.5,14.14,4.83
01-01-2019 03:45,01-01-2019 04:00,82.74,105.16,20.03,14.28,41.73,13.46,5.55
01-01-2019 04:00,01-01-2019 04:15,79.73,103.48,19.25,15.06,34.83,14.28,5.04
01-01-2019 04:15,01-01-2019 04:30,82.55,102.31,16.84,19.01,34.39,14.33,4
01-01-2019 04:30,01-01-2019 04:45,83.57,106.62,19.75,50.96,36.53,14.2,3.43
01-01-2019 04:45,01-01-2019 05:00,80.76,113.79,17.99,18.48,32.12,14.14,3.16
01-01-2019 05:00,01-01-2019 05:15,77.6,110.27,13.89,17.77,31.5,12.44,1.88
01-01-2019 05:15,01-01-2019 05:30,82.43,110.89,16.28,16.36,29.26,13.7,5.99
01-01-2019 05:30,01-01-2019 05:45,91.65,104.32,11.76,16.11,28.15,12.54,4.83
01-01-2019 05:45,01-01-2019 06:00,101.26,110.78,18.34,13.32,33.21,13.09,4.45
01-01-2019 06:00,01-01-2019 06:15,121.9,141.41,21.05,17.11,36.5,14.25,4.31
01-01-2019 06:15,01-01-2019 06:30,151.91,191.12,25.43,15.86,38.63,15.31,3.9
01-01-2019 06:30,01-01-2019 06:45,171.24,220.86,26.32,15.48,32.63,14.46,3.81
01-01-2019 06:45,01-01-2019 07:00,165.12,223.27,26.31,15.58,37.3,14.54,6.96
01-01-2019 07:00,01-01-2019 07:15,158.26,231.5,19.73,17.58,42.35,14.85,4.71
01-01-2019 07:15,01-01-2019 07:30,163.51,243.43,24.36,16.65,46.71,15.53,5.72
01-01-2019 07:30,01-01-2019 07:45,171.51,254.73,22.06,20.51,85.92,16.02,3.54
01-01-2019 07:45,01-01-2019 08:00,156.07,235.12,18.43,19.32,39.14,16.37,5.26
01-01-2019 08:00,01-01-2019 08:15,139.48,210.98,16.23,19.51,28.1,13.99,5.57
01-01-2019 08:15,01-01-2019 08:30,133.48,199.62,17.42,21.58,29.26,14.51,41.66
01-01-2019 08:30,01-01-2019 08:45,138.76,192.96,11.72,21.71,35.19,15.31,5.51
01-01-2019 08:45,01-01-2019 09:00,123.74,176.04,10.58,25.26,30.97,15.51,5.15
01-01-2019 09:00,01-01-2019 09:15,105.05,154.23,10.7,23.14,29.34,15.63,5.51
01-01-2019 09:15,01-01-2019 09:30,85.68,149.09,11.61,19.38,26.53,15.59,6.47
01-01-2019 09:30,01-01-2019 09:45,77.53,136.56,8.83,17.79,28.35,15.07,8.93
01-01-2019 09:45,01-01-2019 10:00,67.62,119.95,11.27,19.17,26.18,13.46,7.17
01-01-2019 10:00,01-01-2019 10:15,58.47,103.71,10.38,17.95,24.84,14.52,7.96
01-01-2019 10:15,01-01-2019 10:30,45.07,80.58,11.42,52.46,23.61,14.73,11.49
01-01-2019 10:30,01-01-2019 10:45,37.76,64.45,10.25,12.91,19.97,13.88,11.67
01-01-2019 10:45,01-01-2019 11:00,32.33,51.62,10.99,11.5,23.49,14.1,11.77
