From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,157,590,61,187.5,149.3,39.3,15.9
01-01-2019 00:15,01-01-2019 00:30,157,590,74.2,190.7,161.8,27.3,18.1
01-01-2019 00:30,01-01-2019 00:45,157,590,73.8,187.8,159.9,25.2,20
01-01-2019 00:45,01-01-2019 01:00,191,457,77.4,191.7,164.9,30.6,20.9
01-01-2019 01:00,01-01-2019 01:15,191,457,135.1,231.6,233,35.4,23.1
01-01-2019 01:15,01-01-2019 01:30,191,457,117.7,208.1,206.4,34.7,23
01-01-2019 01:30,01-01-2019 01:45,191,457,129,208.7,215.9,29.7,23
01-01-2019 01:45,01-01-2019 02:00,305,564,96.4,185.6,177.1,23.7,19.5
01-01-2019 02:00,01-01-2019 02:15,305,564,67.9,177.4,149.6,21.7,17.2
01-01-2019 02:15,01-01-2019 02:30,305,564,47.7,163,125.5,23.5,14.6
01-01-2019 02:30,01-01-2019 02:45,305,564,29.8,145.2,101.5,24.5,None
01-01-2019 02:45,01-01-2019 03:00,150,357,71.3,177.2,152.3,25.7,None
01-01-2019 03:00,01-01-2019 03:15,150,357,68.3,171.9,146.9,28.1,None
01-01-2019 03:15,01-01-2019 03:30,150,357,65.1,155,135.3,33.9,24.2
01-01-2019 03:30,01-01-2019 03:45,150,357,46.4,134,109,38.1,35.4
01-01-2019 03:45,01-01-2019 04:00,268,546,61.3,137.5,123,27.9,22.4
01-01-2019 04:00,01-01-2019 04:15,268,546,46.4,132.7,108.3,26.7,18.8
01-01-2019 04:15,01-01-2019 04:30,268,546,50.3,135.4,112.9,30.2,17.1
01-01-2019 04:30,01-01-2019 04:45,268,546,29.7,114.9,85.3,33.7,16.5
01-01-2019 04:45,01-01-2019 05:00,195,434,21.7,103.2,72.5,41.8,17
01-01-2019 05:00,01-01-2019 05:15,195,434,20.9,102.4,71.4,41.1,15.5
01-01-2019 05:15,01-01-2019 05:30,195,434,14.9,100,65.3,34,13.3
01-01-2019 05:30,01-01-2019 05:45,195,434,12.9,98.2,62.7,27.7,13.5
01-01-2019 05:45,01-01-2019 06:00,167,360,20.4,100.9,70.2,25.3,12.6
01-01-2019 06:00,01-01-2019 06:15,None,None,None,None,None,None,None
01-01-2019 06:15,01-01-2019 06:30,167,360,14.9,98.4,64.4,27.1,11.8
01-01-2019 06:30,01-01-2019 06:45,167,360,44.2,121.7,100.7,32.7,12.2
01-01-2019 06:45,01-01-2019 07:00,177,365,38.1,118.2,93.9,29.7,12.6
