From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,65.37,149.93,4.86,33.66,38.52,None,1.47
01-01-2019 00:15,01-01-2019 00:30,65.37,153.86,5.25,34.7,39.95,10.14,1.42
01-01-2019 00:30,01-01-2019 00:45,65.37,153.86,5.25,36.11,41.35,10.57,1.22
01-01-2019 00:45,01-01-2019 01:00,71.04,153.86,6.3,35.98,42.29,9.84,1.15
01-01-2019 01:00,01-01-2019 01:15,73.74,163.3,6.21,36.36,42.58,9.42,1.15
01-01-2019 01:15,01-01-2019 01:30,73.74,171.94,5.14,37.51,42.65,9.84,1.12
01-01-2019 01:30,01-01-2019 01:45,73.74,171.94,5.16,37.08,42.25,9.88,1.12
01-01-2019 01:45,01-01-2019 02:00,74.41,171.94,6.28,35.95,42.22,9.31,1.1
01-01-2019 02:00,01-01-2019 02:15,74.73,175.72,6.29,36.68,42.96,8.59,1.1
01-01-2019 02:15,01-01-2019 02:30,74.73,179.17,6.06,36.5,42.56,7.9,1.1
01-01-2019 02:30,01-01-2019 02:45,74.73,179.17,6.17,35.8,41.97,7.53,1.1
01-01-2019 02:45,01-01-2019 03:00,75.83,179.17,5.76,35.56,41.31,7,1.1
01-01-2019 03:00,01-01-2019 03:15,76.36,179.03,6.23,34.18,40.41,6.72,1.13
01-01-2019 03:15,01-01-2019 03:30,76.36,178.89,5.73,33.77,39.5,6.55,1.12
01-01-2019 03:30,01-01-2019 03:45,76.36,178.89,5.72,33.23,38.95,6.05,1.1
01-01-2019 03:45,01-01-2019 04:00,76.37,178.89,5.39,32.55,37.93,6.04,1.13
01-01-2019 04:00,01-01-2019 04:15,76.38,174.52,5.94,31.54,37.48,None,1.1
01-01-2019 04:15,01-01-2019 04:30,76.38,170.52,5.98,30.96,36.94,6.56,1.1
01-01-2019 04:30,01-01-2019 04:45,76.38,170.52,6.12,30.27,36.39,6.07,1.1
01-01-2019 04:45,01-01-2019 05:00,73.5,170.52,5.4,30.44,35.84,6.09,1.11
01-01-2019 05:00,01-01-2019 05:15,72.13,164.2,5.74,29.88,35.62,5.82,1.1
01-01-2019 05:15,01-01-2019 05:30,72.13,158.42,5.67,29.21,34.88,5.16,1.1
01-01-2019 05:30,01-01-2019 05:45,72.13,158.42,5.06,28.36,33.43,4.84,1.1
