From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,381,571,124.9,165.7,189.7,3.1,3.6
01-01-2019 00:15,01-01-2019 00:30,381,571,129.1,164.4,192.4,4.4,3.6
01-01-2019 00:30,01-01-2019 00:45,381,571,134.3,164.2,196.5,4.3,3.1
01-01-2019 00:45,01-01-2019 01:00,381,571,137.3,165.1,199.4,4.7,3.3
01-01-2019 01:00,01-01-2019 01:15,393,549,141.6,163.7,202.2,4.8,3.2
01-01-2019 01:15,01-01-2019 01:30,393,549,148.3,165.6,208.6,5.6,3.6
01-01-2019 01:30,01-01-2019 01:45,393,549,153.8,171.2,216.1,5.9,3.8
01-01-2019 01:45,01-01-2019 02:00,393,549,150.1,169.4,212.1,5,4.4
01-01-2019 02:00,01-01-2019 02:15,370,544,144.7,170.4,208.3,4.1,5.4
01-01-2019 02:15,01-01-2019 02:30,370,544,147,175.9,213.1,5.3,6.3
01-01-2019 02:30,01-01-2019 02:45,370,544,None,177.8,217.5,None,6.3
01-01-2019 02:45,01-01-2019 03:00,370,544,None,174.1,213.8,None,5.7
01-01-2019 03:00,01-01-2019 03:15,413,578,None,173.3,211.2,None,5.8
01-01-2019 03:15,01-01-2019 03:30,413,578,None,172,211.1,None,6.5
01-01-2019 03:30,01-01-2019 03:45,413,578,None,169.9,212.8,None,5.8
01-01-2019 03:45,01-01-2019 04:00,413,578,None,167.4,212.3,None,5.8
01-01-2019 04:00,01-01-2019 04:15,405,553,None,163.6,209.9,None,5.2
01-01-2019 04:15,01-01-2019 04:30,405,553,None,165,208.8,None,5.1
01-01-2019 04:30,01-01-2019 04:45,405,553,None,164.1,209.6,None,4.9
01-01-2019 04:45,01-01-2019 05:00,405,553,None,164.6,211.6,None,5.2
01-01-2019 05:00,01-01-2019 05:15,385,519,None,159.2,207.7,None,5.1
01-01-2019 05:15,01-01-2019 05:30,385,519,None,152.3,204.9,None,4.8
01-01-2019 05:30,01-01-2019 05:45,385,519,None,148.3,201.7,None,4.7
01-01-2019 05:45,01-01-2019 06:00,385,519,None,150.9,202.7,None,5.2
01-01-2019 06:00,01-01-2019 06:15,373,495,None,152.4,204.1,None,4.9
01-01-2019 06:15,01-01-2019 06:30,373,495,None,152,201.9,None,4.5
01-01-2019 06:30,01-01-2019 06:45,373,495,None,148.4,195.6,None,4.2
01-01-2019 06:45,01-01-2019 07:00,373,495,None,145.2,187.9,None,3.7
01-01-2019 07:00,01-01-2019 07:15,359,493,None,137.2,182.2,None,2.8
01-01-2019 07:15,01-01-2019 07:30,359,493,None,132.6,177.8,None,3
01-01-2019 07:30,01-01-2019 07:45,359,493,None,130.6,166.2,None,3.6
01-01-2019 07:45,01-01-2019 08:00,359,493,None,137.8,160.7,None,3
01-01-2019 08:00,01-01-2019 08:15,348,477,None,146,182.3,None,None
01-01-2019 08:15,01-01-2019 08:30,348,477,None,149.9,178.2,None,None
01-01-2019 08:30,01-01-2019 08:45,348,477,None,153.7,178.5,None,None
01-01-2019 08:45,01-01-2019 09:00,348,477,None,164.8,165.8,None,2.9
01-01-2019 09:00,01-01-2019 09:15,371,508,None,None,None,None,3
01-01-2019 09:15,01-01-2019 09:30,371,508,None,None,None,None,5.7
01-01-2019 09:30,01-01-2019 09:45,371,508,None,None,None,None,10.8
01-01-2019 09:45,01-01-2019 10:00,371,508,23.4,117.5,81.5,10.9,16.6
01-01-2019 10:00,01-01-2019 10:15,390,517,19,114.7,76.5,12.4,23.7
01-01-2019 10:15,01-01-2019 10:30,390,517,15.6,104.5,68.2,14.3,37.9
01-01-2019 10:30,01-01-2019 10:45,390,517,12.1,89.8,57.6,18.6,46.8
01-01-2019 10:45,01-01-2019 11:00,390,517,10.3,90.1,56.3,28,51.7
01-01-2019 11:00,01-01-2019 11:15,334,460,9.8,90.6,56.2,28.3,62.3
01-01-2019 11:15,01-01-2019 11:30,334,460,8.9,88.7,54.4,29.3,69.5
01-01-2019 11:30,01-01-2019 11:45,334,460,7.2,82.1,49.5,34.9,77.7
01-01-2019 11:45,01-01-2019 12:00,334,460,5.7,74.2,44.1,37,88.9
01-01-2019 12:00,01-01-2019 12:15,291,422,4.9,67.2,39.7,36.8,94.3
01-01-2019 12:15,01-01-2019 12:30,291,422,4.2,62.7,36.8,32.4,99.8
01-01-2019 12:30,01-01-2019 12:45,291,422,3.4,60.2,34.8,28.4,109.3
01-01-2019 12:45,01-01-2019 13:00,291,422,3.1,59.8,34.4,24,113.9
01-01-2019 13:00,01-01-2019 13:15,226,345,3.5,61.3,35.5,24.9,115.6
01-01-2019 13:15,01-01-2019 13:30,226,345,3.8,63.2,36.7,24.9,120.5
01-01-2019 13:30,01-01-2019 13:45,226,345,3.2,62.9,36,24.1,122.8
01-01-2019 13:45,01-01-2019 14:00,226,345,2.7,62.4,35.4,24,128.9
01-01-2019 14:00,01-01-2019 14:15,195,334,2.7,60.4,34.3,27.7,125.4
01-01-2019 14:15,01-01-2019 14:30,195,334,2.6,60.3,34.2,30.2,123
01-01-2019 14:30,01-01-2019 14:45,195,334,2.8,58.1,33.2,30,124.8
01-01-2019 14:45,01-01-2019 15:00,195,334,2.9,56.4,32.3,28.5,130.3
01-01-2019 15:00,01-01-2019 15:15,166,309,2.6,54.9,31.3,27.9,129.7
01-01-2019 15:15,01-01-2019 15:30,166,309,2.6,51.3,29.4,24.9,132.9
01-01-2019 15:30,01-01-2019 15:45,166,309,2.6,50.4,29,21.4,133.4
01-01-2019 15:45,01-01-2019 16:00,166,309,2.4,51.2,29.1,21.6,131.8
01-01-2019 16:00,01-01-2019 16:15,221,371,1.7,51.2,28.6,22.5,125.8
01-01-2019 16:15,01-01-2019 16:30,221,371,1.8,50.9,28.5,23.1,114.2
01-01-2019 16:30,01-01-2019 16:45,221,371,2,48.7,27.5,23,104.5
01-01-2019 16:45,01-01-2019 17:00,221,371,2.3,50.2,28.6,21.1,79.3
01-01-2019 17:00,01-01-2019 17:15,211,409,2.7,51.6,29.7,17.6,68.4
01-01-2019 17:15,01-01-2019 17:30,211,409,3.1,53.8,31.1,12.9,51.8
01-01-2019 17:30,01-01-2019 17:45,211,409,4.8,77.2,45,11.5,24.6
01-01-2019 17:45,01-01-2019 18:00,211,409,58.6,139.7,121.9,10.7,1.8
01-01-2019 18:00,01-01-2019 18:15,171,342,63.4,156.3,134.7,9.7,1
01-01-2019 18:15,01-01-2019 18:30,171,342,62.2,164.4,138,8,0.7
01-01-2019 18:30,01-01-2019 18:45,171,342,107.4,177.3,181.7,8.8,1.1
01-01-2019 18:45,01-01-2019 19:00,171,342,96.1,190.1,179.2,9.6,1.2
01-01-2019 19:00,01-01-2019 19:15,185,376,108.3,169.4,178.1,8.3,1.1
01-01-2019 19:15,01-01-2019 19:30,185,376,120.8,172.6,190,8.9,0.9
01-01-2019 19:30,01-01-2019 19:45,185,376,117.6,179.1,190.9,11.1,1.1
01-01-2019 19:45,01-01-2019 20:00,185,376,135.6,164,197.5,13.3,1.1
01-01-2019 20:00,01-01-2019 20:15,247,410,119.9,163.4,184.4,14,1.5
01-01-2019 20:15,01-01-2019 20:30,247,410,118.6,169.3,186.5,13.7,1.3
01-01-2019 20:30,01-01-2019 20:45,247,410,107.1,176.7,181.1,11.4,1.4
01-01-2019 20:45,01-01-2019 21:00,247,410,132.7,190.5,209.2,10.5,1.5
01-01-2019 21:00,01-01-2019 21:15,273,417,159.3,180.6,225.6,12.5,1.7
