From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,396,433,None,None,None,6,6.9
01-01-2019 00:15,01-01-2019 00:30,396,433,388.6,19.9,327.4,4.7,9.6
01-01-2019 00:30,01-01-2019 00:45,396,433,372,25.6,316.9,3.7,9.2
01-01-2019 00:45,01-01-2019 01:00,357,374,375.6,4.7,308.7,3.1,8.2
01-01-2019 01:00,01-01-2019 01:15,357,374,None,None,None,4.5,None
01-01-2019 01:15,01-01-2019 01:30,357,374,None,None,None,4.5,None
01-01-2019 01:30,01-01-2019 01:45,357,374,None,None,None,4.7,None
01-01-2019 01:45,01-01-2019 02:00,463,482,None,None,None,4.7,9.2
01-01-2019 02:00,01-01-2019 02:15,463,482,None,None,None,None,9.8
01-01-2019 02:15,01-01-2019 02:30,463,482,None,None,None,None,8.6
01-01-2019 02:30,01-01-2019 02:45,463,482,None,None,None,None,9.8
01-01-2019 02:45,01-01-2019 03:00,481,526,None,None,None,6.3,10.8
01-01-2019 03:00,01-01-2019 03:15,481,526,None,None,None,6.8,10.4
01-01-2019 03:15,01-01-2019 03:30,481,526,None,None,None,6.5,9.4
01-01-2019 03:30,01-01-2019 03:45,481,526,None,None,None,6,12.9
01-01-2019 03:45,01-01-2019 04:00,456,508,None,None,None,5,10.8
01-01-2019 04:00,01-01-2019 04:15,456,508,None,None,None,4.5,13.9
01-01-2019 04:15,01-01-2019 04:30,456,508,None,None,None,4.2,9.4
01-01-2019 04:30,01-01-2019 04:45,456,508,None,None,None,4.7,9.6
01-01-2019 04:45,01-01-2019 05:00,372,427,391,0.4,319,4.7,9.8
01-01-2019 05:00,01-01-2019 05:15,372,427,384.8,28.4,328.9,4.5,8.4
01-01-2019 05:15,01-01-2019 05:30,372,427,338.6,82.6,320,3.7,8.8
01-01-2019 05:30,01-01-2019 05:45,372,427,307.1,108.1,307.9,3.4,8.8
01-01-2019 05:45,01-01-2019 06:00,270,316,286.4,107.2,290.5,None,12.4
01-01-2019 06:00,01-01-2019 06:15,270,316,283.8,99.9,284.5,2.4,7.5
01-01-2019 06:15,01-01-2019 06:30,270,316,271.2,107.2,278.1,2.1,9
01-01-2019 06:30,01-01-2019 06:45,270,316,239.5,109.4,253.5,1.3,9.2
01-01-2019 06:45,01-01-2019 07:00,228,259,235.1,100.6,245.2,0.8,8.6
01-01-2019 07:00,01-01-2019 07:15,228,259,261.4,103.6,268.2,1,10.2
01-01-2019 07:15,01-01-2019 07:30,228,259,269.5,102.3,274.1,0.3,7.5
01-01-2019 07:30,01-01-2019 07:45,228,259,258.8,108.9,268.8,0.3,9
01-01-2019 07:45,01-01-2019 08:00,244,266,228.5,124.9,252.7,0.3,10.2
01-01-2019 08:00,01-01-2019 08:15,244,266,204.5,128.6,235.1,None,7.3
01-01-2019 08:15,01-01-2019 08:30,244,266,177.4,138,218,None,12
01-01-2019 08:30,01-01-2019 08:45,244,266,156.9,168.3,217.4,0.3,12.4
01-01-2019 08:45,01-01-2019 09:00,248,280,129.5,185,204.1,0.3,12.6
01-01-2019 09:00,01-01-2019 09:15,248,280,107.7,197.8,193,0.5,11
01-01-2019 09:15,01-01-2019 09:30,248,280,90.8,208.7,185,0.3,11.6
01-01-2019 09:30,01-01-2019 09:45,248,280,66,224,172.9,0.5,11.4
01-01-2019 09:45,01-01-2019 10:00,301,328,40.8,236,158.8,0.3,11
