From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,145,203,3.4,18.7,12.8,15.3,19.4
01-01-2019 00:15,01-01-2019 00:30,145,203,3.4,16.5,11.5,15.1,18.6
01-01-2019 00:30,01-01-2019 00:45,145,203,2.9,15,10.3,14.2,18.1
01-01-2019 00:45,01-01-2019 01:00,141,196,3.1,13.6,9.7,10.3,18.3
01-01-2019 01:00,01-01-2019 01:15,141,196,3,11.8,8.7,9.2,23.1
01-01-2019 01:15,01-01-2019 01:30,141,196,2.8,9.3,7.2,5.8,33.4
01-01-2019 01:30,01-01-2019 01:45,141,196,3,6.8,6.1,4.4,38
01-01-2019 01:45,01-01-2019 02:00,83,123,2.9,6,5.5,3.5,39
01-01-2019 02:00,01-01-2019 02:15,83,123,2.8,4.6,4.7,2,44.6
01-01-2019 02:15,01-01-2019 02:30,83,123,2.8,4,4.4,2.1,50.3
01-01-2019 02:30,01-01-2019 02:45,83,123,2.7,3.3,3.9,13,57.1
01-01-2019 02:45,01-01-2019 03:00,45,80,2.7,2.4,3.5,23.4,None
01-01-2019 03:00,01-01-2019 03:15,45,80,2.7,1.9,3.2,13.9,36.9
01-01-2019 03:15,01-01-2019 03:30,45,80,2.9,1.2,3,8.9,86.9
01-01-2019 03:30,01-01-2019 03:45,45,80,2.5,0.5,2.2,7.1,73
01-01-2019 03:45,01-01-2019 04:00,36,60,2.4,None,1.7,9.7,91.5
01-01-2019 04:00,01-01-2019 04:15,36,60,2.2,None,1.4,12,96.4
01-01-2019 04:15,01-01-2019 04:30,36,60,2.5,None,1.5,13.8,95.6
01-01-2019 04:30,01-01-2019 04:45,36,60,2.6,None,1.7,12.8,91.9
01-01-2019 04:45,01-01-2019 05:00,None,None,None,None,None,None,None
01-01-2019 05:00,01-01-2019 05:15,41,60,2.8,None,2,31,91.3
01-01-2019 05:15,01-01-2019 05:30,41,60,2.9,None,2.1,23.5,80.7
01-01-2019 05:30,01-01-2019 05:45,41,60,2.8,0.1,2.3,17.4,72.9
01-01-2019 05:45,01-01-2019 06:00,40,62,2.7,0.7,2.5,16,66.3
01-01-2019 06:00,01-01-2019 06:15,40,62,2.9,1.1,2.9,13,67.2
01-01-2019 06:15,01-01-2019 06:30,40,62,2.7,1.7,3.1,10.6,64.4
01-01-2019 06:30,01-01-2019 06:45,40,62,2.7,3.7,4.2,9.7,55.5
01-01-2019 06:45,01-01-2019 07:00,45,72,2.8,4.8,4.9,12.1,49.5
01-01-2019 07:00,01-01-2019 07:15,45,72,2.7,6,5.4,14.3,48
01-01-2019 07:15,01-01-2019 07:30,45,72,3,6.2,5.7,15.4,50.5
01-01-2019 07:30,01-01-2019 07:45,45,72,1.5,8.7,5.8,13.2,46.7
01-01-2019 07:45,01-01-2019 08:00,61,100,3,9,7.2,15.3,55.6
01-01-2019 08:00,01-01-2019 08:15,61,100,3,6.9,6.1,16.7,70.8
01-01-2019 08:15,01-01-2019 08:30,61,100,2.8,5.5,5.2,14.2,83.7
01-01-2019 08:30,01-01-2019 08:45,61,100,2.8,4.5,4.7,24.6,93
01-01-2019 08:45,01-01-2019 09:00,59,93,2.8,3.7,4.2,24.2,95.1
01-01-2019 09:00,01-01-2019 09:15,59,93,2.6,2.9,3.7,18.9,98.3
01-01-2019 09:15,01-01-2019 09:30,59,93,2.4,2.2,3.1,16.4,101.7
01-01-2019 09:30,01-01-2019 09:45,59,93,2.2,1.5,2.6,15.8,106
01-01-2019 09:45,01-01-2019 10:00,None,None,None,None,None,None,None
01-01-2019 10:00,01-01-2019 10:15,50,78,2.7,0.5,2.5,12.6,115.5
01-01-2019 10:15,01-01-2019 10:30,50,78,2.9,0.3,2.5,11.8,119
01-01-2019 10:30,01-01-2019 10:45,50,78,2.8,None,2.3,12.6,117.1
01-01-2019 10:45,01-01-2019 11:00,40,73,2.9,1.9,3.3,10.3,116.5
01-01-2019 11:00,01-01-2019 11:15,40,73,2.9,2.2,3.5,13.7,120.8
01-01-2019 11:15,01-01-2019 11:30,40,73,3.1,3,4.1,11.1,122.4
01-01-2019 11:30,01-01-2019 11:45,40,73,3,1.7,3.4,10.2,124
01-01-2019 11:45,01-01-2019 12:00,45,69,3,0.3,2.6,10.2,128.7
01-01-2019 12:00,01-01-2019 12:15,45,69,3,None,2.3,9.5,128.4
01-01-2019 12:15,01-01-2019 12:30,45,69,3.1,0.2,2.7,8.2,125.9
01-01-2019 12:30,01-01-2019 12:45,45,69,3.5,2.3,4,24.3,124.1
01-01-2019 12:45,01-01-2019 13:00,32,76,2.3,3.9,3.9,36.4,128.6
01-01-2019 13:00,01-01-2019 13:15,32,76,3.4,5.5,5.7,13.6,132.3
01-01-2019 13:15,01-01-2019 13:30,32,76,2.3,4.1,4.1,13.7,128.5
01-01-2019 13:30,01-01-2019 13:45,32,76,2.1,5.6,4.7,9.9,132.8
01-01-2019 13:45,01-01-2019 14:00,46,77,2.8,3.5,4.1,10.1,130.8
01-01-2019 14:00,01-01-2019 14:15,46,77,2.7,4.7,4.7,10.5,130.2
01-01-2019 14:15,01-01-2019 14:30,None,None,None,None,None,None,None
01-01-2019 14:30,01-01-2019 14:45,46,77,3,3.1,4.1,11.5,120
01-01-2019 14:45,01-01-2019 15:00,43,75,2.7,3,3.8,8.4,117.1
01-01-2019 15:00,01-01-2019 15:15,43,75,2.9,4.9,4.9,8.2,113.4
01-01-2019 15:15,01-01-2019 15:30,43,75,2.8,6.1,5.5,11.1,113.8
01-01-2019 15:30,01-01-2019 15:45,43,75,3.4,3.8,4.8,14.1,118.8
01-01-2019 15:45,01-01-2019 16:00,40,68,2.8,2.7,3.8,15.1,132.1
01-01-2019 16:00,01-01-2019 16:15,None,None,None,None,None,None,None
01-01-2019 16:15,01-01-2019 16:30,40,68,3.6,6.3,6.2,12.7,128.8
01-01-2019 16:30,01-01-2019 16:45,40,68,3.1,7.2,6.3,14.3,118.5
01-01-2019 16:45,01-01-2019 17:00,38,75,2.6,6.6,5.6,16.1,114.2
01-01-2019 17:00,01-01-2019 17:15,38,75,1.3,10,6.3,19.9,106.8
01-01-2019 17:15,01-01-2019 17:30,38,75,3.1,10.9,8.3,14.9,102.3
01-01-2019 17:30,01-01-2019 17:45,38,75,3.1,9.2,7.4,18.2,107.7
01-01-2019 17:45,01-01-2019 18:00,50,89,3.2,12.1,9,17.9,102.2
