From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,498,690,51.3,80,84.4,16.1,7.7
01-01-2019 00:15,01-01-2019 00:30,498,690,46.1,74.1,77,18.1,8.3
01-01-2019 00:30,01-01-2019 00:45,498,690,44.4,73.1,75.1,18.5,8.8
01-01-2019 00:45,01-01-2019 01:00,511,636,44.6,72.5,74.9,20.6,8.1
01-01-2019 01:00,01-01-2019 01:15,511,636,45.5,72.3,75.6,20.4,7.9
01-01-2019 01:15,01-01-2019 01:30,511,636,46.2,71.4,75.6,21.7,7.1
01-01-2019 01:30,01-01-2019 01:45,511,636,46,70.5,75,21.9,9.5
01-01-2019 01:45,01-01-2019 02:00,552,682,45.9,69,74.2,21.7,9.1
01-01-2019 02:00,01-01-2019 02:15,552,682,None,None,None,None,8.6
01-01-2019 02:15,01-01-2019 02:30,552,682,None,None,None,None,9.6
01-01-2019 02:30,01-01-2019 02:45,552,682,31.8,56.1,55.5,17.9,9.8
01-01-2019 02:45,01-01-2019 03:00,498,693,32.5,57.6,57.2,19.7,9.8
01-01-2019 03:00,01-01-2019 03:15,498,693,27.5,52.9,50.5,19.6,7.3
01-01-2019 03:15,01-01-2019 03:30,498,693,19.2,47.2,40.8,18.6,7.5
01-01-2019 03:30,01-01-2019 03:45,498,693,15.7,43.9,36.1,18.5,7
01-01-2019 03:45,01-01-2019 04:00,367,499,13.9,41.6,33.5,18.2,7.1
01-01-2019 04:00,01-01-2019 04:15,367,499,12.3,39.8,31.2,17.8,7.2
01-01-2019 04:15,01-01-2019 04:30,367,499,11,38.2,29.3,18.7,7.8
01-01-2019 04:30,01-01-2019 04:45,367,499,10.2,37.1,28,19.4,7.7
01-01-2019 04:45,01-01-2019 05:00,343,466,10.2,36.9,28,18.5,7.6
01-01-2019 05:00,01-01-2019 05:15,343,466,10.7,36.8,28.3,17.2,7.9
01-01-2019 05:15,01-01-2019 05:30,343,466,11.6,37.2,29.2,16.4,7.9
01-01-2019 05:30,01-01-2019 05:45,343,466,12.2,37.2,29.7,16.9,8
01-01-2019 05:45,01-01-2019 06:00,342,458,12,36,28.9,17.3,7.9
01-01-2019 06:00,01-01-2019 06:15,342,458,10.7,34.7,27.2,18,7.5
01-01-2019 06:15,01-01-2019 06:30,342,458,10.1,34.2,26.4,17.2,8
01-01-2019 06:30,01-01-2019 06:45,342,458,10.6,34.4,26.9,17,7.9
01-01-2019 06:45,01-01-2019 07:00,318,427,11,34.4,27.2,16.6,7.8
01-01-2019 07:00,01-01-2019 07:15,318,427,10.7,34.2,26.9,17.5,7.6
01-01-2019 07:15,01-01-2019 07:30,318,427,10.3,34.4,26.7,17.6,7.6
01-01-2019 07:30,01-01-2019 07:45,318,427,9.8,34.8,26.5,18.1,8
01-01-2019 07:45,01-01-2019 08:00,313,416,9.8,35.3,26.8,18,8
01-01-2019 08:00,01-01-2019 08:15,313,416,10.2,35.7,27.3,18.5,8.6
01-01-2019 08:15,01-01-2019 08:30,313,416,11,37.2,28.8,17.8,7.8
01-01-2019 08:30,01-01-2019 08:45,313,416,11.8,39.5,30.6,18.1,7.8
01-01-2019 08:45,01-01-2019 09:00,362,515,12,42.2,32.2,19.5,8.5
01-01-2019 09:00,01-01-2019 09:15,362,515,10.6,43.3,31.6,19,8.2
01-01-2019 09:15,01-01-2019 09:30,None,515,9.1,44.4,31,18.6,8.3
01-01-2019 09:30,01-01-2019 09:45,362,515,8.7,50.5,33.9,18.9,8.3
01-01-2019 09:45,01-01-2019 10:00,329,477,8,56.4,36.5,20.5,8
01-01-2019 10:00,01-01-2019 10:15,329,477,4.1,56.2,33.3,20.9,9.6
01-01-2019 10:15,01-01-2019 10:30,329,477,5.8,54.7,33.8,21.2,8.9
01-01-2019 10:30,01-01-2019 10:45,329,477,3.5,41.9,25.1,21.5,14.6
01-01-2019 10:45,01-01-2019 11:00,268,447,2.3,45.4,26,22,18.3
01-01-2019 11:00,01-01-2019 11:15,268,447,1.2,33.6,18.8,22,21.1
01-01-2019 11:15,01-01-2019 11:30,268,447,0.7,28.3,15.6,22.8,32.4
01-01-2019 11:30,01-01-2019 11:45,268,447,0.3,27.5,14.9,23,35.4
01-01-2019 11:45,01-01-2019 12:00,238,359,0.4,28.8,15.6,23.7,42.8
01-01-2019 12:00,01-01-2019 12:15,238,359,0.7,33.8,18.5,23,49.9
01-01-2019 12:15,01-01-2019 12:30,238,359,0.8,29.7,16.5,23.4,46.7
01-01-2019 12:30,01-01-2019 12:45,238,359,0.7,32.3,17.8,22.6,51.3
01-01-2019 12:45,01-01-2019 13:00,185,306,0.6,34.1,18.6,24.5,50.2
01-01-2019 13:00,01-01-2019 13:15,185,306,0.7,29.6,16.3,26.5,50.4
01-01-2019 13:15,01-01-2019 13:30,185,306,0.8,45.2,24.7,25.2,55.5
01-01-2019 13:30,01-01-2019 13:45,185,306,1,24.3,13.7,27.2,60.5
01-01-2019 13:45,01-01-2019 14:00,112,218,0.6,21.5,11.9,28.4,67.2
01-01-2019 14:00,01-01-2019 14:15,112,218,0.5,24.3,13.3,31.2,53.9
01-01-2019 14:15,01-01-2019 14:30,112,218,0.5,27,14.7,31.7,61
01-01-2019 14:30,01-01-2019 14:45,112,218,0.5,27.2,14.9,31.1,66
01-01-2019 14:45,01-01-2019 15:00,94,205,0.3,27.2,14.8,27.8,66.2
01-01-2019 15:00,01-01-2019 15:15,94,205,0.4,28.5,15.5,25.7,67.9
01-01-2019 15:15,01-01-2019 15:30,94,205,0.2,30.7,16.5,24.5,63.2
01-01-2019 15:30,01-01-2019 15:45,94,205,0.2,31.9,17.1,21.7,66.3
01-01-2019 15:45,01-01-2019 16:00,113,239,0.3,31.9,17.2,20.1,53.2
01-01-2019 16:00,01-01-2019 16:15,113,239,0.4,33.8,18.3,19,49.8
01-01-2019 16:15,01-01-2019 16:30,113,239,0.6,33.9,18.5,19.1,36.1
01-01-2019 16:30,01-01-2019 16:45,113,239,0.7,34.7,19.1,18.9,28.4
01-01-2019 16:45,01-01-2019 17:00,92,210,0.9,36.4,20.1,18.7,32.7
01-01-2019 17:00,01-01-2019 17:15,92,210,1,36.6,20.3,18.9,12.4
01-01-2019 17:15,01-01-2019 17:30,92,210,1.5,40.1,22.5,19,12.4
01-01-2019 17:30,01-01-2019 17:45,92,210,2,42.3,24.2,19.1,7.5
01-01-2019 17:45,01-01-2019 18:00,143,289,3.7,47.4,28.3,18.7,6.6
01-01-2019 18:00,01-01-2019 18:15,143,289,7.9,51.2,33.7,18.8,6.8
01-01-2019 18:15,01-01-2019 18:30,143,289,13.1,51.6,38.2,18.9,6.3
01-01-2019 18:30,01-01-2019 18:45,143,289,19.9,62.6,49.6,19.3,6.5
01-01-2019 18:45,01-01-2019 19:00,211,406,30.4,68.3,61.1,19.7,6.8
01-01-2019 19:00,01-01-2019 19:15,211,406,43.4,82.2,79.1,20.6,6.7
01-01-2019 19:15,01-01-2019 19:30,211,406,51,89,88.9,21.2,6.5
01-01-2019 19:30,01-01-2019 19:45,211,406,62.3,96.4,102.1,22.5,6.2
01-01-2019 19:45,01-01-2019 20:00,309,539,76.2,109.2,120.2,23.6,6
01-01-2019 20:00,01-01-2019 20:15,309,539,91.7,123.8,140.6,25.7,6.3
01-01-2019 20:15,01-01-2019 20:30,309,539,112.9,132.6,162.6,27.1,7.3
01-01-2019 20:30,01-01-2019 20:45,309,539,124.4,149.7,181,27.9,8
01-01-2019 20:45,01-01-2019 21:00,425,653,122.5,145.2,177.1,27.2,7.9
01-01-2019 21:00,01-01-2019 21:15,425,653,116.4,134.9,166.7,27.2,8.7
01-01-2019 21:15,01-01-2019 21:30,425,653,112,132.6,161.9,26.9,8.5
01-01-2019 21:30,01-01-2019 21:45,425,653,111.4,133.3,161.7,26,8.2
01-01-2019 21:45,01-01-2019 22:00,398,633,113.5,134.8,164.2,25.9,7.9
01-01-2019 22:00,01-01-2019 22:15,398,633,116,136.3,167.1,25.8,8.5
01-01-2019 22:15,01-01-2019 22:30,398,633,117.3,137,168.5,26.4,8.7
01-01-2019 22:30,01-01-2019 22:45,398,633,116.7,136.3,167.6,26.9,8.5
01-01-2019 22:45,01-01-2019 23:00,388,586,112.4,131.4,161.5,25.8,7.9
01-01-2019 23:00,01-01-2019 23:15,388,586,98.3,118.2,143,25.2,8.6
01-01-2019 23:15,01-01-2019 23:30,388,586,91.2,117.5,136.9,25.4,8.3
01-01-2019 23:30,01-01-2019 23:45,388,586,89,114.4,133.4,26,8.4
01-01-2019 23:45,02-01-2019 00:00,381,565,88.1,112.5,131.7,None,8.4
02-01-2019 00:00,02-01-2019 00:15,381,565,87.7,111.6,130.9,24.2,8.8
02-01-2019 00:15,02-01-2019 00:30,381,565,87.3,110.3,129.8,21,8.3
02-01-2019 00:30,02-01-2019 00:45,381,565,85.7,107.8,127.2,19.9,7.6
02-01-2019 00:45,02-01-2019 01:00,412,604,76,95.8,112.9,18.4,6.8
02-01-2019 01:00,02-01-2019 01:15,412,604,65,92,101.9,17.4,7.2
02-01-2019 01:15,02-01-2019 01:30,412,604,64.4,89.7,100.3,17.3,7.4
02-01-2019 01:30,02-01-2019 01:45,412,604,67.3,92.4,104,17.8,7.9
02-01-2019 01:45,02-01-2019 02:00,383,525,72,99.5,111.7,18.3,7.8
02-01-2019 02:00,02-01-2019 02:15,383,525,None,None,None,None,8.1
02-01-2019 02:15,02-01-2019 02:30,383,525,None,None,None,None,10.6
02-01-2019 02:30,02-01-2019 02:45,383,525,60,82,92,15.4,10.4
02-01-2019 02:45,02-01-2019 03:00,389,538,64.5,86.3,98.5,18.8,11.2
02-01-2019 03:00,02-01-2019 03:15,389,538,65.2,86.2,99,18.3,11.9
02-01-2019 03:15,02-01-2019 03:30,389,538,66.5,85.3,99.6,18,12.3
02-01-2019 03:30,02-01-2019 03:45,389,538,68.8,86,101.8,18.9,13.5
02-01-2019 03:45,02-01-2019 04:00,387,512,72.5,92.7,108.4,19.4,15
02-01-2019 04:00,02-01-2019 04:15,387,512,76.4,96.2,113.5,19.1,15.8
02-01-2019 04:15,02-01-2019 04:30,387,512,79.8,93.4,114.7,19,16.1
02-01-2019 04:30,02-01-2019 04:45,387,512,81.7,93.2,116.2,19.1,16
02-01-2019 04:45,02-01-2019 05:00,481,600,81.6,93.4,116.2,19.8,15.1
02-01-2019 05:00,02-01-2019 05:15,481,600,79.5,91.6,113.5,20.3,13.9
02-01-2019 05:15,02-01-2019 05:30,481,600,75,84.5,106.1,20.1,12.7
02-01-2019 05:30,02-01-2019 05:45,481,600,65.8,80.3,96.3,19.4,12.1
02-01-2019 05:45,02-01-2019 06:00,538,785,61.3,77.2,91.1,19,11.5
02-01-2019 06:00,02-01-2019 06:15,538,785,58.6,72.7,86.4,19.3,11.1
02-01-2019 06:15,02-01-2019 06:30,538,785,54.1,72.7,82.7,19.3,10.7
02-01-2019 06:30,02-01-2019 06:45,538,785,51.1,68.9,78.3,19.7,11.2
02-01-2019 06:45,02-01-2019 07:00,613,874,50,67.7,76.8,19.3,11.5
02-01-2019 07:00,02-01-2019 07:15,613,874,50.9,68.4,77.9,18.4,11
02-01-2019 07:15,02-01-2019 07:30,613,874,53.3,70.6,81,17.9,11.9
02-01-2019 07:30,02-01-2019 07:45,613,874,55,73.1,83.7,18,13.4
02-01-2019 07:45,02-01-2019 08:00,536,703,56.9,75,86.2,18.3,16.6
02-01-2019 08:00,02-01-2019 08:15,536,703,59.1,77.9,89.6,19.3,21.3
02-01-2019 08:15,02-01-2019 08:30,536,703,61.9,81.5,93.8,20.2,26.4
02-01-2019 08:30,02-01-2019 08:45,536,703,63.8,84.3,96.9,20.2,30.7
02-01-2019 08:45,02-01-2019 09:00,574,773,64.4,88,99.3,19.6,30.3
02-01-2019 09:00,02-01-2019 09:15,574,773,63.4,89.8,99.4,20.3,28.3
02-01-2019 09:15,02-01-2019 09:30,574,773,59.2,91.7,97.1,20.9,25.2
02-01-2019 09:30,02-01-2019 09:45,574,773,50.8,97.8,93.4,20.6,21.5
02-01-2019 09:45,02-01-2019 10:00,525,776,35.5,86.6,75,20.2,13.5
02-01-2019 10:00,02-01-2019 10:15,525,776,20.4,76.2,57.2,20,13.2
02-01-2019 10:15,02-01-2019 10:30,525,776,11.4,70.7,46.9,19.1,11.4
02-01-2019 10:30,02-01-2019 10:45,None,776,6.1,65,39.5,21.2,9.6
