From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,433,709,185.35,113.49,207.9,26,32.8
01-01-2019 00:15,01-01-2019 00:30,433,709,182.17,110.4,203.74,25.6,32.6
01-01-2019 00:30,01-01-2019 00:45,433,709,172.63,110.84,196.34,25.1,32.4
01-01-2019 00:45,01-01-2019 01:00,432,699,165.84,110.25,190.59,24.8,32.3
01-01-2019 01:00,01-01-2019 01:15,402,600,159.92,115.01,188.36,24.3,32.5
01-01-2019 01:15,01-01-2019 01:30,402,600,159.95,114.58,188.15,24.5,32.6
01-01-2019 01:30,01-01-2019 01:45,402,600,163.54,114.58,191.02,24.8,32.6
01-01-2019 01:45,01-01-2019 02:00,401,600,163.51,113.21,190.28,24.8,32.6
01-01-2019 02:00,01-01-2019 02:15,399,605,163.35,113.01,190.04,24.9,32.4
01-01-2019 02:15,01-01-2019 02:30,399,605,157.36,112.47,184.97,24.8,32.5
01-01-2019 02:30,01-01-2019 02:45,399,605,146.99,110.61,175.7,24.4,32.6
01-01-2019 02:45,01-01-2019 03:00,398,601,135.15,105.65,163.63,23.8,32.5
01-01-2019 03:00,01-01-2019 03:15,365,571,121.96,104.75,152.61,23.3,32.5
01-01-2019 03:15,01-01-2019 03:30,365,571,109.23,103.61,141.83,23.1,32.3
01-01-2019 03:30,01-01-2019 03:45,365,571,96.7,101.26,130.58,22.4,32.5
01-01-2019 03:45,01-01-2019 04:00,364,564,85.5,99.56,120.72,22.3,32.7
01-01-2019 04:00,01-01-2019 04:15,328,500,74.94,99.43,112.21,21.9,32.4
01-01-2019 04:15,01-01-2019 04:30,328,500,64.23,94.65,101.14,21.4,32.5
01-01-2019 04:30,01-01-2019 04:45,328,500,53.8,94.36,92.64,21,32.6
01-01-2019 04:45,01-01-2019 05:00,327,492,47.07,91.06,85.53,20.6,32.4
01-01-2019 05:00,01-01-2019 05:15,300,428,39.77,88.87,78.54,20.2,32.2
01-01-2019 05:15,01-01-2019 05:30,300,428,30.88,92.95,73.57,19.7,32.6
01-01-2019 05:30,01-01-2019 05:45,300,428,23.54,95.07,68.81,19.5,33.5
01-01-2019 05:45,01-01-2019 06:00,299,426,19.93,92.15,64.39,19.7,33.8
01-01-2019 06:00,01-01-2019 06:15,279,406,18.08,88.81,61.16,19.7,34.3
01-01-2019 06:15,01-01-2019 06:30,279,406,18.61,84.81,59.49,19.7,34.2
01-01-2019 06:30,01-01-2019 06:45,279,406,22.1,76.87,58.12,19.9,34
01-01-2019 06:45,01-01-2019 07:00,278,403,24.66,71.11,57.16,19.9,33.8
01-01-2019 07:00,01-01-2019 07:15,261,383,19.69,73.49,54.43,19.9,33.9
01-01-2019 07:15,01-01-2019 07:30,261,383,16.21,74.81,52.34,19.7,34.5
01-01-2019 07:30,01-01-2019 07:45,261,383,15.01,69.65,48.67,19.5,34.7
01-01-2019 07:45,01-01-2019 08:00,261,384,12.68,70.89,47.46,19.5,35.1
01-01-2019 08:00,01-01-2019 08:15,262,394,14.13,74.41,50.46,19.6,34.7
01-01-2019 08:15,01-01-2019 08:30,262,394,20.77,77.82,57.56,20,33.8
01-01-2019 08:30,01-01-2019 08:45,262,394,18.23,84.29,58.91,19.8,34.4
01-01-2019 08:45,01-01-2019 09:00,263,400,11.38,91.16,57.03,19.5,35.6
01-01-2019 09:00,01-01-2019 09:15,301,450,7.87,84.5,50.74,19.6,38.7
01-01-2019 09:15,01-01-2019 09:30,301,450,5.26,75.37,43.87,19.5,41.7
