From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,125.52,730.4,14.18,3.14,17.32,19.97,None
01-01-2019 00:15,01-01-2019 00:30,134.09,197.86,14.29,3.06,17.35,22.76,4.86
01-01-2019 00:30,01-01-2019 00:45,None,None,14.6,2.79,17.39,24.11,5.42
01-01-2019 00:45,01-01-2019 01:00,142.84,285.99,13.98,3.1,17.09,22.92,8.39
01-01-2019 01:00,01-01-2019 01:15,138.55,458.76,11.62,4.09,15.71,21.12,5.84
01-01-2019 01:15,01-01-2019 01:30,127.26,312.59,9.29,5.13,14.42,19.51,6.86
01-01-2019 01:30,01-01-2019 01:45,120.58,304.37,6.72,6.45,13.16,19.52,6.07
01-01-2019 01:45,01-01-2019 02:00,121.13,291.88,3.78,7.61,11.39,20.51,5.39
01-01-2019 02:00,01-01-2019 02:15,123.2,276.4,1.81,8.41,10.22,20.63,5.86
01-01-2019 02:15,01-01-2019 02:30,117.13,268.73,0.96,8.9,9.87,20.02,5.19
01-01-2019 02:30,01-01-2019 02:45,101.48,252.7,0.42,9.14,9.56,19.12,4.77
01-01-2019 02:45,01-01-2019 03:00,85.54,217.96,0.17,9.25,9.42,18.21,4.83
01-01-2019 03:00,01-01-2019 03:15,74.1,177.78,None,9.42,9.25,17.69,4.22
01-01-2019 03:15,01-01-2019 03:30,65.35,162.76,None,9.4,9.06,17.44,5.19
01-01-2019 03:30,01-01-2019 03:45,65.88,169.65,None,9.57,9.12,16.17,3.51
01-01-2019 03:45,01-01-2019 04:00,67.52,166.97,None,9.41,9.22,15.39,4.37
01-01-2019 04:00,01-01-2019 04:15,68.08,152.06,None,9.43,8.91,15.04,4.15
01-01-2019 04:15,01-01-2019 04:30,65.61,138.08,None,9.93,8.92,14.81,4.03
01-01-2019 04:30,01-01-2019 04:45,63.8,132,None,9.66,8.71,14.87,3.66
01-01-2019 04:45,01-01-2019 05:00,66.68,132.96,0.02,9.66,8.98,15.61,3.82
01-01-2019 05:00,01-01-2019 05:15,67.69,135.4,2.39,8.36,10.74,17.77,3.27
01-01-2019 05:15,01-01-2019 05:30,72.77,143.16,5.81,6.94,12.74,19.83,3.72
01-01-2019 05:30,01-01-2019 05:45,82.68,143.16,8.29,5.75,14.04,24.84,4.37
01-01-2019 05:45,01-01-2019 06:00,99.38,139.83,10.07,5.09,15.16,27.18,4.54
01-01-2019 06:00,01-01-2019 06:15,110.47,130.04,11.04,4.75,15.8,26.8,4.86
01-01-2019 06:15,01-01-2019 06:30,117.09,133.41,11.77,4.34,16.11,25.48,5.22
01-01-2019 06:30,01-01-2019 06:45,123.31,177.1,12.39,3.98,16.37,24.73,6.14
01-01-2019 06:45,01-01-2019 07:00,138.04,292.58,13.34,3.59,16.93,24.43,6.8
01-01-2019 07:00,01-01-2019 07:15,157.36,434.26,13.51,3.69,17.2,25.72,7.24
01-01-2019 07:15,01-01-2019 07:30,174.51,511.51,13.83,3.38,17.22,27.77,8.49
01-01-2019 07:30,01-01-2019 07:45,191.68,533.95,14.01,3.28,17.29,29.85,9.37
01-01-2019 07:45,01-01-2019 08:00,213.14,530.56,14.26,3.03,17.29,34.33,8.83
01-01-2019 08:00,01-01-2019 08:15,221.81,489,14.46,3.08,17.54,34.06,6.91
01-01-2019 08:15,01-01-2019 08:30,206.19,398.32,14.52,3.09,17.61,32.03,6.04
01-01-2019 08:30,01-01-2019 08:45,161.4,311.27,14.72,2.8,17.52,30.13,4.9
01-01-2019 08:45,01-01-2019 09:00,110.37,251.44,14.64,3.03,17.66,28.25,4.06
01-01-2019 09:00,01-01-2019 09:15,84.05,218.99,13.81,3.18,16.99,28.34,9.23
01-01-2019 09:15,01-01-2019 09:30,84.67,192.54,11.52,4.05,15.57,28.59,7.1
01-01-2019 09:30,01-01-2019 09:45,91.1,195.73,9.36,5.07,14.43,29.51,9.21
01-01-2019 09:45,01-01-2019 10:00,92.62,215.29,5.95,6.36,12.3,26.92,7.25
01-01-2019 10:00,01-01-2019 10:15,83.77,223.89,2.53,8.16,10.68,25.56,9.52
01-01-2019 10:15,01-01-2019 10:30,77.1,212.65,0.5,9.08,9.54,25.37,8.61
01-01-2019 10:30,01-01-2019 10:45,83.59,219,None,9.77,8.53,21.74,5.24
01-01-2019 10:45,01-01-2019 11:00,82.71,223.28,None,10.06,8.39,22.3,12.93
01-01-2019 11:00,01-01-2019 11:15,76.92,224.35,None,10.26,8.22,22.79,15.17
