From Date,To Date,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2019 00:00,01-01-2019 00:15,172.45,326.76,37.07,48.16,121.34,3.16,25.03
01-01-2019 00:15,01-01-2019 00:30,172.73,333.43,31.78,46.52,137.21,3.66,28.92
01-01-2019 00:30,01-01-2019 00:45,None,None,44.22,53.89,None,None,18.42
01-01-2019 00:45,01-01-2019 01:00,174.1,369.6,59.01,61.63,117.22,4.98,22.19
01-01-2019 01:00,01-01-2019 01:15,174.1,369.6,24.81,47.86,102.25,4.72,30.55
01-01-2019 01:15,01-01-2019 01:30,173.08,365.45,23.27,45.96,99.23,4.5,29.83
01-01-2019 01:30,01-01-2019 01:45,167.56,342.92,49.86,50.37,90.02,4.2,27.82
01-01-2019 01:45,01-01-2019 02:00,167.56,342.92,41.35,58.6,88.46,4.17,22.02
01-01-2019 02:00,01-01-2019 02:15,167.56,342.92,26.22,43.31,78.85,2.44,33.21
01-01-2019 02:15,01-01-2019 02:30,173.08,365.45,54.03,55.31,99.23,4.5,24.22
01-01-2019 02:30,01-01-2019 02:45,167.56,342.92,34.92,51.32,90.02,4.2,30.74
01-01-2019 02:45,01-01-2019 03:00,157.29,278.99,38.47,49.88,86.07,2.24,28.95
01-01-2019 03:00,01-01-2019 03:15,157.29,278.99,46.01,61.56,75.35,2.06,16.58
01-01-2019 03:15,01-01-2019 03:30,157.72,279.1,23.85,42.71,72.5,2.1,36.13
01-01-2019 03:30,01-01-2019 03:45,160.08,279.71,38.7,51.11,82.67,2.01,27.84
01-01-2019 03:45,01-01-2019 04:00,160.08,279.71,50.12,56.13,75.98,1.66,26.17
01-01-2019 04:00,01-01-2019 04:15,160.08,279.71,52.02,59.68,60.62,2.32,23.05
01-01-2019 04:15,01-01-2019 04:30,157.72,279.1,50.15,56.9,72.5,2.1,24.81
01-01-2019 04:30,01-01-2019 04:45,160.08,279.71,26.13,43.41,82.67,2.01,31.27
01-01-2019 04:45,01-01-2019 05:00,141.96,238.96,39.42,48.95,108.99,3.59,29.69
01-01-2019 05:00,01-01-2019 05:15,141.96,238.96,40.96,53.45,112.11,3.74,32.12
01-01-2019 05:15,01-01-2019 05:30,141.61,237.17,52.95,61.34,107.61,3.65,25.26
01-01-2019 05:30,01-01-2019 05:45,139.71,227.47,24.58,48.59,104.96,3.59,28.36
01-01-2019 05:45,01-01-2019 06:00,139.71,227.47,30.74,44.72,129.81,3.83,33.45
01-01-2019 06:00,01-01-2019 06:15,139.71,227.47,36.12,58.32,106.8,2.79,20.25
01-01-2019 06:15,01-01-2019 06:30,135.24,228.08,19.72,39.3,131.67,3.27,28.5
01-01-2019 06:30,01-01-2019 06:45,112.91,231.12,9.26,37.07,122.39,3.07,22.84
01-01-2019 06:45,01-01-2019 07:00,112.91,231.12,8.53,31.68,111.9,2.96,27.41
