,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2,date,StationId
0,2020-01-01 00:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
1,2020-01-01 00:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
2,2020-01-01 00:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
3,2020-01-01 00:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
4,2020-01-01 01:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
5,2020-01-01 01:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
6,2020-01-01 01:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
7,2020-01-01 01:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
8,2020-01-01 02:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
9,2020-01-01 02:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
10,2020-01-01 02:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
11,2020-01-01 02:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
12,2020-01-01 03:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
13,2020-01-01 03:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
14,2020-01-01 03:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
15,2020-01-01 03:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
16,2020-01-01 04:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
17,2020-01-01 04:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
18,2020-01-01 04:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
19,2020-01-01 04:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
20,2020-01-01 05:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
21,2020-01-01 05:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
22,2020-01-01 05:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
23,2020-01-01 05:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
24,2020-01-01 06:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
25,2020-01-01 06:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
26,2020-01-01 06:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
27,2020-01-01 06:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
28,2020-01-01 07:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
29,2020-01-01 07:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
30,2020-01-01 07:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
31,2020-01-01 07:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
32,2020-01-01 08:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
33,2020-01-01 08:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
34,2020-01-01 08:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
35,2020-01-01 08:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
36,2020-01-01 09:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
37,2020-01-01 09:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
38,2020-01-01 09:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
39,2020-01-01 09:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
40,2020-01-01 10:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
41,2020-01-01 10:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
42,2020-01-01 10:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
43,2020-01-01 10:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
44,2020-01-01 11:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
45,2020-01-01 11:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
46,2020-01-01 11:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
47,2020-01-01 11:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
48,2020-01-01 12:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
49,2020-01-01 12:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
50,2020-01-01 12:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
51,2020-01-01 12:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
52,2020-01-01 13:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
53,2020-01-01 13:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
54,2020-01-01 13:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
55,2020-01-01 13:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
56,2020-01-01 14:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
57,2020-01-01 14:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
58,2020-01-01 14:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
59,2020-01-01 14:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
60,2020-01-01 15:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
61,2020-01-01 15:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
62,2020-01-01 15:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
63,2020-01-01 15:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
64,2020-01-01 16:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
65,2020-01-01 16:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
66,2020-01-01 16:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
67,2020-01-01 16:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
68,2020-01-01 17:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
69,2020-01-01 17:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
70,2020-01-01 17:30:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
71,2020-01-01 17:45:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
72,2020-01-01 18:00:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
73,2020-01-01 18:15:00,,,,,,,,2020-01-01,"Mangala, Bilaspur - NTPC"
