,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,,,6.11,18.14,24.25,21.46,5.7
1,2020-01-01 00:15:00,,,5.73,18.69,24.42,17.12,5.42
2,2020-01-01 00:30:00,,,4.94,18.18,23.13,19.45,5.48
3,2020-01-01 00:45:00,,,4.58,16.03,20.61,20.03,5.61
4,2020-01-01 01:00:00,,,7.88,16.53,24.4,20.61,4.92
5,2020-01-01 01:15:00,,,4.7,15.26,19.96,23.95,3.43
6,2020-01-01 01:30:00,,,3.24,14.82,18.06,29.45,3.24
7,2020-01-01 01:45:00,,,3.48,14.38,17.86,32.36,3.11
8,2020-01-01 02:00:00,,,3.97,12.65,16.61,30.01,2.88
9,2020-01-01 02:15:00,,,5.81,14.29,20.1,24.86,3.52
10,2020-01-01 02:30:00,,,2.69,15.25,17.94,24.8,2.84
11,2020-01-01 02:45:00,,,1.83,12.91,14.74,37.81,3.01
12,2020-01-01 03:00:00,,,2.06,13.08,15.14,39.21,3.55
13,2020-01-01 03:15:00,,,1.27,13.23,14.49,41.18,3.05
14,2020-01-01 03:30:00,,,0.89,12.84,13.7,47.98,3.29
15,2020-01-01 03:45:00,,,1.1,11.79,12.72,47.75,2.34
16,2020-01-01 04:00:00,,,5.9,11.46,17.36,40.04,3.33
17,2020-01-01 04:15:00,,,6.65,12.01,18.66,38.61,2.88
18,2020-01-01 04:30:00,,,8.25,11.63,19.88,38.71,3.0
19,2020-01-01 04:45:00,,,1.92,11.49,13.41,37.0,3.6
20,2020-01-01 05:00:00,,,1.97,8.98,10.93,37.69,2.23
21,2020-01-01 05:15:00,,,6.16,9.05,15.21,26.31,4.75
22,2020-01-01 05:30:00,,,34.62,4.71,39.01,26.93,4.48
23,2020-01-01 05:45:00,,,29.75,7.46,35.9,19.38,5.08
24,2020-01-01 06:00:00,,,86.83,18.5,101.48,13.36,5.18
25,2020-01-01 06:15:00,,,18.11,21.76,39.87,11.9,4.44
26,2020-01-01 06:30:00,,,37.71,31.55,69.25,10.94,5.23
27,2020-01-01 06:45:00,,,13.47,30.27,43.74,9.97,4.24
28,2020-01-01 07:00:00,,,5.15,18.67,23.82,11.47,4.67
29,2020-01-01 07:15:00,,,6.24,13.27,19.51,17.61,4.64
30,2020-01-01 07:30:00,,,5.13,10.94,16.06,25.32,4.92
31,2020-01-01 07:45:00,,,6.34,10.8,17.14,22.65,4.14
