,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,209.9,370.9,36.43,105.02,83.34,,9.33
1,2020-01-01 00:15:00,249.4,367.7,37.25,98.73,80.71,,9.46
2,2020-01-01 00:30:00,249.4,367.7,64.21,99.28,102.62,,9.33
3,2020-01-01 00:45:00,249.4,367.7,43.77,99.17,86.16,,9.11
4,2020-01-01 01:00:00,249.0,362.5,40.47,97.04,82.4,,10.5
5,2020-01-01 01:15:00,245.5,320.9,48.18,98.68,89.45,,13.6
6,2020-01-01 01:30:00,245.5,320.9,45.36,102.45,89.16,,13.68
7,2020-01-01 01:45:00,245.5,320.9,50.36,100.44,92.12,,13.48
8,2020-01-01 02:00:00,243.2,314.9,45.21,95.84,85.58,,13.7
9,2020-01-01 02:15:00,225.2,267.0,151.68,89.63,167.71,,11.56
10,2020-01-01 02:30:00,225.2,267.0,261.97,90.24,256.47,,11.74
11,2020-01-01 02:45:00,225.2,267.0,266.88,97.67,264.3,,13.12
12,2020-01-01 03:00:00,223.6,266.8,247.59,94.52,247.18,,
13,2020-01-01 03:15:00,210.7,264.7,179.63,75.14,182.55,,10.83
14,2020-01-01 03:30:00,210.7,264.7,128.42,78.38,143.18,,9.53
15,2020-01-01 03:45:00,210.7,264.7,92.15,86.29,118.22,,9.72
16,2020-01-01 04:00:00,208.4,260.6,108.44,60.09,117.59,,8.94
17,2020-01-01 04:15:00,189.8,228.2,95.5,60.02,107.17,,8.17
18,2020-01-01 04:30:00,189.8,228.2,81.38,62.13,96.95,,8.46
19,2020-01-01 04:45:00,189.8,228.2,140.51,51.25,138.68,,8.21
20,2020-01-01 05:00:00,188.6,226.4,213.22,53.88,198.32,,7.56
21,2020-01-01 05:15:00,179.6,211.3,243.46,52.86,222.08,,7.76
22,2020-01-01 05:30:00,179.6,211.3,119.84,55.0,124.06,,8.34
23,2020-01-01 05:45:00,179.6,211.3,104.2,54.67,111.35,,9.06
24,2020-01-01 06:00:00,182.7,213.2,101.16,52.62,107.84,,9.72
25,2020-01-01 06:15:00,207.4,228.7,138.51,50.3,136.58,,9.12
26,2020-01-01 06:30:00,207.4,228.7,120.56,45.75,119.81,,8.9
27,2020-01-01 06:45:00,207.4,228.7,86.91,40.87,90.27,,8.88
28,2020-01-01 07:00:00,205.3,229.2,87.14,38.61,89.26,,
29,2020-01-01 07:15:00,188.1,233.1,81.54,49.19,90.32,,8.09
30,2020-01-01 07:30:00,188.1,233.1,147.19,49.87,143.32,,7.71
31,2020-01-01 07:45:00,188.1,233.1,130.88,46.53,128.49,,7.74
32,2020-01-01 08:00:00,183.8,228.6,119.91,45.31,119.05,,7.8
33,2020-01-01 08:15:00,149.2,192.9,116.35,42.76,114.87,,7.92
