dates,PM25,PM10,NO,NO2,NOx,Ozone
01-01-2020 00:15,184,308.1,172.5,57.8,230.6,6.06
01-01-2020 00:30,175,298.7,158.3,57.2,215.8,5.62
01-01-2020 00:45,175,298.7,137.6,57.8,195.8,5.31
01-01-2020 01:00,175,298.7,117.1,57.6,175,4.88
01-01-2020 01:15,167,291.6,121,59.9,182.9,4.83
01-01-2020 01:30,158.6,284.2,120.3,60,180.6,5.19
01-01-2020 01:45,158.6,284.2,114.7,56.1,171.1,4.7
01-01-2020 02:00,158.6,284.2,112.7,55.8,168.7,4.91
01-01-2020 02:15,157.5,275.5,121.4,55.5,177.2,4.85
01-01-2020 02:30,156.3,266.4,146.1,56.1,202.5,4.96
01-01-2020 02:45,156.3,266.4,152,54.3,206.5,5.16
01-01-2020 03:00,156.3,266.4,136,52,188.3,4.71
01-01-2020 03:15,150.6,267.9,130.7,49.5,180.4,4.37
01-01-2020 03:30,144.6,269.4,107.4,50.7,158.4,3.37
01-01-2020 03:45,144.6,269.4,70.3,49.8,120.4,3.71
01-01-2020 04:00,144.6,269.4,50.6,46.8,97.7,4.79
01-01-2020 04:15,134.1,255.6,44.2,45.7,90.2,5.75
01-01-2020 04:30,123,241.3,39.8,44.4,84.6,5.87
01-01-2020 04:45,123,241.3,36.7,42.2,79.2,7.91
01-01-2020 05:00,123,241.3,34.6,40.6,75.5,9.78
01-01-2020 05:15,113.4,221.1,34.1,33,67.7,10.35
01-01-2020 05:30,103.3,200.1,32.3,37,69.6,9.4
01-01-2020 05:45,103.3,200.1,31.9,37.4,69.6,7.45
01-01-2020 06:00,103.3,200.1,33.3,38.9,72.4,5.91
01-01-2020 06:15,97.6,185.2,37.9,42.8,80.9,9.08
01-01-2020 06:30,91.8,169.6,37.2,40.7,78.2,7.12
01-01-2020 06:45,91.8,169.6,36.1,38.9,75.2,8.23
01-01-2020 07:00,91.8,169.6,38.8,38.5,77.7,8.53
01-01-2020 07:15,94.9,193.3,40.4,38.5,79.2,7.24
01-01-2020 07:30,97.9,218.1,39.5,38.9,78.7,7.36
01-01-2020 07:45,97.9,218.1,49.2,42,91.6,7.38
01-01-2020 08:00,97.9,218.1,56.7,45.8,102.8,8.36
01-01-2020 08:15,100.8,224.5,51.2,47.3,98.8,8.47
01-01-2020 08:30,103.8,231.1,41.7,47.1,89.1,9.43
01-01-2020 08:45,103.8,231.1,34.9,47.6,82.8,12.51
01-01-2020 09:00,103.8,231.1,29.7,46,76,17.14
01-01-2020 09:15,107.8,238.5,21,35.1,57.4,28.15
01-01-2020 09:30,112,245.8,20.2,33.8,54.3,38.94
01-01-2020 09:45,112,245.8,18.9,31,50.2,44.9
01-01-2020 10:00,112,245.8,18.2,32.2,50.8,49.66
01-01-2020 10:15,111,226.9,17.8,35.1,53.2,49.74
01-01-2020 10:30,110,207.1,17.1,38.4,55.8,54.31
01-01-2020 10:45,110,207.1,16,37.6,53.9,59.6
01-01-2020 11:00,110,207.1,14.7,34.6,49.5,71.17
01-01-2020 11:15,97.3,210.9,14,31.6,45.9,71.16
01-01-2020 11:30,84.6,214.6,13.2,28.4,41.9,77.24
01-01-2020 11:45,84.6,214.6,12.4,29,41.7,83.92
01-01-2020 12:00,84.6,214.6,11.6,25,36.9,87.07
01-01-2020 12:15,84.5,202.2,10.6,24.4,35.3,89.39
01-01-2020 12:30,84.5,189.8,9.9,21.8,32,91.16
01-01-2020 12:45,84.5,189.8,9.4,23.7,33.3,93.1
01-01-2020 13:00,84.5,189.8,8.7,23,32.1,97.4
01-01-2020 13:15,80.5,184,10,21.3,32,100.82
01-01-2020 13:30,76.3,178.3,8.7,21.4,30.4,102.71
01-01-2020 13:45,76.3,178.3,8.2,21.9,30.4,96.22
01-01-2020 14:00,76.3,178.3,7.8,22.3,30.4,98.7
01-01-2020 14:15,75,164.7,7.6,20.3,28.2,102.4
01-01-2020 14:30,73.8,151.1,7.5,20.8,28.6,99.18
01-01-2020 14:45,73.8,151.1,7.3,21.8,29.4,96.4
01-01-2020 15:00,73.8,151.1,7.3,23.8,31.4,96.88
01-01-2020 15:15,71.2,152.2,7.2,23.2,30.7,103.16
01-01-2020 15:30,68.7,153.2,7.2,24.5,32,97.35
01-01-2020 15:45,68.7,153.2,7.3,28.6,36.2,85.58
01-01-2020 16:00,68.7,153.2,7.4,31.8,39.5,81.77
01-01-2020 16:15,68.5,151.9,7.4,32.9,40.5,63.16
01-01-2020 16:30,68.3,150.6,7.4,34,41.7,58.69
01-01-2020 16:45,68.3,150.6,7.6,40.3,48.2,56.57
01-01-2020 17:00,68.3,150.6,7.4,47.1,54.9,45.85
01-01-2020 17:15,67.9,154.7,8.6,56.4,65.3,35.11
01-01-2020 17:30,67.5,159,7.9,62.5,70.7,30.32
01-01-2020 17:45,67.5,159,7.9,63.3,71.4,25.64
01-01-2020 18:00,67.5,159,8.4,67.6,76.3,15.76
01-01-2020 18:15,72.7,163.9,12.4,81.3,94,6.85
01-01-2020 18:30,77.9,169.1,14.7,88.5,103.5,5.99
01-01-2020 18:45,77.9,169.1,26.4,81,107.7,5.26
01-01-2020 19:00,77.9,169.1,53.6,77.9,131.8,6.31
01-01-2020 19:15,83.9,187.7,69.7,77.9,147.9,6.53
01-01-2020 19:30,89.9,206.4,111.9,77.3,189.5,7.98
01-01-2020 19:45,89.9,206.4,115,75.9,191.2,7.12
01-01-2020 20:00,89.9,206.4,115.2,79.4,194.9,6.85
01-01-2020 20:15,122.5,315.7,150.9,80.1,231.3,14.03
01-01-2020 20:30,155.1,430,208.9,79.5,288.7,11.34
01-01-2020 20:45,155.1,430,209.3,84.4,293.9,10.65
01-01-2020 21:00,155.1,430,220.6,82.9,303.9,9.29
01-01-2020 21:15,173.6,425.4,171.4,71.6,245.9,8.44
01-01-2020 21:30,192.1,420.9,150.1,80,230.5,8.09
01-01-2020 21:45,192.1,420.9,126.2,78.6,205.1,7.3
01-01-2020 22:00,192.1,420.9,130.8,77.1,208.3,7.97
01-01-2020 22:15,196.5,391.4,109.2,73.4,183,6.51
01-01-2020 22:30,201,361.9,69.8,68.9,138.9,5.3
01-01-2020 22:45,None,None,None,None,123.4,None
01-01-2020 23:00,201,361.9,44.9,58.3,103.5,4.7
01-01-2020 23:15,189.4,315.4,35.8,52.2,88.3,5.46
