,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,264.7,434.3,131.8,90.3,222.1,8.67,24.0
1,2020-01-01 00:15:00,264.7,434.3,134.3,87.8,222.1,8.04,26.8
2,2020-01-01 00:30:00,,421.6,114.8,84.3,199.1,7.45,26.2
3,2020-01-01 00:45:00,225.4,399.6,111.0,82.8,193.8,7.43,25.3
4,2020-01-01 01:00:00,,399.6,110.9,83.7,194.5,7.42,23.6
5,2020-01-01 01:15:00,,399.6,94.5,81.4,175.9,7.28,23.1
6,2020-01-01 01:30:00,,384.2,69.9,74.6,144.5,7.01,20.9
7,2020-01-01 01:45:00,,357.6,61.8,72.7,134.5,6.9,20.9
8,2020-01-01 02:00:00,,357.6,52.4,68.9,121.3,6.54,18.9
9,2020-01-01 02:15:00,,357.6,54.0,68.2,122.2,6.3,18.2
10,2020-01-01 02:30:00,,325.4,86.8,74.2,161.0,6.43,18.0
11,2020-01-01 02:45:00,,272.8,105.1,78.1,183.2,6.47,18.7
12,2020-01-01 03:00:00,,272.8,103.3,75.5,178.8,5.29,18.0
13,2020-01-01 03:15:00,,272.8,98.5,74.8,173.3,5.85,19.5
14,2020-01-01 03:30:00,,279.9,77.6,70.9,149.0,6.26,19.8
15,2020-01-01 03:45:00,,292.3,78.4,74.4,152.8,6.84,22.8
16,2020-01-01 04:00:00,,292.3,73.1,75.9,149.0,6.63,19.4
17,2020-01-01 04:15:00,,292.3,61.7,74.5,136.2,7.49,23.5
18,2020-01-01 04:30:00,,269.2,60.2,73.1,133.3,7.01,21.8
19,2020-01-01 04:45:00,,229.3,59.4,70.9,130.3,6.59,19.8
20,2020-01-01 05:00:00,,,95.8,74.5,170.4,6.59,20.0
21,2020-01-01 05:15:00,,,129.4,77.7,207.2,6.79,29.7
22,2020-01-01 05:30:00,,245.0,93.1,72.2,165.8,6.66,26.0
23,2020-01-01 05:45:00,,272.2,83.4,66.6,150.0,6.19,25.9
24,2020-01-01 06:00:00,,272.2,85.0,67.2,152.1,6.43,25.0
25,2020-01-01 06:15:00,,,82.4,68.0,150.3,6.81,26.3
26,2020-01-01 06:30:00,,266.4,83.7,69.7,153.4,6.57,30.0
27,2020-01-01 06:45:00,,257.1,93.4,71.4,164.8,6.46,31.9
28,2020-01-01 07:00:00,127.8,257.1,80.2,68.2,148.4,6.93,36.8
29,2020-01-01 07:15:00,127.8,257.1,68.4,65.3,133.7,6.96,67.3
30,2020-01-01 07:30:00,134.7,259.7,51.9,65.9,118.2,7.47,62.7
31,2020-01-01 07:45:00,146.8,264.3,48.8,65.3,114.1,8.09,54.3
32,2020-01-01 08:00:00,146.8,264.3,45.8,66.1,111.9,8.55,41.9
33,2020-01-01 08:15:00,146.8,264.3,37.8,61.3,99.1,14.88,50.2
34,2020-01-01 08:30:00,140.9,258.7,33.7,63.3,97.0,15.9,53.5
35,2020-01-01 08:45:00,130.6,248.9,29.9,61.8,91.7,25.66,52.8
36,2020-01-01 09:00:00,130.6,248.9,26.8,58.7,85.5,36.39,46.9
37,2020-01-01 09:15:00,130.6,248.9,23.7,61.6,85.3,40.67,49.7
38,2020-01-01 09:30:00,129.9,242.1,20.7,53.3,74.3,56.8,38.7
39,2020-01-01 09:45:00,128.6,230.4,17.9,51.7,69.6,65.97,35.2
40,2020-01-01 10:00:00,128.6,230.4,15.1,54.4,69.5,64.77,35.7
41,2020-01-01 10:15:00,128.6,230.4,12.2,52.5,64.7,79.37,37.4
42,2020-01-01 10:30:00,122.8,236.3,11.0,54.1,65.2,76.69,38.3
43,2020-01-01 10:45:00,112.8,246.3,9.9,52.2,62.1,82.16,34.9
44,2020-01-01 11:00:00,112.8,246.3,10.5,61.1,71.6,73.99,46.7
45,2020-01-01 11:15:00,112.8,246.3,9.0,57.8,66.8,82.65,49.4
46,2020-01-01 11:30:00,116.2,238.9,7.2,55.0,62.5,82.39,40.3
47,2020-01-01 11:45:00,122.1,226.0,10.0,63.5,73.5,68.58,39.7
48,2020-01-01 12:00:00,122.1,226.0,8.5,61.5,70.0,77.99,28.1
49,2020-01-01 12:15:00,122.1,226.0,7.7,60.2,67.9,78.24,51.4
50,2020-01-01 12:30:00,105.9,208.2,7.1,58.8,65.9,90.18,53.4
51,2020-01-01 12:45:00,78.1,177.3,5.8,52.6,58.4,94.73,42.2
52,2020-01-01 13:00:00,78.1,177.3,5.0,50.5,55.5,103.2,53.4
