,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
96,2020-01-01 00:00:00,117.0,247.67,89.74,43.5,133.26,2.4,8.06
97,2020-01-01 00:15:00,107.56,246.0,,,,,8.3
98,2020-01-01 00:30:00,107.0,246.0,108.52,37.89,146.42,3.07,8.35
99,2020-01-01 00:45:00,107.0,246.0,115.89,38.92,154.81,2.81,8.97
100,2020-01-01 01:00:00,107.0,258.42,137.77,33.97,171.74,2.99,9.3
101,2020-01-01 01:15:00,132.5,259.0,103.0,65.09,167.98,2.61,7.71
102,2020-01-01 01:30:00,,259.0,,,,,
103,2020-01-01 01:45:00,134.0,259.0,,,,,7.41
104,2020-01-01 02:00:00,,256.17,,,,,
105,2020-01-01 02:15:00,,256.0,,,,,
106,2020-01-01 02:30:00,127.0,256.0,,,,,
107,2020-01-01 02:45:00,,256.0,,,,,
108,2020-01-01 03:00:00,127.0,264.6,79.75,38.26,118.01,2.9,6.31
109,2020-01-01 03:15:00,143.06,265.0,88.59,22.58,111.17,3.0,7.1
110,2020-01-01 03:30:00,144.0,265.0,102.04,22.33,124.4,2.84,7.54
111,2020-01-01 03:45:00,144.0,265.0,97.74,37.77,135.52,2.37,7.89
112,2020-01-01 04:00:00,144.0,260.28,94.57,38.58,133.16,2.79,7.98
113,2020-01-01 04:15:00,,260.0,,,,,
114,2020-01-01 04:30:00,150.0,260.0,,,,2.57,9.0
115,2020-01-01 04:45:00,150.0,260.0,154.97,17.68,172.64,2.91,8.69
116,2020-01-01 05:00:00,150.0,285.8,107.77,52.55,160.49,2.69,6.92
117,2020-01-01 05:15:00,146.22,287.0,127.27,19.18,146.27,2.73,8.16
118,2020-01-01 05:30:00,,287.0,,,,,
119,2020-01-01 05:45:00,146.0,287.0,148.53,18.33,166.88,3.03,9.13
120,2020-01-01 06:00:00,,282.27,,,,,
121,2020-01-01 06:15:00,140.32,282.0,,,,3.43,7.48
122,2020-01-01 06:30:00,140.0,282.0,139.61,16.77,156.4,2.55,8.5
123,2020-01-01 06:45:00,140.0,282.0,155.44,24.92,180.21,3.23,10.43
124,2020-01-01 07:00:00,140.0,327.33,159.09,8.13,167.23,2.43,8.69
125,2020-01-01 07:15:00,178.22,330.0,,,,3.53,7.1
126,2020-01-01 07:30:00,180.0,330.0,125.15,31.32,156.87,2.61,7.28
127,2020-01-01 07:45:00,180.0,330.0,141.15,23.9,165.04,2.57,8.8
128,2020-01-01 08:00:00,180.0,301.67,125.13,29.39,154.53,3.76,9.02
129,2020-01-01 08:15:00,164.89,300.0,83.5,33.92,117.41,5.86,7.6
130,2020-01-01 08:30:00,164.0,300.0,84.62,36.76,121.38,5.45,9.04
131,2020-01-01 08:45:00,164.0,300.0,92.41,42.06,134.46,6.35,11.59
132,2020-01-01 09:00:00,164.0,252.78,91.51,42.1,133.62,6.82,14.54
133,2020-01-01 09:15:00,136.93,250.0,90.8,41.24,132.04,9.1,16.31
134,2020-01-01 09:30:00,135.0,250.0,81.69,43.75,125.46,11.3,17.5
135,2020-01-01 09:45:00,135.0,250.0,85.3,34.16,119.46,14.37,18.13
136,2020-01-01 10:00:00,135.0,229.93,75.02,39.02,114.03,27.66,18.98
137,2020-01-01 10:15:00,119.89,229.0,61.94,37.76,99.69,27.29,22.28
138,2020-01-01 10:30:00,119.0,229.0,59.45,42.53,101.98,30.24,22.87
139,2020-01-01 10:45:00,119.0,229.0,56.21,50.37,106.57,33.97,25.79
140,2020-01-01 11:00:00,119.0,209.89,,,,,26.54
141,2020-01-01 11:15:00,123.72,209.0,49.28,37.65,86.93,43.91,25.13
142,2020-01-01 11:30:00,,209.0,,,,,
143,2020-01-01 11:45:00,124.0,209.0,46.69,49.32,96.0,44.96,23.45
144,2020-01-01 12:00:00,124.0,197.67,,,,,
145,2020-01-01 12:15:00,115.5,197.0,41.66,44.48,86.13,59.04,21.44
146,2020-01-01 12:30:00,115.0,197.0,39.73,42.9,82.63,62.02,21.99
147,2020-01-01 12:45:00,115.0,197.0,41.13,58.02,99.16,46.6,21.08
148,2020-01-01 13:00:00,,200.78,,,,,
149,2020-01-01 13:15:00,113.11,201.0,,,,,
150,2020-01-01 13:30:00,,201.0,,,,,
151,2020-01-01 13:45:00,113.0,201.0,,,,,
152,2020-01-01 14:00:00,,158.4,,,,,
153,2020-01-01 14:15:00,,156.0,,,,,
154,2020-01-01 14:30:00,74.0,156.0,,,,,15.15
155,2020-01-01 14:45:00,74.0,156.0,30.94,57.49,88.44,44.36,14.77
156,2020-01-01 15:00:00,74.0,113.0,,,,,14.68
157,2020-01-01 15:15:00,62.67,111.0,,,,,
158,2020-01-01 15:30:00,62.0,111.0,,,,49.45,14.0
159,2020-01-01 15:45:00,62.0,111.0,,,,,
160,2020-01-01 16:00:00,,134.67,,,,,
161,2020-01-01 16:15:00,83.72,136.0,,,,,13.2
162,2020-01-01 16:30:00,85.0,136.0,,,,,
163,2020-01-01 16:45:00,,136.0,,,,,
164,2020-01-01 17:00:00,85.0,160.0,,,,,10.71
165,2020-01-01 17:15:00,,161.0,,,,,
166,2020-01-01 17:30:00,95.0,161.0,,,,,7.88
167,2020-01-01 17:45:00,,161.0,,,,,
168,2020-01-01 18:00:00,95.0,175.2,,,,,7.18
169,2020-01-01 18:15:00,100.6,176.0,18.7,79.85,98.53,43.85,6.29
170,2020-01-01 18:30:00,101.0,176.0,17.6,75.12,92.71,33.16,6.83
171,2020-01-01 18:45:00,101.0,176.0,22.08,81.14,103.22,29.81,7.14
172,2020-01-01 19:00:00,101.0,188.28,,,,,6.96
173,2020-01-01 19:15:00,109.5,189.0,38.33,79.27,117.6,21.8,7.35
174,2020-01-01 19:30:00,,189.0,,,,,
175,2020-01-01 19:45:00,110.0,189.0,53.7,93.62,147.32,4.81,8.43
