,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,,173.0,17.6,62.3,47.4,35.3,4.2
1,2020-01-01 00:15:00,122.0,173.0,17.8,60.8,46.8,26.5,3.4
2,2020-01-01 00:30:00,122.0,173.0,15.4,54.9,41.7,30.3,3.6
3,2020-01-01 00:45:00,138.0,194.0,15.7,60.5,44.9,32.4,3.1
4,2020-01-01 01:00:00,138.0,194.0,16.4,62.3,46.5,33.4,3.5
5,2020-01-01 01:15:00,138.0,194.0,15.7,61.8,45.6,28.6,3.4
6,2020-01-01 01:30:00,138.0,194.0,14.7,60.8,44.3,31.0,2.6
7,2020-01-01 01:45:00,135.0,180.0,14.1,59.5,43.1,32.6,2.6
8,2020-01-01 02:00:00,135.0,180.0,13.4,56.3,40.8,32.1,2.8
9,2020-01-01 02:15:00,135.0,180.0,11.9,51.2,36.9,28.5,2.6
10,2020-01-01 02:30:00,135.0,180.0,10.3,47.4,33.6,33.5,3.2
11,2020-01-01 02:45:00,124.0,164.0,9.3,44.6,31.3,31.0,2.9
12,2020-01-01 03:00:00,124.0,164.0,10.1,46.3,32.9,31.7,2.8
13,2020-01-01 03:15:00,124.0,164.0,9.7,47.5,33.1,33.0,2.6
14,2020-01-01 03:30:00,124.0,164.0,9.2,47.6,32.8,30.7,2.1
15,2020-01-01 03:45:00,124.0,161.0,8.6,46.4,31.6,31.4,1.6
16,2020-01-01 04:00:00,124.0,161.0,8.5,45.1,31.0,30.3,1.7
17,2020-01-01 04:15:00,124.0,161.0,8.3,43.0,29.6,30.9,2.0
18,2020-01-01 04:30:00,124.0,161.0,8.3,41.8,28.9,28.9,1.7
19,2020-01-01 04:45:00,116.0,143.0,8.3,40.9,28.5,33.3,1.5
20,2020-01-01 05:00:00,116.0,143.0,8.3,41.5,28.8,31.5,1.7
21,2020-01-01 05:15:00,116.0,143.0,8.1,41.6,28.7,30.8,2.5
22,2020-01-01 05:30:00,116.0,143.0,8.3,41.3,28.7,31.9,2.7
23,2020-01-01 05:45:00,103.0,132.0,8.3,42.0,29.1,28.2,2.2
24,2020-01-01 06:00:00,103.0,132.0,8.5,43.9,30.3,38.5,2.8
25,2020-01-01 06:15:00,103.0,132.0,9.2,48.1,33.1,32.2,3.4
26,2020-01-01 06:30:00,103.0,132.0,11.2,51.6,36.5,28.3,2.2
27,2020-01-01 06:45:00,109.0,149.0,12.4,51.1,37.3,32.2,2.1
28,2020-01-01 07:00:00,109.0,149.0,11.7,48.6,35.4,33.5,2.1
29,2020-01-01 07:15:00,109.0,149.0,12.1,49.4,36.1,32.0,2.0
30,2020-01-01 07:30:00,109.0,149.0,12.5,49.0,36.2,32.1,2.3
31,2020-01-01 07:45:00,131.0,190.0,13.4,47.6,36.2,34.3,2.4
32,2020-01-01 08:00:00,131.0,190.0,13.4,49.2,37.1,30.2,2.9
33,2020-01-01 08:15:00,131.0,190.0,14.0,50.3,38.1,30.2,2.4
34,2020-01-01 08:30:00,131.0,190.0,20.0,49.7,42.7,33.9,2.5
35,2020-01-01 08:45:00,132.0,208.0,19.3,53.4,44.1,,3.6
36,2020-01-01 09:00:00,132.0,208.0,17.6,49.4,40.6,,5.0
37,2020-01-01 09:15:00,132.0,208.0,14.6,44.6,35.6,,5.2
38,2020-01-01 09:30:00,132.0,208.0,14.2,47.4,36.8,45.8,5.7
39,2020-01-01 09:45:00,114.0,171.0,15.7,50.9,39.9,33.2,5.6
40,2020-01-01 10:00:00,114.0,171.0,14.3,48.0,37.2,35.6,6.3
41,2020-01-01 10:15:00,114.0,171.0,12.7,44.9,34.2,33.5,7.9
42,2020-01-01 10:30:00,114.0,171.0,13.3,48.3,36.5,37.6,8.0
43,2020-01-01 10:45:00,98.0,139.0,12.3,46.8,34.9,31.9,
44,2020-01-01 11:00:00,98.0,139.0,11.9,45.1,33.7,35.0,
45,2020-01-01 11:15:00,98.0,139.0,11.2,44.0,32.5,30.9,
