dates,PM25,PM10,NO,NO2,NOx,SO2,Ozone
01-01-2020 00:15,None,None,None,None,None,None,None
01-01-2020 00:30,87.3,148.2,3.97,25.07,29.04,8.03,27.17
01-01-2020 00:45,87.3,148.2,4,27.04,31.04,8.22,26.9
01-01-2020 01:00,87.3,148.2,3.35,25.12,28.47,8.13,30.4
01-01-2020 01:15,90.9,149.4,3.02,22.63,25.65,7.91,32.87
01-01-2020 01:30,100.8,153,2.88,21.44,24.31,7.62,36.42
01-01-2020 01:45,100.8,153,3.06,20.4,23.46,7.47,41.36
01-01-2020 02:00,100.8,153,3.3,19.91,23.21,7.27,46.87
01-01-2020 02:15,98.1,152.9,3.05,19.36,22.41,7.37,45.47
01-01-2020 02:30,91.1,152.8,2.77,18.95,21.73,7.06,42.18
01-01-2020 02:45,91.1,152.8,3.04,18.79,21.83,7.27,39.43
01-01-2020 03:00,91.1,152.8,2.54,17.1,19.64,6.89,47.05
01-01-2020 03:15,91.8,150.7,2.72,16.8,19.52,6.94,38.68
01-01-2020 03:30,93.3,145.6,2.7,17.42,20.12,6.79,40.33
01-01-2020 03:45,93.3,145.6,3,17.27,20.28,7.07,38.65
01-01-2020 04:00,93.3,145.6,3.27,16.67,19.94,7.28,39.22
01-01-2020 04:15,93.1,143.5,3.08,17.05,20.14,None,39.59
01-01-2020 04:30,92.5,137.3,3.37,16.52,19.89,8.56,35.41
01-01-2020 04:45,92.5,137.3,2.77,16.45,19.22,8.99,35.8
01-01-2020 05:00,92.5,137.3,3.02,17.16,20.18,8.79,35.4
01-01-2020 05:15,90.9,136.7,3.31,16.76,20.07,9.28,37.73
01-01-2020 05:30,86.5,134.8,2.95,16.38,19.33,9.13,42.13
01-01-2020 05:45,86.5,134.8,3,16.9,19.9,9.32,42.83
01-01-2020 06:00,86.5,134.8,2.95,16.15,19.1,9.37,46.03
01-01-2020 06:15,87.8,140.4,3.2,16.38,19.58,9.21,48.3
01-01-2020 06:30,90.8,153.5,2.93,16.23,19.15,9.86,45.82
01-01-2020 06:45,90.8,153.5,3.27,16.68,19.95,9.65,43.36
01-01-2020 07:00,90.8,153.5,3.28,17.55,20.83,9.74,42.4
01-01-2020 07:15,95.8,157.4,3.1,18.18,21.28,9.74,42.49
01-01-2020 07:30,108.7,168.6,3.38,19.55,22.92,9.72,34.82
01-01-2020 07:45,108.7,168.6,3.61,20.33,23.95,9.82,39.82
01-01-2020 08:00,108.7,168.6,2.99,20.72,23.71,9.76,41.93
01-01-2020 08:15,111.2,178.5,3.23,22.77,26,None,41.51
01-01-2020 08:30,117.2,201.6,3.71,25.43,29.14,8.27,37.88
01-01-2020 08:45,117.2,201.6,3.87,27.06,30.92,8.02,44.21
01-01-2020 09:00,117.2,201.6,2.94,24.5,27.44,8.46,55.81
01-01-2020 09:15,119.3,201.1,3.71,21.21,24.92,9.77,57.87
01-01-2020 09:30,123.9,199.8,3.66,20.98,24.64,7.65,57.73
01-01-2020 09:45,123.9,199.8,3.64,21.87,25.51,7.6,60.69
01-01-2020 10:00,123.9,199.8,3.89,20.87,24.76,7.71,64.08
01-01-2020 10:15,123.1,198.6,3.73,19.93,23.65,7.31,66.41
01-01-2020 10:30,121,195.2,3.85,20.95,24.8,7.16,72.39
01-01-2020 10:45,121,195.2,3.73,20.93,24.66,7.6,78.13
01-01-2020 11:00,121,195.2,3.25,20.55,23.8,7.89,78.45
01-01-2020 11:15,117.7,191.2,2.76,17.58,20.34,7.49,77.86
01-01-2020 11:30,110.2,181.9,3.4,16.79,20.19,7.61,81.18
01-01-2020 11:45,110.2,181.9,2.81,16.95,19.76,7.5,84.15
01-01-2020 12:00,110.2,181.9,3.84,17.3,21.13,7.58,79.85
01-01-2020 12:15,105.3,172.1,3.42,17.18,20.61,None,97.33
