,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,38.53,109.72,6.6,30.94,37.55,0.88,1.78
1,2020-01-01 00:15:00,38.0,110.0,7.06,32.23,39.29,0.55,1.88
2,2020-01-01 00:30:00,38.0,110.0,7.19,35.92,43.13,1.03,2.01
3,2020-01-01 00:45:00,38.0,110.0,6.6,29.04,35.63,1.04,1.92
4,2020-01-01 01:00:00,45.93,107.8,5.81,20.18,25.97,0.89,1.93
5,2020-01-01 01:15:00,55.0,107.0,5.94,18.3,24.25,1.19,1.94
6,2020-01-01 01:30:00,55.0,107.0,6.07,23.91,29.98,1.28,1.91
7,2020-01-01 01:45:00,55.0,107.0,5.53,19.55,25.1,0.67,1.95
8,2020-01-01 02:00:00,45.2,78.4,5.68,19.23,24.93,1.03,2.04
9,2020-01-01 02:15:00,34.0,68.0,6.2,20.93,27.13,0.91,1.84
10,2020-01-01 02:30:00,34.0,68.0,6.35,19.87,26.21,0.43,2.0
11,2020-01-01 02:45:00,34.0,68.0,7.41,24.93,32.35,0.52,1.93
12,2020-01-01 03:00:00,35.37,64.33,8.22,30.2,38.41,1.07,1.63
13,2020-01-01 03:15:00,37.0,63.0,7.98,28.91,36.88,0.83,1.65
14,2020-01-01 03:30:00,37.0,63.0,7.84,23.6,31.44,0.47,1.61
15,2020-01-01 03:45:00,37.0,63.0,16.29,37.78,54.12,1.02,2.62
16,2020-01-01 04:00:00,36.53,65.2,28.37,52.56,80.93,0.83,2.5
17,2020-01-01 04:15:00,36.0,66.0,23.85,44.99,68.82,,2.12
18,2020-01-01 04:30:00,36.0,66.0,13.01,35.08,48.1,1.03,1.83
19,2020-01-01 04:45:00,36.0,66.0,9.44,29.61,39.04,0.7,1.8
20,2020-01-01 05:00:00,35.53,70.4,8.38,22.2,30.58,1.11,1.72
21,2020-01-01 05:15:00,35.0,72.0,8.12,21.72,29.84,1.2,1.79
22,2020-01-01 05:30:00,35.0,72.0,8.8,32.89,41.69,1.07,1.79
23,2020-01-01 05:45:00,35.0,72.0,10.97,38.63,49.59,1.33,1.83
24,2020-01-01 06:00:00,38.64,75.67,11.66,37.08,48.76,1.03,2.05
25,2020-01-01 06:15:00,43.0,77.0,10.36,37.38,47.75,1.11,1.79
26,2020-01-01 06:30:00,43.0,77.0,9.75,35.78,45.55,1.15,1.99
27,2020-01-01 06:45:00,43.0,77.0,8.83,32.15,40.98,1.05,2.22
28,2020-01-01 07:00:00,48.47,84.33,6.57,27.01,33.61,0.71,2.26
29,2020-01-01 07:15:00,55.0,87.0,7.61,29.07,36.69,0.9,1.95
30,2020-01-01 07:30:00,55.0,87.0,10.02,34.89,44.9,1.34,1.99
31,2020-01-01 07:45:00,55.0,87.0,10.9,36.99,47.69,1.04,1.73
32,2020-01-01 08:00:00,52.72,98.73,11.8,34.88,46.67,0.39,1.8
33,2020-01-01 08:15:00,50.0,103.0,,,,,
34,2020-01-01 08:30:00,50.0,103.0,10.0,25.19,35.19,0.5,1.75
35,2020-01-01 08:45:00,50.0,103.0,8.98,21.69,30.67,0.5,1.85
36,2020-01-01 09:00:00,39.73,90.53,8.69,19.61,28.29,0.48,1.75
37,2020-01-01 09:15:00,28.0,86.0,8.93,20.99,29.92,0.95,1.72
38,2020-01-01 09:30:00,28.0,86.0,9.62,25.08,34.7,0.96,1.68
39,2020-01-01 09:45:00,28.0,86.0,9.27,25.28,34.57,0.77,1.85
40,2020-01-01 10:00:00,28.0,73.53,9.82,26.83,36.68,1.14,1.86
41,2020-01-01 10:15:00,28.0,69.0,10.99,30.85,41.84,0.87,1.84
42,2020-01-01 10:30:00,28.0,69.0,8.57,25.65,34.19,1.13,1.79
43,2020-01-01 10:45:00,28.0,69.0,8.5,28.4,36.91,1.01,2.71
44,2020-01-01 11:00:00,31.64,77.8,8.71,27.49,36.2,0.68,2.85
45,2020-01-01 11:15:00,36.0,81.0,7.92,25.31,33.23,0.95,2.0
46,2020-01-01 11:30:00,36.0,81.0,8.39,28.35,36.74,0.51,1.58
47,2020-01-01 11:45:00,36.0,81.0,8.01,27.9,35.92,0.93,1.7
48,2020-01-01 12:00:00,36.0,79.53,7.54,26.79,34.32,1.08,1.65
49,2020-01-01 12:15:00,36.0,79.0,,,,,
50,2020-01-01 12:30:00,36.0,79.0,7.74,26.72,34.47,1.08,2.91
51,2020-01-01 12:45:00,36.0,79.0,7.89,27.65,35.54,1.09,3.18
52,2020-01-01 13:00:00,29.0,64.33,7.27,30.25,37.52,0.95,2.7
53,2020-01-01 13:15:00,21.0,59.0,5.81,23.32,29.11,0.59,2.13
54,2020-01-01 13:30:00,21.0,59.0,5.04,21.64,26.68,1.17,1.84
55,2020-01-01 13:45:00,21.0,59.0,5.84,25.7,31.54,0.97,2.14
56,2020-01-01 14:00:00,20.07,65.6,6.5,25.94,32.42,1.3,1.95
57,2020-01-01 14:15:00,19.0,68.0,5.86,22.91,28.77,0.71,2.24
58,2020-01-01 14:30:00,19.0,68.0,6.43,24.79,31.23,1.12,2.37
59,2020-01-01 14:45:00,19.0,68.0,8.52,27.62,36.15,0.72,2.41
60,2020-01-01 15:00:00,16.72,,10.1,29.46,39.54,0.88,2.57
61,2020-01-01 15:15:00,14.0,,9.4,30.38,39.79,0.68,2.31
62,2020-01-01 15:30:00,14.0,,7.52,26.77,34.29,0.91,2.46
63,2020-01-01 15:45:00,14.0,,,,,0.52,2.56
64,2020-01-01 16:00:00,12.13,,,,,1.03,2.23
65,2020-01-01 16:15:00,,,,,,,
66,2020-01-01 16:30:00,10.0,,,,,0.88,2.25
67,2020-01-01 16:45:00,10.0,,,,,0.78,3.34
68,2020-01-01 17:00:00,8.13,,,,,0.54,4.59
69,2020-01-01 17:15:00,6.0,,,,,0.82,3.2
70,2020-01-01 17:30:00,6.0,,,,,0.58,2.9
71,2020-01-01 17:45:00,6.0,,13.8,61.8,75.6,0.71,3.14
