,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,763.0,926.0,275.3,87.6,270.8,2.9,23.0
1,2020-01-01 00:15:00,763.0,926.0,295.7,89.3,288.6,2.3,23.7
2,2020-01-01 00:30:00,763.0,926.0,295.1,86.0,286.3,3.7,22.9
3,2020-01-01 00:45:00,851.0,,303.1,79.5,289.4,3.8,23.8
4,2020-01-01 01:00:00,851.0,,306.5,77.3,291.0,,24.1
5,2020-01-01 01:15:00,851.0,,298.4,72.9,282.0,,23.8
6,2020-01-01 01:30:00,851.0,,299.7,70.5,281.7,,25.1
7,2020-01-01 01:45:00,787.0,974.0,274.0,69.4,260.3,,26.7
8,2020-01-01 02:00:00,787.0,974.0,255.9,60.5,240.9,4.1,26.0
9,2020-01-01 02:15:00,787.0,974.0,204.3,67.6,202.6,4.4,24.3
10,2020-01-01 02:30:00,787.0,974.0,234.0,57.3,221.8,3.9,24.5
11,2020-01-01 02:45:00,635.0,790.0,202.3,60.5,197.1,5.0,25.5
12,2020-01-01 03:00:00,635.0,790.0,192.9,42.9,180.1,5.0,25.7
13,2020-01-01 03:15:00,635.0,790.0,204.3,46.9,191.3,5.7,24.9
14,2020-01-01 03:30:00,635.0,790.0,237.0,56.1,223.0,6.3,27.7
15,2020-01-01 03:45:00,732.0,886.0,223.6,56.8,213.0,8.2,30.0
16,2020-01-01 04:00:00,732.0,886.0,164.2,56.8,164.3,9.8,27.8
17,2020-01-01 04:15:00,732.0,886.0,141.0,46.2,139.1,10.0,26.6
18,2020-01-01 04:30:00,732.0,886.0,102.8,48.6,109.6,9.9,22.8
19,2020-01-01 04:45:00,481.0,614.0,81.9,54.2,95.6,10.4,20.3
20,2020-01-01 05:00:00,481.0,614.0,73.4,54.0,88.5,10.8,17.6
21,2020-01-01 05:15:00,481.0,614.0,74.5,56.8,91.0,10.6,15.4
22,2020-01-01 05:30:00,481.0,614.0,73.0,56.8,89.7,9.8,14.4
23,2020-01-01 05:45:00,394.0,509.0,71.0,55.9,87.5,10.2,13.0
24,2020-01-01 06:00:00,394.0,509.0,70.9,53.3,86.1,10.0,12.1
25,2020-01-01 06:15:00,394.0,509.0,75.2,49.7,87.7,8.9,12.3
26,2020-01-01 06:30:00,394.0,509.0,84.8,42.9,91.8,8.4,12.9
27,2020-01-01 06:45:00,378.0,490.0,93.5,44.9,100.1,8.8,13.1
28,2020-01-01 07:00:00,378.0,490.0,91.6,45.0,98.6,8.4,13.0
29,2020-01-01 07:15:00,378.0,490.0,91.0,48.9,100.2,7.3,13.7
30,2020-01-01 07:30:00,378.0,490.0,94.4,51.7,104.4,7.8,13.5
31,2020-01-01 07:45:00,404.0,527.0,94.9,55.8,107.0,7.0,13.5
32,2020-01-01 08:00:00,404.0,527.0,80.0,59.3,96.6,7.9,13.7
33,2020-01-01 08:15:00,404.0,527.0,58.5,71.7,85.9,6.5,14.2
34,2020-01-01 08:30:00,404.0,527.0,54.2,81.5,87.5,6.9,14.7
35,2020-01-01 08:45:00,348.0,469.0,61.1,93.8,99.7,5.9,15.1
36,2020-01-01 09:00:00,348.0,469.0,59.0,114.7,108.9,4.2,17.2
37,2020-01-01 09:15:00,348.0,469.0,29.5,80.8,67.2,6.5,18.0
38,2020-01-01 09:30:00,348.0,469.0,17.8,69.3,51.4,6.5,17.7
39,2020-01-01 09:45:00,322.0,416.0,11.4,56.8,39.5,5.6,17.9
40,2020-01-01 10:00:00,322.0,416.0,10.1,57.2,38.7,5.0,18.8
41,2020-01-01 10:15:00,322.0,416.0,7.8,48.4,32.1,4.5,18.4
