,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
96,2020-01-01 00:00:00,533.0,,305.4,40.7,270.7,3.5,23.8
97,2020-01-01 00:15:00,533.0,,312.1,33.6,272.6,3.7,25.0
98,2020-01-01 00:30:00,533.0,,315.0,44.5,280.5,4.4,28.3
99,2020-01-01 00:45:00,642.0,,330.2,41.7,291.6,3.7,31.3
100,2020-01-01 01:00:00,642.0,,385.4,47.8,339.4,,39.4
101,2020-01-01 01:15:00,642.0,,432.5,38.6,373.2,,48.8
102,2020-01-01 01:30:00,642.0,,410.6,35.6,354.0,,55.5
103,2020-01-01 01:45:00,752.0,,380.9,49.8,337.3,4.6,58.7
104,2020-01-01 02:00:00,752.0,,358.1,41.4,313.7,3.4,53.4
105,2020-01-01 02:15:00,752.0,,349.9,53.7,314.1,3.4,57.4
106,2020-01-01 02:30:00,752.0,,332.9,37.0,290.9,3.7,62.4
107,2020-01-01 02:45:00,759.0,,339.3,29.8,292.7,3.6,68.4
108,2020-01-01 03:00:00,759.0,,355.0,31.6,306.2,3.5,67.5
109,2020-01-01 03:15:00,759.0,,357.4,32.7,308.9,3.4,66.2
110,2020-01-01 03:30:00,759.0,,351.5,42.8,309.3,3.0,72.9
111,2020-01-01 03:45:00,720.0,962.0,325.7,41.6,287.9,2.9,73.8
112,2020-01-01 04:00:00,720.0,962.0,294.5,38.0,260.3,3.5,69.9
113,2020-01-01 04:15:00,720.0,962.0,249.0,46.3,228.1,3.2,68.9
114,2020-01-01 04:30:00,720.0,962.0,286.4,33.1,251.6,3.4,69.6
115,2020-01-01 04:45:00,567.0,775.0,288.5,24.4,248.2,3.0,70.4
116,2020-01-01 05:00:00,567.0,775.0,302.4,39.0,267.2,3.5,61.8
117,2020-01-01 05:15:00,567.0,775.0,318.4,36.0,279.0,3.6,53.2
118,2020-01-01 05:30:00,567.0,775.0,333.3,33.1,289.8,3.2,
119,2020-01-01 05:45:00,549.0,762.0,324.7,30.9,281.4,3.4,38.0
120,2020-01-01 06:00:00,549.0,762.0,307.8,21.3,262.1,3.1,18.0
121,2020-01-01 06:15:00,549.0,762.0,303.9,24.6,260.4,2.8,16.0
122,2020-01-01 06:30:00,549.0,762.0,279.6,41.8,250.3,3.1,16.1
123,2020-01-01 06:45:00,520.0,771.0,293.4,38.1,258.8,3.7,15.0
124,2020-01-01 07:00:00,520.0,771.0,325.4,25.4,278.5,3.5,15.4
125,2020-01-01 07:15:00,520.0,771.0,439.7,42.0,380.5,4.0,17.6
126,2020-01-01 07:30:00,520.0,771.0,369.0,36.8,320.2,3.7,18.6
127,2020-01-01 07:45:00,560.0,882.0,331.3,42.5,292.5,3.3,16.0
128,2020-01-01 08:00:00,560.0,882.0,340.6,40.6,299.1,3.9,16.0
