,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
96,2020-01-01 00:00:00,196.3,375.1,279.74,122.2,402.93,17.43,6.11
97,2020-01-01 00:15:00,239.16,444.15,265.93,120.26,386.2,17.63,9.71
98,2020-01-01 00:30:00,239.16,444.15,285.09,120.52,405.61,18.25,9.05
99,2020-01-01 00:45:00,239.16,444.15,293.13,120.31,413.44,18.94,9.27
100,2020-01-01 01:00:00,239.16,444.15,306.31,121.79,429.15,17.13,9.39
101,2020-01-01 01:15:00,244.72,451.93,230.15,111.76,341.9,18.08,9.14
102,2020-01-01 01:30:00,244.72,452.02,252.59,110.53,363.12,19.25,9.11
103,2020-01-01 01:45:00,244.72,452.02,294.23,116.01,410.24,16.96,9.15
104,2020-01-01 02:00:00,244.72,452.02,317.94,117.14,436.26,15.27,9.39
105,2020-01-01 02:15:00,238.6,434.82,278.18,117.56,395.75,14.05,8.12
106,2020-01-01 02:30:00,238.6,434.82,231.68,103.91,335.59,13.44,7.34
107,2020-01-01 02:45:00,238.6,434.82,203.43,100.74,304.17,17.67,7.03
108,2020-01-01 03:00:00,238.6,434.82,183.47,95.19,278.98,14.82,6.31
109,2020-01-01 03:15:00,217.9,380.14,165.58,83.73,249.31,15.43,5.98
110,2020-01-01 03:30:00,217.9,380.14,137.3,80.51,217.81,13.44,5.85
111,2020-01-01 03:45:00,217.9,380.14,138.22,77.83,216.05,14.81,5.45
112,2020-01-01 04:00:00,217.9,380.14,167.97,82.35,250.32,12.8,5.87
113,2020-01-01 04:15:00,227.23,360.1,205.5,99.36,304.85,14.53,6.13
114,2020-01-01 04:30:00,227.33,360.1,188.68,94.86,283.54,11.66,5.48
115,2020-01-01 04:45:00,227.33,360.1,173.48,88.76,262.24,14.07,4.87
116,2020-01-01 05:00:00,227.33,360.1,135.63,83.77,219.67,14.95,4.35
117,2020-01-01 05:15:00,201.01,321.13,117.48,72.59,190.07,16.11,3.96
118,2020-01-01 05:30:00,201.01,321.13,128.48,75.31,203.79,14.74,4.03
119,2020-01-01 05:45:00,201.01,321.13,163.56,85.89,249.45,13.04,4.39
120,2020-01-01 06:00:00,201.01,321.13,153.05,81.08,234.41,12.05,4.05
121,2020-01-01 06:15:00,164.23,271.89,121.63,74.36,196.0,13.8,3.97
122,2020-01-01 06:30:00,164.23,271.89,115.1,74.04,189.13,8.62,3.54
123,2020-01-01 06:45:00,164.23,271.89,103.37,67.3,170.68,12.71,3.25
124,2020-01-01 07:00:00,164.23,271.89,92.68,66.04,158.99,11.96,3.83
