,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
96,2020-01-01 00:00:00,78.06,147.66,30.92,11.21,34.24,12.27,
97,2020-01-01 00:15:00,73.88,140.26,38.79,15.51,53.71,6.91,4.81
98,2020-01-01 00:30:00,72.61,141.14,34.4,16.11,57.72,8.15,1.03
99,2020-01-01 00:45:00,68.55,145.68,29.9,17.54,42.02,10.19,6.05
100,2020-01-01 01:00:00,64.96,151.13,25.34,17.31,38.09,11.1,1.27
101,2020-01-01 01:15:00,66.67,150.03,31.7,11.47,51.6,10.66,2.65
102,2020-01-01 01:30:00,68.85,141.21,30.56,12.63,39.57,11.1,4.51
103,2020-01-01 01:45:00,71.33,127.0,23.75,11.94,31.49,13.48,4.1
104,2020-01-01 02:00:00,66.04,117.48,24.02,16.66,38.44,19.76,1.98
105,2020-01-01 02:15:00,59.4,114.69,19.88,14.09,32.43,18.14,4.46
106,2020-01-01 02:30:00,61.87,104.01,26.52,12.28,40.24,13.04,0.79
107,2020-01-01 02:45:00,64.03,93.14,24.93,12.35,38.64,18.2,0.48
108,2020-01-01 03:00:00,60.73,94.32,18.94,12.39,33.7,26.83,0.88
109,2020-01-01 03:15:00,50.7,100.29,20.01,13.97,28.99,21.94,
110,2020-01-01 03:30:00,57.98,102.81,19.39,11.0,26.59,19.99,3.05
111,2020-01-01 03:45:00,61.3,96.34,16.32,13.24,32.37,19.47,5.14
112,2020-01-01 04:00:00,55.66,97.85,20.23,10.17,32.92,18.64,0.62
113,2020-01-01 04:15:00,50.53,96.09,15.28,12.69,26.61,9.66,5.01
114,2020-01-01 04:30:00,47.74,94.04,17.83,12.05,27.34,19.28,4.2
115,2020-01-01 04:45:00,49.7,90.44,17.69,9.22,31.29,9.72,2.39
116,2020-01-01 05:00:00,54.18,101.64,91.49,11.49,32.2,24.86,4.11
117,2020-01-01 05:15:00,55.69,104.05,20.53,48.68,31.34,24.93,1.57
118,2020-01-01 05:30:00,55.87,96.31,20.09,13.97,28.21,19.32,2.31
119,2020-01-01 05:45:00,57.7,83.04,20.12,4.27,26.4,12.56,1.8
120,2020-01-01 06:00:00,55.23,82.97,15.17,7.73,25.27,11.49,1.75
121,2020-01-01 06:15:00,49.07,91.12,15.46,8.73,29.19,17.91,1.77
122,2020-01-01 06:30:00,42.67,98.43,15.39,14.88,26.36,17.51,1.63
123,2020-01-01 06:45:00,49.94,94.27,17.36,176.44,25.89,21.05,5.49
124,2020-01-01 07:00:00,62.47,94.16,11.18,11.57,22.97,24.68,5.36
125,2020-01-01 07:15:00,66.88,93.65,18.24,10.55,26.87,25.8,3.86
126,2020-01-01 07:30:00,60.25,97.71,17.89,10.81,29.89,28.26,1.96
127,2020-01-01 07:45:00,51.23,94.79,18.92,85.0,22.17,26.58,3.55
128,2020-01-01 08:00:00,56.79,93.45,13.18,9.75,27.47,28.54,1.71
129,2020-01-01 08:15:00,55.81,90.79,12.44,10.12,17.22,38.84,3.73
130,2020-01-01 08:30:00,57.76,88.2,12.75,12.2,27.8,44.35,2.02
131,2020-01-01 08:45:00,47.68,83.35,16.16,13.92,22.98,55.92,3.94
132,2020-01-01 09:00:00,50.23,82.48,15.65,9.44,22.29,37.01,2.63
133,2020-01-01 09:15:00,49.6,85.84,11.18,13.21,24.36,57.26,2.59
134,2020-01-01 09:30:00,54.96,83.98,10.73,14.82,23.83,58.36,2.63
135,2020-01-01 09:45:00,52.7,81.5,6.98,13.49,22.45,56.38,0.93
136,2020-01-01 10:00:00,47.02,89.94,11.26,97.45,20.64,62.44,2.04
137,2020-01-01 10:15:00,47.58,100.22,21.52,12.69,22.63,46.41,6.39
138,2020-01-01 10:30:00,50.48,103.29,16.42,14.52,24.5,42.13,2.74
139,2020-01-01 10:45:00,46.93,90.42,24.48,86.86,18.9,49.38,2.73
140,2020-01-01 11:00:00,37.05,83.76,8.49,14.55,92.66,71.98,4.04
141,2020-01-01 11:15:00,34.08,79.95,10.49,14.19,27.59,70.06,2.46
142,2020-01-01 11:30:00,37.75,74.41,9.3,13.71,18.99,62.64,4.06
143,2020-01-01 11:45:00,41.59,69.76,8.12,15.02,21.05,72.23,2.18
144,2020-01-01 12:00:00,46.15,74.2,7.11,13.29,19.43,65.88,4.2
145,2020-01-01 12:15:00,39.72,85.82,9.05,85.53,24.53,127.04,3.29
146,2020-01-01 12:30:00,34.61,89.73,17.86,12.56,16.89,84.17,4.89
147,2020-01-01 12:45:00,34.89,93.47,6.56,11.96,22.92,90.73,4.77
148,2020-01-01 13:00:00,39.84,94.72,18.43,13.42,22.16,63.07,2.93
149,2020-01-01 13:15:00,38.55,88.82,16.57,11.07,17.11,76.08,3.78
150,2020-01-01 13:30:00,38.46,79.42,6.56,13.25,23.06,81.78,3.9
151,2020-01-01 13:45:00,37.17,70.91,9.55,12.94,17.48,78.7,1.96
