,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
96,2020-01-01 00:00:00,69.0,,1.6,28.4,16.5,74.9,6.9
97,2020-01-01 00:15:00,69.0,,2.1,24.7,14.8,71.0,9.2
98,2020-01-01 00:30:00,,,,,,,
99,2020-01-01 00:45:00,74.0,,3.2,32.3,19.8,54.3,8.9
100,2020-01-01 01:00:00,74.0,,2.9,28.7,17.6,57.4,8.8
101,2020-01-01 01:15:00,74.0,,3.4,25.9,16.5,81.9,8.2
102,2020-01-01 01:30:00,74.0,,3.2,24.7,15.8,84.6,9.4
103,2020-01-01 01:45:00,,,,,,,
104,2020-01-01 02:00:00,66.0,,2.6,20.5,13.0,87.9,9.3
105,2020-01-01 02:15:00,66.0,,0.7,23.6,13.1,89.7,10.2
106,2020-01-01 02:30:00,66.0,,1.4,26.2,15.1,,9.7
107,2020-01-01 02:45:00,66.0,,1.0,21.9,12.5,,8.3
108,2020-01-01 03:00:00,66.0,,2.3,18.0,11.4,,9.5
109,2020-01-01 03:15:00,66.0,,3.3,19.1,12.9,71.5,8.7
110,2020-01-01 03:30:00,66.0,,2.6,19.7,12.6,87.4,10.6
111,2020-01-01 03:45:00,67.0,,2.6,18.2,11.8,86.9,10.4
112,2020-01-01 04:00:00,,,,,,,
113,2020-01-01 04:15:00,67.0,,2.4,15.4,10.1,83.4,8.9
114,2020-01-01 04:30:00,67.0,,3.2,15.6,10.9,80.2,10.1
115,2020-01-01 04:45:00,60.0,,2.5,16.7,10.9,81.5,9.4
116,2020-01-01 05:00:00,60.0,,2.3,17.2,11.0,77.5,8.3
117,2020-01-01 05:15:00,60.0,,2.1,18.5,11.5,78.5,8.4
118,2020-01-01 05:30:00,60.0,,1.8,19.6,11.9,69.9,8.5
119,2020-01-01 05:45:00,74.0,,2.1,22.2,13.4,67.3,8.4
120,2020-01-01 06:00:00,74.0,,2.9,21.1,13.6,79.8,7.8
121,2020-01-01 06:15:00,74.0,,2.9,22.2,14.2,63.2,8.1
122,2020-01-01 06:30:00,74.0,,3.0,24.5,15.5,82.2,7.8
123,2020-01-01 06:45:00,72.0,,2.9,24.5,15.4,68.5,7.5
124,2020-01-01 07:00:00,,,,,,,
125,2020-01-01 07:15:00,72.0,,2.2,29.0,17.2,67.2,8.0
126,2020-01-01 07:30:00,72.0,,2.4,31.5,18.7,58.5,7.7
127,2020-01-01 07:45:00,75.0,,3.1,30.2,18.6,56.5,8.6
128,2020-01-01 08:00:00,75.0,,3.0,27.4,17.0,66.5,8.4
129,2020-01-01 08:15:00,75.0,,4.1,30.7,19.6,57.8,8.6
130,2020-01-01 08:30:00,75.0,,2.8,30.8,18.7,68.3,7.4
131,2020-01-01 08:45:00,67.0,,2.8,29.8,18.1,52.0,7.4
132,2020-01-01 09:00:00,67.0,,3.8,31.0,19.6,44.2,7.9
133,2020-01-01 09:15:00,67.0,,3.8,27.7,17.9,64.8,7.8
134,2020-01-01 09:30:00,67.0,,3.6,29.5,18.6,40.9,8.6
135,2020-01-01 09:45:00,67.0,,3.8,34.3,21.3,53.1,7.8
136,2020-01-01 10:00:00,67.0,,3.0,34.3,20.6,43.3,8.0
137,2020-01-01 10:15:00,67.0,,4.4,36.3,22.9,56.0,8.5
138,2020-01-01 10:30:00,67.0,,4.3,36.6,22.9,47.8,
139,2020-01-01 10:45:00,71.0,129.0,4.8,38.3,24.2,54.3,
140,2020-01-01 11:00:00,71.0,129.0,4.9,34.7,22.5,64.5,
141,2020-01-01 11:15:00,71.0,129.0,3.6,31.2,19.5,67.7,
142,2020-01-01 11:30:00,71.0,129.0,,,,59.7,9.6
143,2020-01-01 11:45:00,,,,,,,
144,2020-01-01 12:00:00,66.0,112.0,,,,79.2,9.1
145,2020-01-01 12:15:00,66.0,112.0,3.7,26.2,16.9,74.0,8.5
146,2020-01-01 12:30:00,66.0,112.0,3.3,29.0,18.1,87.2,7.7
147,2020-01-01 12:45:00,60.0,,3.1,31.3,19.2,74.4,7.4
148,2020-01-01 13:00:00,60.0,,3.7,29.0,18.5,70.5,8.6
149,2020-01-01 13:15:00,60.0,,4.0,28.9,18.6,83.8,6.9
150,2020-01-01 13:30:00,60.0,,3.4,30.9,19.2,82.9,6.6
151,2020-01-01 13:45:00,,,,,,,
152,2020-01-01 14:00:00,65.0,,2.6,26.1,16.1,80.3,6.3
153,2020-01-01 14:15:00,65.0,,2.5,24.9,15.3,75.1,7.1
154,2020-01-01 14:30:00,65.0,,2.2,23.1,14.1,70.5,7.8
155,2020-01-01 14:45:00,,,,,,,
156,2020-01-01 15:00:00,65.0,112.0,2.2,25.0,15.1,88.2,6.1
157,2020-01-01 15:15:00,65.0,112.0,2.8,23.6,14.8,97.4,6.9
158,2020-01-01 15:30:00,65.0,112.0,2.1,25.3,15.2,98.5,7.2
159,2020-01-01 15:45:00,70.0,123.0,1.9,24.9,14.8,99.8,6.8
160,2020-01-01 16:00:00,,,,,,,
161,2020-01-01 16:15:00,70.0,123.0,2.8,24.5,15.3,95.3,6.7
162,2020-01-01 16:30:00,70.0,123.0,2.5,25.5,15.6,92.6,7.3
163,2020-01-01 16:45:00,69.0,110.0,2.2,25.1,15.1,73.1,7.7
164,2020-01-01 17:00:00,69.0,110.0,2.1,23.0,13.9,73.0,6.7
165,2020-01-01 17:15:00,69.0,110.0,0.8,24.9,13.9,71.8,7.8
166,2020-01-01 17:30:00,69.0,110.0,2.3,26.5,16.0,65.2,7.4
167,2020-01-01 17:45:00,50.0,77.0,2.7,29.9,18.1,73.6,8.9
168,2020-01-01 18:00:00,50.0,77.0,2.8,27.1,16.7,81.7,9.5
169,2020-01-01 18:15:00,50.0,77.0,3.4,28.5,17.9,87.2,9.4
170,2020-01-01 18:30:00,50.0,77.0,3.9,28.0,18.0,77.0,9.4
171,2020-01-01 18:45:00,70.0,110.0,3.2,28.6,17.9,58.8,8.5
172,2020-01-01 19:00:00,70.0,110.0,1.4,28.0,16.1,69.0,8.5
173,2020-01-01 19:15:00,70.0,110.0,2.7,27.8,17.0,60.5,8.2
174,2020-01-01 19:30:00,70.0,110.0,2.5,29.4,17.7,67.1,8.9
175,2020-01-01 19:45:00,62.0,103.0,2.4,29.7,17.8,77.4,8.3
176,2020-01-01 20:00:00,62.0,103.0,3.0,35.4,21.3,72.3,8.1
177,2020-01-01 20:15:00,62.0,103.0,3.3,35.6,21.6,70.4,8.2
178,2020-01-01 20:30:00,62.0,103.0,3.4,39.4,23.7,69.4,7.7
179,2020-01-01 20:45:00,,,,,,,
180,2020-01-01 21:00:00,68.0,113.0,3.7,36.3,22.3,62.9,8.8
181,2020-01-01 21:15:00,68.0,113.0,3.2,35.5,21.5,55.8,8.2
182,2020-01-01 21:30:00,68.0,113.0,2.8,35.2,21.1,64.4,8.2
183,2020-01-01 21:45:00,,,,,,,
184,2020-01-01 22:00:00,54.0,87.0,2.9,31.5,19.1,61.8,7.4
185,2020-01-01 22:15:00,54.0,87.0,2.9,30.9,18.8,57.0,6.4
186,2020-01-01 22:30:00,54.0,87.0,2.2,30.6,18.1,54.3,8.1
187,2020-01-01 22:45:00,,,,,,,
188,2020-01-01 23:00:00,37.0,62.0,2.6,14.6,9.9,53.9,6.3
189,2020-01-01 23:15:00,37.0,62.0,3.5,11.5,9.0,51.1,5.7
190,2020-01-01 23:30:00,37.0,62.0,1.8,10.0,6.8,62.8,5.7
191,2020-01-01 23:45:00,13.0,27.0,2.2,13.0,8.7,57.9,5.6
192,2020-01-02 00:00:00,13.0,27.0,2.1,11.2,7.7,70.5,6.7
193,2020-01-02 00:15:00,13.0,27.0,2.8,9.4,7.3,82.2,8.3
194,2020-01-02 00:30:00,13.0,27.0,2.0,13.8,9.0,70.6,8.5
195,2020-01-02 00:45:00,39.0,69.0,1.6,14.4,9.0,78.3,8.1
196,2020-01-02 01:00:00,39.0,69.0,1.8,14.5,9.2,68.1,7.5
197,2020-01-02 01:15:00,39.0,69.0,2.4,15.8,10.3,70.0,8.6
198,2020-01-02 01:30:00,39.0,69.0,2.6,15.9,10.6,62.9,8.6
199,2020-01-02 01:45:00,47.0,70.0,2.5,15.6,10.4,56.6,8.2
200,2020-01-02 02:00:00,47.0,70.0,2.7,15.4,10.4,58.8,9.3
201,2020-01-02 02:15:00,47.0,70.0,3.4,15.9,11.2,56.7,9.2
202,2020-01-02 02:30:00,47.0,70.0,1.7,16.4,10.1,,9.7
203,2020-01-02 02:45:00,51.0,72.0,2.9,14.2,9.9,,9.5
204,2020-01-02 03:00:00,51.0,72.0,2.8,13.9,9.7,,9.1
205,2020-01-02 03:15:00,51.0,72.0,2.3,14.5,9.6,50.5,9.6
206,2020-01-02 03:30:00,51.0,72.0,2.4,14.3,9.5,57.2,9.4
207,2020-01-02 03:45:00,52.0,71.0,1.7,11.3,7.4,77.3,9.1
208,2020-01-02 04:00:00,52.0,71.0,1.0,13.6,8.0,68.2,8.7
209,2020-01-02 04:15:00,52.0,71.0,1.9,15.9,10.0,52.8,10.3
210,2020-01-02 04:30:00,52.0,71.0,0.8,16.0,9.2,57.1,10.5
211,2020-01-02 04:45:00,49.0,72.0,2.2,14.3,9.4,68.4,10.2
212,2020-01-02 05:00:00,49.0,72.0,2.3,18.0,11.4,57.7,10.1
213,2020-01-02 05:15:00,49.0,72.0,2.1,17.7,11.1,57.8,9.5
214,2020-01-02 05:30:00,49.0,72.0,2.7,17.4,11.4,71.0,8.1
215,2020-01-02 05:45:00,53.0,65.0,2.4,17.5,11.3,65.1,7.3
216,2020-01-02 06:00:00,53.0,65.0,2.9,18.6,12.2,64.4,8.1
217,2020-01-02 06:15:00,53.0,65.0,2.2,17.5,11.1,75.9,8.7
218,2020-01-02 06:30:00,53.0,65.0,1.2,19.9,11.5,72.7,7.9
219,2020-01-02 06:45:00,46.0,75.0,1.7,25.8,15.1,66.3,8.0
220,2020-01-02 07:00:00,46.0,75.0,3.4,20.5,13.6,69.9,8.0
