,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,113.86,162.94,7.93,10.69,18.31,22.19,7.6
1,2020-01-01 00:15:00,,,,,0.0,,
2,2020-01-01 00:30:00,92.19,124.69,11.25,8.64,19.88,22.19,7.12
3,2020-01-01 00:45:00,92.19,124.69,11.07,8.95,20.01,22.19,7.15
4,2020-01-01 01:00:00,92.19,124.69,9.09,10.39,14.87,22.19,8.87
5,2020-01-01 01:15:00,88.13,123.06,7.69,9.17,15.72,22.19,9.78
6,2020-01-01 01:30:00,71.92,114.91,8.8,8.62,17.42,22.19,7.77
7,2020-01-01 01:45:00,71.92,114.91,9.61,11.29,20.06,22.19,7.41
8,2020-01-01 02:00:00,71.92,114.91,9.91,11.22,20.84,22.19,7.18
9,2020-01-01 02:15:00,,,7.86,,,,
10,2020-01-01 02:30:00,66.98,93.0,11.59,7.56,17.63,22.19,6.89
11,2020-01-01 02:45:00,,,5.97,,,,
12,2020-01-01 03:00:00,,,,,,,
13,2020-01-01 03:15:00,,,,,,,
14,2020-01-01 03:30:00,,,,,,,
15,2020-01-01 03:45:00,,,,,,,
16,2020-01-01 04:00:00,,,,,,,
17,2020-01-01 04:15:00,,,,,,,
18,2020-01-01 04:30:00,,,,,,,
19,2020-01-01 04:45:00,,,,,,,
20,2020-01-01 05:00:00,,,,,,,
21,2020-01-01 05:15:00,,,,,,,
22,2020-01-01 05:30:00,,,,,,,
23,2020-01-01 05:45:00,,,,,,,
24,2020-01-01 06:00:00,,,,,,,
25,2020-01-01 06:15:00,,,,,,,
26,2020-01-01 06:30:00,,,,,,,
27,2020-01-01 06:45:00,,,,,,,
28,2020-01-01 07:00:00,,,,,,,
29,2020-01-01 07:15:00,,,,,,,
30,2020-01-01 07:30:00,,,,,,,
31,2020-01-01 07:45:00,,,,,,,
32,2020-01-01 08:00:00,,,,,,,
33,2020-01-01 08:15:00,34.04,68.83,,12.0,22.78,22.19,9.38
34,2020-01-01 08:30:00,36.38,74.91,,8.75,15.94,22.19,9.93
35,2020-01-01 08:45:00,36.38,74.91,,10.56,13.21,22.19,10.56
36,2020-01-01 09:00:00,36.38,74.91,10.62,11.3,21.74,22.19,10.41
37,2020-01-01 09:15:00,38.7,77.63,6.08,9.42,13.25,22.19,9.62
38,2020-01-01 09:30:00,47.97,88.52,7.77,12.86,20.62,22.19,9.58
39,2020-01-01 09:45:00,47.97,88.52,,9.66,17.02,12.86,9.7
40,2020-01-01 10:00:00,47.97,88.52,,10.86,15.42,17.63,10.17
41,2020-01-01 10:15:00,60.19,101.26,13.84,9.58,23.2,,11.4
42,2020-01-01 10:30:00,71.06,117.38,10.75,15.86,26.61,150.81,12.02
43,2020-01-01 10:45:00,71.06,117.38,11.7,15.63,27.32,,13.13
44,2020-01-01 11:00:00,71.06,117.38,12.25,9.72,21.14,141.9,18.11
45,2020-01-01 11:15:00,78.97,126.12,12.64,12.29,24.93,,25.0
46,2020-01-01 11:30:00,110.63,169.83,9.46,12.09,21.55,,28.44
47,2020-01-01 11:45:00,110.63,169.83,6.11,10.73,16.84,,29.25
48,2020-01-01 12:00:00,110.63,169.83,13.12,8.04,21.06,,29.21
49,2020-01-01 12:15:00,114.65,171.66,15.87,6.98,21.35,5.0,28.42
50,2020-01-01 12:30:00,130.73,179.0,9.43,11.29,20.72,5.0,26.36
51,2020-01-01 12:45:00,130.73,179.0,7.36,11.59,18.0,,25.66
52,2020-01-01 13:00:00,130.73,179.0,7.12,8.87,15.14,,24.8
53,2020-01-01 13:15:00,129.22,178.55,10.43,6.51,16.93,,24.67
54,2020-01-01 13:30:00,123.21,176.33,9.53,8.23,17.77,,23.78
55,2020-01-01 13:45:00,123.21,176.33,11.76,12.22,23.88,,23.67
56,2020-01-01 14:00:00,123.21,176.33,13.46,10.63,23.94,,25.77
57,2020-01-01 14:15:00,119.65,172.39,8.16,9.23,16.54,,26.67
58,2020-01-01 14:30:00,105.4,151.04,9.36,5.97,13.08,,24.11
59,2020-01-01 14:45:00,105.4,151.04,9.43,9.15,18.58,,25.3
60,2020-01-01 15:00:00,105.4,151.04,8.39,11.19,19.58,,29.46
61,2020-01-01 15:15:00,101.77,147.68,3.92,11.76,13.05,,34.71
62,2020-01-01 15:30:00,87.26,134.23,12.79,9.66,19.93,,30.02
63,2020-01-01 15:45:00,87.26,134.23,10.28,11.19,20.92,,28.94
64,2020-01-01 16:00:00,87.26,134.23,12.26,6.88,18.54,,27.16
65,2020-01-01 16:15:00,88.65,137.61,11.3,9.91,21.21,,28.88
66,2020-01-01 16:30:00,94.21,153.24,9.17,10.16,15.1,,26.91
67,2020-01-01 16:45:00,94.21,153.24,8.42,9.83,16.39,,22.8
68,2020-01-01 17:00:00,94.21,153.24,8.45,12.93,21.31,,20.02
69,2020-01-01 17:15:00,93.63,150.6,4.63,12.4,17.03,,17.33
70,2020-01-01 17:30:00,91.32,136.27,7.63,9.21,15.1,,15.7
71,2020-01-01 17:45:00,91.32,136.27,15.47,7.17,18.35,,14.69
72,2020-01-01 18:00:00,91.32,136.27,9.97,16.28,26.1,,13.84
73,2020-01-01 18:15:00,92.39,134.45,8.7,17.84,26.12,,13.21
74,2020-01-01 18:30:00,96.68,127.18,6.77,11.01,17.73,,12.6
75,2020-01-01 18:45:00,96.68,127.18,4.41,8.18,8.72,,12.31
76,2020-01-01 19:00:00,96.68,127.18,11.17,12.54,22.68,,11.86
77,2020-01-01 19:15:00,97.81,125.45,10.1,13.89,23.94,,11.59
78,2020-01-01 19:30:00,102.33,119.41,15.45,6.71,21.54,,11.39
79,2020-01-01 19:45:00,102.33,119.41,9.07,10.62,15.45,,11.55
80,2020-01-01 20:00:00,102.33,119.41,16.24,14.75,26.07,,11.61
81,2020-01-01 20:15:00,104.81,124.21,10.99,9.44,19.65,,11.56
82,2020-01-01 20:30:00,114.72,150.3,8.48,9.96,18.44,,11.68
83,2020-01-01 20:45:00,114.72,150.3,12.77,9.8,22.15,,11.77
84,2020-01-01 21:00:00,114.72,150.3,9.5,10.1,19.32,,11.65
85,2020-01-01 21:15:00,118.27,158.06,7.81,13.79,21.39,,11.89
86,2020-01-01 21:30:00,132.48,189.1,6.75,8.95,13.27,,11.84
87,2020-01-01 21:45:00,132.48,189.1,12.73,9.65,22.07,,11.95
88,2020-01-01 22:00:00,132.48,189.1,10.59,8.88,17.01,,11.71
89,2020-01-01 22:15:00,130.22,186.07,21.36,7.3,23.9,,11.58
90,2020-01-01 22:30:00,121.78,174.77,11.29,8.99,20.28,,11.42
91,2020-01-01 22:45:00,,,9.55,,17.97,,
92,2020-01-01 23:00:00,121.78,174.77,10.69,11.36,22.05,,11.19
93,2020-01-01 23:15:00,119.84,170.68,6.83,15.21,21.46,,11.21
94,2020-01-01 23:30:00,112.58,148.48,6.04,11.79,17.83,,11.21
95,2020-01-01 23:45:00,,,,,,,
96,2020-01-02 00:00:00,112.58,148.48,12.32,7.69,17.5,,7.4
97,2020-01-02 00:15:00,110.76,143.7,11.25,13.78,24.4,,7.34
98,2020-01-02 00:30:00,103.48,125.84,6.85,8.75,10.82,,7.31
99,2020-01-02 00:45:00,103.48,125.84,13.0,9.73,22.55,,7.38
100,2020-01-02 01:00:00,103.48,125.84,8.5,8.82,17.31,,7.26
101,2020-01-02 01:15:00,100.8,121.34,4.46,13.42,17.38,,7.3
102,2020-01-02 01:30:00,90.09,104.54,5.93,13.31,18.3,,7.2
103,2020-01-02 01:45:00,90.09,104.54,7.71,13.09,19.21,,7.09
104,2020-01-02 02:00:00,90.09,104.54,10.49,6.93,16.35,,6.9
105,2020-01-02 02:15:00,87.21,101.95,5.87,8.72,14.35,,6.85
106,2020-01-02 02:30:00,75.66,87.91,11.74,8.38,20.05,,6.73
107,2020-01-02 02:45:00,75.66,87.91,10.26,8.01,17.22,,6.64
108,2020-01-02 03:00:00,75.66,87.91,15.93,7.96,19.36,,6.54
109,2020-01-02 03:15:00,75.65,88.47,6.31,9.47,13.48,,6.34
110,2020-01-02 03:30:00,75.62,91.29,5.15,17.54,18.46,,6.21
111,2020-01-02 03:45:00,75.62,91.29,14.01,10.95,22.99,,6.11
112,2020-01-02 04:00:00,75.62,91.29,17.09,2.77,18.68,,6.09
113,2020-01-02 04:15:00,73.88,91.93,8.48,10.77,18.69,,6.08
114,2020-01-02 04:30:00,66.92,94.33,6.99,10.43,16.02,,6.15
115,2020-01-02 04:45:00,66.92,94.33,8.02,11.13,15.91,,6.01
116,2020-01-02 05:00:00,66.92,94.33,9.77,9.82,14.89,,5.97
117,2020-01-02 05:15:00,67.98,94.38,9.87,9.31,18.97,,5.91
118,2020-01-02 05:30:00,72.22,94.61,14.01,10.35,24.31,,5.99
119,2020-01-02 05:45:00,72.22,94.61,10.99,14.63,22.63,,5.96
120,2020-01-02 06:00:00,72.22,94.61,4.74,15.78,18.18,,5.85
121,2020-01-02 06:15:00,73.1,94.02,9.92,12.11,20.6,,5.85
122,2020-01-02 06:30:00,76.62,90.82,11.37,15.24,25.94,,5.77
123,2020-01-02 06:45:00,76.62,90.82,12.83,10.16,21.34,,5.77
124,2020-01-02 07:00:00,76.62,90.82,14.39,14.0,25.94,,5.69
125,2020-01-02 07:15:00,74.94,89.72,13.32,13.41,25.13,,5.64
126,2020-01-02 07:30:00,68.22,85.61,8.72,8.83,14.32,,5.59
127,2020-01-02 07:45:00,68.22,85.61,10.35,8.58,17.41,,5.56
128,2020-01-02 08:00:00,68.22,85.61,11.68,12.61,21.77,,5.71
129,2020-01-02 08:15:00,69.4,87.0,9.63,17.0,23.51,,5.99
130,2020-01-02 08:30:00,74.12,94.53,12.6,11.4,23.52,,6.16
131,2020-01-02 08:45:00,74.12,94.53,8.82,12.23,18.99,,6.46
132,2020-01-02 09:00:00,74.12,94.53,15.14,12.91,27.31,,7.02
133,2020-01-02 09:15:00,73.64,95.61,12.13,12.53,24.66,,7.67
134,2020-01-02 09:30:00,71.73,101.45,7.86,12.75,17.81,4.51,11.5
135,2020-01-02 09:45:00,71.73,101.45,5.38,11.09,13.37,3.27,18.05
