From Date,To Date,PM2.5,PM10,NO,NO2,NOx,Ozone
01-01-2020 00:00,01-01-2020 00:15,114.8,309.3,437.4,73.5,None,5.23
01-01-2020 00:15,01-01-2020 00:30,114.8,309.3,393.8,72.3,465.1,5.3
01-01-2020 00:30,01-01-2020 00:45,119.5,311.2,366.6,68.4,434,4.89
01-01-2020 00:45,01-01-2020 01:00,161.5,329.1,350.5,65.8,415.2,4.76
01-01-2020 01:00,01-01-2020 01:15,161.5,329.1,332.5,62.4,393.8,4.65
01-01-2020 01:15,01-01-2020 01:30,161.5,329.1,318,58.8,375.7,4.63
01-01-2020 01:30,01-01-2020 01:45,165.8,335.7,307.1,56,362,4.69
01-01-2020 01:45,01-01-2020 02:00,203.9,395.2,300,54.9,353.9,4.37
01-01-2020 02:00,01-01-2020 02:15,203.9,395.2,295.3,51.3,346.2,4.25
01-01-2020 02:15,01-01-2020 02:30,203.9,395.2,288.4,52.3,339.7,4.55
01-01-2020 02:30,01-01-2020 02:45,204.4,392,283.9,51.4,334.3,4.68
01-01-2020 02:45,01-01-2020 03:00,208.9,362.7,277.7,51,327.7,4.39
01-01-2020 03:00,01-01-2020 03:15,208.9,362.7,268.8,52.1,319.9,4.38
01-01-2020 03:15,01-01-2020 03:30,208.9,362.7,254.2,55.8,309,4.34
01-01-2020 03:30,01-01-2020 03:45,206.7,353.9,237,57.3,293.4,4.37
01-01-2020 03:45,01-01-2020 04:00,187,274.2,220.2,59.6,278.8,4.11
01-01-2020 04:00,01-01-2020 04:15,187,274.2,201.7,58.7,259.4,4.53
01-01-2020 04:15,01-01-2020 04:30,187,274.2,183.3,59.7,242,4.4
01-01-2020 04:30,01-01-2020 04:45,183.3,270,166.6,59.7,225.3,4.25
01-01-2020 04:45,01-01-2020 05:00,149.3,232.5,149.9,58.7,207.6,4.6
01-01-2020 05:00,01-01-2020 05:15,149.3,232.5,135.8,58.2,193,4.48
01-01-2020 05:15,01-01-2020 05:30,149.3,232.5,127.1,55.2,181.3,4.52
01-01-2020 05:30,01-01-2020 05:45,145.6,226.6,120.6,53.1,172.7,4.38
01-01-2020 05:45,01-01-2020 06:00,112,166.9,115.9,50.9,165.8,4.2
01-01-2020 06:00,01-01-2020 06:15,112,166.9,110.9,48.7,158.6,4.08
01-01-2020 06:15,01-01-2020 06:30,112,166.9,106.1,47.2,152.4,4.19
01-01-2020 06:30,01-01-2020 06:45,111,167.7,101,46,145.9,4.38
01-01-2020 06:45,01-01-2020 07:00,101.9,175.4,96.7,45.8,141.5,4.36
01-01-2020 07:00,01-01-2020 07:15,101.9,175.4,92.9,45.2,137.1,4.33
01-01-2020 07:15,01-01-2020 07:30,101.9,175.4,88.9,45.1,133,4.34
01-01-2020 07:30,01-01-2020 07:45,102.2,177.8,83.3,44.4,126.7,4.63
01-01-2020 07:45,01-01-2020 08:00,104.3,199,77.8,47.9,124.7,4.51
01-01-2020 08:00,01-01-2020 08:15,104.3,199,71.9,50.4,121.3,4.41
01-01-2020 08:15,01-01-2020 08:30,104.3,199,67.3,52.5,118.8,4.76
01-01-2020 08:30,01-01-2020 08:45,104.4,203.6,61.5,56.6,117.1,4.63
01-01-2020 08:45,01-01-2020 09:00,104.5,245,56.2,60.3,115.4,4.53
01-01-2020 09:00,01-01-2020 09:15,104.5,245,50.9,61.8,111.7,4.76
01-01-2020 09:15,01-01-2020 09:30,104.5,245,44.5,62.2,105.7,5.01
01-01-2020 09:30,01-01-2020 09:45,105.1,241.5,38.4,62.7,100.1,5.8
01-01-2020 09:45,01-01-2020 10:00,110.7,210.5,34.4,57.2,90.7,5.02
