,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,73.1,182.75,7.44,6.21,13.65,4.32,
1,2020-01-01 00:15:00,74.65,186.62,6.2,7.36,13.57,4.32,7.77
2,2020-01-01 00:30:00,75.03,187.59,6.07,7.53,13.6,4.32,7.76
3,2020-01-01 00:45:00,75.03,187.59,7.91,7.96,15.87,4.32,7.35
4,2020-01-01 01:00:00,75.03,187.59,5.77,6.28,12.06,4.32,7.23
5,2020-01-01 01:15:00,67.69,169.22,5.62,7.27,12.9,4.32,6.88
6,2020-01-01 01:30:00,65.85,164.63,6.28,6.6,12.89,4.32,6.37
7,2020-01-01 01:45:00,65.85,164.63,6.65,6.0,12.66,4.32,6.25
8,2020-01-01 02:00:00,65.85,164.63,5.63,5.49,11.12,4.32,6.13
9,2020-01-01 02:15:00,54.35,135.87,5.22,4.4,9.62,4.32,5.98
10,2020-01-01 02:30:00,51.47,128.68,4.49,4.39,8.88,4.32,5.4
11,2020-01-01 02:45:00,51.47,128.68,5.26,3.67,8.93,4.32,5.54
12,2020-01-01 03:00:00,51.47,128.68,7.18,2.5,9.69,4.32,5.5
13,2020-01-01 03:15:00,48.68,121.71,7.9,1.01,8.89,4.32,5.12
14,2020-01-01 03:30:00,47.99,119.97,6.94,1.79,8.73,4.32,5.14
15,2020-01-01 03:45:00,47.99,119.97,6.89,1.55,8.44,4.32,4.92
16,2020-01-01 04:00:00,47.99,119.97,6.11,1.93,8.04,6.08,
17,2020-01-01 04:15:00,39.26,98.15,6.44,2.08,8.52,4.32,5.29
18,2020-01-01 04:30:00,37.08,92.69,4.21,3.17,7.38,4.32,5.53
19,2020-01-01 04:45:00,37.08,92.69,5.24,2.34,7.58,4.32,5.18
20,2020-01-01 05:00:00,37.08,92.69,5.33,2.08,7.41,4.32,5.2
21,2020-01-01 05:15:00,34.2,85.4,5.6,0.86,6.19,4.32,5.12
22,2020-01-01 05:30:00,33.43,83.58,6.63,0.32,6.72,4.32,4.95
23,2020-01-01 05:45:00,33.43,83.58,6.09,0.87,6.96,4.32,4.84
24,2020-01-01 06:00:00,33.43,83.58,5.82,1.28,7.1,4.32,4.79
25,2020-01-01 06:15:00,37.16,93.04,5.75,2.38,8.13,4.32,4.78
26,2020-01-01 06:30:00,38.16,95.4,6.54,1.49,8.02,4.32,4.67
27,2020-01-01 06:45:00,38.16,95.4,4.95,1.5,6.46,4.32,4.58
28,2020-01-01 07:00:00,38.16,95.4,5.23,1.72,6.95,4.32,4.62
29,2020-01-01 07:15:00,39.07,97.68,4.5,1.01,5.51,4.32,4.57
30,2020-01-01 07:30:00,39.3,98.24,3.63,0.96,4.59,4.32,4.81
31,2020-01-01 07:45:00,39.3,98.24,4.64,1.19,5.65,4.32,4.85
32,2020-01-01 08:00:00,39.3,98.24,3.95,0.29,4.14,5.18,
33,2020-01-01 08:15:00,42.36,105.91,5.43,1.47,6.9,4.32,5.91
34,2020-01-01 08:30:00,43.13,107.83,5.89,1.36,7.25,4.32,5.98
35,2020-01-01 08:45:00,43.13,107.83,5.88,1.43,7.27,4.32,6.09
36,2020-01-01 09:00:00,43.13,107.83,6.87,0.1,6.89,4.32,6.58
37,2020-01-01 09:15:00,45.13,112.82,5.88,0.22,5.5,4.32,6.64
38,2020-01-01 09:30:00,45.63,114.07,6.13,,5.84,4.32,7.68
39,2020-01-01 09:45:00,45.63,114.07,6.3,0.07,6.21,4.33,7.64
40,2020-01-01 10:00:00,45.63,114.07,5.67,0.58,6.24,5.88,7.64
41,2020-01-01 10:15:00,46.09,115.22,6.15,1.38,7.53,8.36,7.19
42,2020-01-01 10:30:00,46.2,115.5,6.65,0.82,7.46,10.83,7.62
43,2020-01-01 10:45:00,46.2,115.5,6.36,0.26,6.51,14.31,8.03
44,2020-01-01 11:00:00,46.2,115.5,6.6,0.01,6.1,15.96,8.41
45,2020-01-01 11:15:00,43.81,109.52,6.91,0.03,6.58,18.75,10.85
46,2020-01-01 11:30:00,43.21,108.02,6.05,0.63,6.66,21.36,15.24
47,2020-01-01 11:45:00,43.21,108.02,5.46,0.52,5.73,24.07,21.17
48,2020-01-01 12:00:00,43.21,108.02,5.96,0.67,6.04,31.55,
