,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,489.0,610.0,5.0,60.1,36.0,1.0,11.8
1,2020-01-01 00:15:00,489.0,610.0,0.1,66.0,35.2,1.6,10.1
2,2020-01-01 00:30:00,489.0,610.0,2.2,65.0,36.4,1.5,9.4
3,2020-01-01 00:45:00,489.0,610.0,2.1,69.3,38.5,1.0,9.3
4,2020-01-01 01:00:00,508.0,674.0,6.1,65.5,39.8,0.9,9.8
5,2020-01-01 01:15:00,508.0,674.0,2.5,72.4,40.5,0.7,9.3
6,2020-01-01 01:30:00,508.0,674.0,4.7,62.9,37.3,0.7,8.3
7,2020-01-01 01:45:00,508.0,674.0,2.6,65.0,36.7,0.3,7.9
8,2020-01-01 02:00:00,486.0,660.0,6.9,58.6,36.8,0.1,7.6
9,2020-01-01 02:15:00,486.0,660.0,1.8,65.8,36.5,1.0,7.1
10,2020-01-01 02:30:00,486.0,660.0,,66.7,34.6,0.8,6.7
11,2020-01-01 02:45:00,486.0,660.0,,65.6,34.9,0.6,6.1
12,2020-01-01 03:00:00,407.0,531.0,3.5,61.2,35.4,,6.4
13,2020-01-01 03:15:00,407.0,531.0,5.1,60.2,36.2,0.7,6.2
14,2020-01-01 03:30:00,407.0,531.0,5.7,57.8,35.4,1.3,6.0
15,2020-01-01 03:45:00,407.0,531.0,1.4,62.6,34.4,0.9,6.3
16,2020-01-01 04:00:00,445.0,544.0,4.1,56.5,33.4,0.5,5.7
17,2020-01-01 04:15:00,445.0,544.0,4.7,53.7,32.4,1.2,5.9
18,2020-01-01 04:30:00,445.0,544.0,1.0,54.8,30.0,0.8,5.9
19,2020-01-01 04:45:00,445.0,544.0,4.7,47.3,29.0,0.8,5.7
20,2020-01-01 05:00:00,403.0,487.0,3.6,45.6,27.2,0.8,6.1
21,2020-01-01 05:15:00,403.0,487.0,0.5,52.5,28.3,0.5,6.1
22,2020-01-01 05:30:00,403.0,487.0,2.1,48.6,27.6,0.3,6.8
23,2020-01-01 05:45:00,403.0,487.0,,52.6,26.5,0.9,6.8
24,2020-01-01 06:00:00,378.0,475.0,1.0,46.7,25.6,,6.4
25,2020-01-01 06:15:00,378.0,475.0,4.5,43.7,26.9,,5.8
26,2020-01-01 06:30:00,378.0,475.0,1.0,50.9,27.9,0.3,6.7
27,2020-01-01 06:45:00,378.0,475.0,2.3,49.9,28.4,,6.7
28,2020-01-01 07:00:00,420.0,530.0,,,,,
29,2020-01-01 07:15:00,420.0,530.0,,,,,
30,2020-01-01 07:30:00,420.0,530.0,,,,,
31,2020-01-01 07:45:00,420.0,530.0,2.2,50.8,28.8,0.4,5.4
32,2020-01-01 08:00:00,377.0,467.0,3.4,51.7,30.3,,5.3
33,2020-01-01 08:15:00,377.0,467.0,0.8,59.5,32.3,,4.9
34,2020-01-01 08:30:00,377.0,467.0,7.1,52.6,33.8,,5.1
