,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,36.36,66.62,8.95,5.49,14.0,,8.28
1,2020-01-01 00:15:00,36.36,66.62,14.58,6.56,20.6,,8.38
2,2020-01-01 00:30:00,36.36,66.62,11.25,8.16,18.8,,8.13
3,2020-01-01 00:45:00,39.83,78.13,7.22,8.92,15.9,,8.18
4,2020-01-01 01:00:00,44.8,94.61,11.5,6.85,18.3,,7.99
5,2020-01-01 01:15:00,44.8,94.61,12.76,8.76,20.3,,8.15
6,2020-01-01 01:30:00,44.8,94.61,11.66,8.39,19.2,,7.44
7,2020-01-01 01:45:00,45.09,94.61,11.54,9.99,20.0,,7.75
8,2020-01-01 02:00:00,45.49,111.16,9.1,6.36,15.2,,7.38
9,2020-01-01 02:15:00,45.49,111.16,11.79,6.1,18.1,,7.26
10,2020-01-01 02:30:00,45.49,111.16,13.08,10.65,21.5,,8.05
11,2020-01-01 02:45:00,45.49,107.76,13.96,6.92,20.3,,7.97
12,2020-01-01 03:00:00,62.62,102.9,8.19,10.1,17.3,,7.36
13,2020-01-01 03:15:00,62.62,102.9,7.26,7.33,15.1,,6.94
14,2020-01-01 03:30:00,62.62,102.9,11.49,7.66,18.7,,7.91
15,2020-01-01 03:45:00,41.06,87.57,6.14,8.79,15.0,,7.46
16,2020-01-01 04:00:00,41.06,87.57,8.9,8.03,16.8,,7.7
17,2020-01-01 04:15:00,41.06,87.57,9.78,8.01,17.5,,9.83
18,2020-01-01 04:30:00,41.06,87.57,11.91,7.65,19.0,,10.23
19,2020-01-01 04:45:00,41.06,83.62,11.02,7.25,18.1,,10.41
20,2020-01-01 05:00:00,75.87,77.97,9.24,7.91,17.0,,10.51
21,2020-01-01 05:15:00,75.87,77.97,13.15,6.54,19.5,,10.79
22,2020-01-01 05:30:00,75.87,77.97,11.24,6.37,17.8,,10.53
23,2020-01-01 05:45:00,39.88,86.43,6.99,8.63,15.6,,10.04
24,2020-01-01 06:00:00,39.88,98.55,8.52,8.64,16.8,,10.14
25,2020-01-01 06:15:00,39.88,98.55,10.85,7.92,18.3,,10.03
26,2020-01-01 06:30:00,39.88,98.55,11.84,8.23,19.3,,9.59
27,2020-01-01 06:45:00,32.72,90.12,13.07,7.31,19.8,,10.05
28,2020-01-01 07:00:00,22.45,78.03,10.09,6.35,16.9,,10.07
29,2020-01-01 07:15:00,22.45,78.03,12.91,6.99,19.5,,10.07
30,2020-01-01 07:30:00,22.45,78.03,13.7,8.55,20.9,,10.52
31,2020-01-01 07:45:00,31.44,78.27,12.34,7.89,19.5,,10.6
32,2020-01-01 08:00:00,44.3,78.61,13.63,7.48,18.1,,7.67
33,2020-01-01 08:15:00,44.3,78.61,10.87,8.99,18.9,,8.37
34,2020-01-01 08:30:00,44.3,78.61,8.07,7.85,16.1,,8.48
35,2020-01-01 08:45:00,39.19,79.14,8.47,7.6,15.8,,8.72
36,2020-01-01 09:00:00,31.86,79.89,9.18,6.52,16.3,,8.3
37,2020-01-01 09:15:00,31.86,79.89,9.62,7.72,17.2,,8.37
38,2020-01-01 09:30:00,31.86,79.89,15.29,5.37,20.6,,8.62
39,2020-01-01 09:45:00,34.77,79.32,14.63,7.37,21.1,,8.81
40,2020-01-01 10:00:00,38.93,78.51,10.79,6.77,17.7,,8.82
41,2020-01-01 10:15:00,38.93,78.51,10.59,7.08,17.7,,9.12
42,2020-01-01 10:30:00,38.93,78.51,10.51,6.79,17.5,,9.04
43,2020-01-01 10:45:00,37.26,84.79,10.71,8.0,18.3,,8.67
44,2020-01-01 11:00:00,34.86,93.78,11.69,7.72,18.9,,9.04
45,2020-01-01 11:15:00,34.86,93.78,12.03,7.42,19.0,,8.64
46,2020-01-01 11:30:00,34.86,93.78,11.34,9.98,19.8,,8.84
47,2020-01-01 11:45:00,36.35,92.73,11.91,4.82,17.6,,8.68
48,2020-01-01 12:00:00,38.48,91.22,10.67,6.9,17.7,,7.25
49,2020-01-01 12:15:00,38.48,91.22,11.74,6.8,18.5,,7.56
50,2020-01-01 12:30:00,38.48,91.22,11.2,7.96,18.6,,7.66
51,2020-01-01 12:45:00,38.56,86.75,12.57,6.8,19.1,,7.86
52,2020-01-01 13:00:00,38.66,80.34,12.11,6.68,18.7,,7.81
53,2020-01-01 13:15:00,38.66,80.34,12.24,9.29,20.2,,8.63
