,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
96,2020-01-01 00:00:00,699.0,884.0,397.6,44.4,347.8,5.5,11.3
97,2020-01-01 00:15:00,699.0,884.0,307.1,44.6,274.1,4.3,8.9
98,2020-01-01 00:30:00,699.0,,227.0,38.2,205.4,4.3,6.0
99,2020-01-01 00:45:00,570.0,884.0,187.0,36.5,171.9,4.7,4.2
100,2020-01-01 01:00:00,570.0,815.0,170.5,35.0,157.6,,3.4
101,2020-01-01 01:15:00,570.0,815.0,160.4,35.9,149.9,,2.6
102,2020-01-01 01:30:00,570.0,,136.5,41.4,133.3,,2.4
103,2020-01-01 01:45:00,472.0,815.0,123.8,34.8,119.4,4.3,1.3
104,2020-01-01 02:00:00,472.0,666.0,,,,4.7,
105,2020-01-01 02:15:00,472.0,666.0,,,,3.9,
106,2020-01-01 02:30:00,472.0,666.0,70.8,37.8,77.8,3.7,
107,2020-01-01 02:45:00,321.0,666.0,67.3,36.7,74.4,4.7,0.8
108,2020-01-01 03:00:00,321.0,426.0,61.6,34.6,68.6,4.7,0.5
109,2020-01-01 03:15:00,321.0,426.0,54.2,38.2,64.6,3.7,0.5
110,2020-01-01 03:30:00,321.0,426.0,54.2,37.6,64.2,4.9,
111,2020-01-01 03:45:00,298.0,426.0,55.9,34.4,63.9,4.1,
112,2020-01-01 04:00:00,298.0,383.0,60.8,32.2,66.7,4.5,
113,2020-01-01 04:15:00,298.0,383.0,61.4,32.3,67.3,4.1,0.3
114,2020-01-01 04:30:00,298.0,383.0,66.5,30.3,70.3,4.9,0.5
115,2020-01-01 04:45:00,321.0,383.0,76.5,28.4,77.5,4.1,0.5
116,2020-01-01 05:00:00,321.0,415.0,90.8,26.9,88.3,4.5,
117,2020-01-01 05:15:00,321.0,415.0,108.7,31.4,105.3,4.5,0.8
118,2020-01-01 05:30:00,321.0,,123.1,25.6,114.0,4.7,1.3
119,2020-01-01 05:45:00,342.0,415.0,137.2,23.9,124.5,5.1,
120,2020-01-01 06:00:00,342.0,438.0,145.0,20.7,129.2,5.5,2.9
121,2020-01-01 06:15:00,342.0,438.0,143.5,25.8,130.6,6.9,4.5
122,2020-01-01 06:30:00,342.0,,139.5,28.2,128.7,8.8,5.2
123,2020-01-01 06:45:00,351.0,438.0,130.9,29.3,122.4,10.8,5.0
124,2020-01-01 07:00:00,351.0,443.0,128.2,27.5,119.1,13.3,5.2
125,2020-01-01 07:15:00,351.0,443.0,138.1,28.8,127.9,17.3,5.2
126,2020-01-01 07:30:00,351.0,,144.6,30.1,133.9,18.4,5.5
127,2020-01-01 07:45:00,362.0,443.0,146.1,29.0,134.5,21.6,6.0
128,2020-01-01 08:00:00,362.0,461.0,144.9,30.3,134.2,24.9,6.0
129,2020-01-01 08:15:00,362.0,461.0,148.4,32.3,138.2,26.3,4.7
130,2020-01-01 08:30:00,362.0,,154.3,36.1,144.9,27.1,5.2
131,2020-01-01 08:45:00,389.0,461.0,184.3,39.1,171.1,28.1,6.5
132,2020-01-01 09:00:00,389.0,511.0,190.5,52.1,183.0,27.7,7.3
133,2020-01-01 09:15:00,389.0,511.0,173.4,78.6,183.2,25.7,6.3
134,2020-01-01 09:30:00,389.0,511.0,131.6,112.8,167.3,21.8,6.0
135,2020-01-01 09:45:00,388.0,511.0,99.3,142.5,156.7,27.3,6.3
136,2020-01-01 10:00:00,388.0,552.0,65.5,115.1,114.6,46.1,7.9
137,2020-01-01 10:15:00,388.0,552.0,46.1,102.7,92.2,54.1,8.6
138,2020-01-01 10:30:00,388.0,552.0,31.8,97.4,77.7,37.1,7.9
