,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
96,2020-01-01 00:00:00,87.84,123.19,7.41,12.5,11.63,23.63,
97,2020-01-01 00:15:00,75.37,118.53,6.87,12.09,11.03,23.78,65.4
98,2020-01-01 00:30:00,75.37,118.53,6.61,11.27,10.43,23.67,77.79
99,2020-01-01 00:45:00,75.37,118.53,5.63,10.45,9.3,23.69,58.35
100,2020-01-01 01:00:00,74.51,118.47,4.81,10.54,8.74,23.67,48.68
101,2020-01-01 01:15:00,71.84,118.26,6.67,9.66,9.69,23.75,44.54
102,2020-01-01 01:30:00,71.84,118.26,5.12,9.98,8.69,23.67,46.35
103,2020-01-01 01:45:00,71.84,118.26,4.26,9.49,7.81,23.65,41.68
104,2020-01-01 02:00:00,72.75,115.64,5.17,9.41,8.45,23.69,
105,2020-01-01 02:15:00,75.56,107.54,5.36,9.29,8.53,23.71,24.94
106,2020-01-01 02:30:00,75.56,107.54,5.21,8.79,8.19,23.65,25.52
107,2020-01-01 02:45:00,75.56,107.54,5.41,8.26,8.07,23.67,22.82
108,2020-01-01 03:00:00,75.85,109.83,5.0,8.24,7.76,23.65,22.14
109,2020-01-01 03:15:00,76.73,116.52,4.34,7.91,7.1,23.65,21.69
110,2020-01-01 03:30:00,76.73,116.52,3.86,7.79,6.68,23.67,19.86
111,2020-01-01 03:45:00,76.73,116.52,3.98,7.87,6.81,23.65,18.6
112,2020-01-01 04:00:00,76.61,115.18,4.01,7.28,6.53,23.65,
113,2020-01-01 04:15:00,76.25,111.05,3.54,7.85,6.48,23.58,17.71
114,2020-01-01 04:30:00,76.25,111.05,4.14,7.38,6.69,23.65,18.37
115,2020-01-01 04:45:00,76.25,111.05,3.93,7.13,6.41,23.69,13.44
116,2020-01-01 05:00:00,77.76,111.39,3.98,8.49,7.1,23.67,8.54
117,2020-01-01 05:15:00,82.42,112.42,3.9,8.38,7.01,23.69,5.92
118,2020-01-01 05:30:00,82.42,112.42,3.95,7.67,6.69,23.67,4.66
119,2020-01-01 05:45:00,82.42,112.42,4.05,7.85,6.85,23.73,2.15
120,2020-01-01 06:00:00,81.64,112.4,4.17,8.38,7.19,23.73,
121,2020-01-01 06:15:00,79.23,112.33,3.85,8.75,7.14,23.65,18.55
122,2020-01-01 06:30:00,79.23,112.33,4.14,8.88,7.43,23.67,19.36
123,2020-01-01 06:45:00,79.23,112.33,4.29,9.27,7.72,23.69,17.37
124,2020-01-01 07:00:00,80.04,113.44,4.33,9.96,8.09,23.69,15.48
125,2020-01-01 07:15:00,82.38,116.69,4.26,10.33,8.22,23.69,14.91
126,2020-01-01 07:30:00,82.38,116.69,4.06,10.89,8.34,23.73,14.07
127,2020-01-01 07:45:00,82.38,116.69,3.91,11.38,8.47,23.67,13.76
128,2020-01-01 08:00:00,83.28,116.52,3.86,11.42,8.45,23.75,
129,2020-01-01 08:15:00,86.03,116.0,4.19,11.21,8.6,23.69,27.38
130,2020-01-01 08:30:00,86.03,116.0,4.45,10.91,8.64,23.71,34.95
131,2020-01-01 08:45:00,86.03,116.0,4.7,10.39,8.59,23.71,40.35
132,2020-01-01 09:00:00,87.86,121.01,4.73,11.4,9.1,23.71,45.75
133,2020-01-01 09:15:00,93.19,136.46,4.69,11.62,9.17,23.69,49.1
134,2020-01-01 09:30:00,93.19,136.46,5.09,11.75,9.53,23.63,51.88
135,2020-01-01 09:45:00,93.19,136.46,4.36,11.13,8.68,23.71,50.3
136,2020-01-01 10:00:00,95.43,138.25,4.42,11.19,8.76,23.67,
137,2020-01-01 10:15:00,102.36,143.75,4.49,11.46,8.94,23.65,34.98
138,2020-01-01 10:30:00,102.36,143.75,2.79,11.89,7.88,23.69,35.0
139,2020-01-01 10:45:00,99.36,143.75,1.85,12.57,7.51,23.73,35.21
140,2020-01-01 11:00:00,90.92,145.0,1.15,14.8,8.08,23.63,40.51
141,2020-01-01 11:15:00,84.7,148.85,1.37,15.6,8.63,,39.06
142,2020-01-01 11:30:00,84.7,148.85,1.51,14.7,8.3,23.75,33.48
143,2020-01-01 11:45:00,84.7,148.85,2.02,14.78,8.72,23.73,36.73
144,2020-01-01 12:00:00,84.15,148.73,2.16,15.31,9.09,23.75,
145,2020-01-01 12:15:00,82.44,148.36,2.8,17.45,10.6,23.69,54.44
146,2020-01-01 12:30:00,82.44,148.36,1.96,15.07,8.8,23.69,53.79
147,2020-01-01 12:45:00,82.44,148.36,1.7,15.37,8.77,23.67,47.66
148,2020-01-01 13:00:00,81.86,146.84,1.61,16.63,9.31,23.63,38.2
149,2020-01-01 13:15:00,80.04,142.15,1.17,14.0,7.71,23.65,32.23
150,2020-01-01 13:30:00,80.04,142.15,1.26,13.02,7.29,23.65,27.2
151,2020-01-01 13:45:00,80.04,142.15,1.33,12.09,6.89,23.67,24.31
152,2020-01-01 14:00:00,78.5,142.84,1.21,12.42,6.97,23.69,
153,2020-01-01 14:15:00,73.73,145.01,1.05,11.99,6.64,23.65,23.58
154,2020-01-01 14:30:00,73.73,145.01,1.18,10.84,6.17,23.73,26.02
155,2020-01-01 14:45:00,73.73,145.01,1.27,11.05,6.34,23.69,24.6
156,2020-01-01 15:00:00,75.01,146.88,1.23,12.28,6.91,23.67,22.4
157,2020-01-01 15:15:00,78.98,152.69,0.91,12.18,6.62,23.65,19.0
158,2020-01-01 15:30:00,78.98,152.69,1.21,12.03,6.77,23.65,14.38
159,2020-01-01 15:45:00,78.98,152.69,1.22,10.95,6.25,23.69,12.42
160,2020-01-01 16:00:00,78.37,151.4,1.31,12.5,7.09,23.73,
161,2020-01-01 16:15:00,76.46,147.66,1.22,12.65,7.08,23.65,32.8
162,2020-01-01 16:30:00,76.46,147.66,0.95,13.49,7.29,23.65,35.5
163,2020-01-01 16:45:00,76.46,147.66,1.23,13.45,7.48,23.73,33.22
164,2020-01-01 17:00:00,74.58,146.81,0.92,15.87,8.43,23.69,30.71
165,2020-01-01 17:15:00,68.75,144.34,0.92,17.28,9.12,23.69,28.64
166,2020-01-01 17:30:00,68.75,144.34,1.13,17.22,9.24,23.69,26.23
167,2020-01-01 17:45:00,68.75,144.34,1.37,17.38,9.5,23.69,24.52
168,2020-01-01 18:00:00,69.48,143.9,1.77,19.19,10.68,23.65,
169,2020-01-01 18:15:00,71.59,142.6,1.98,18.57,10.54,23.69,19.07
170,2020-01-01 18:30:00,71.59,142.6,2.21,17.67,10.27,23.67,20.96
171,2020-01-01 18:45:00,71.59,142.6,2.92,18.18,11.05,23.69,19.99
172,2020-01-01 19:00:00,70.43,141.85,3.15,20.64,12.42,23.69,18.47
173,2020-01-01 19:15:00,66.85,139.53,3.2,19.41,11.86,23.69,18.5
174,2020-01-01 19:30:00,66.85,139.53,3.82,20.77,12.99,23.69,18.73
175,2020-01-01 19:45:00,66.85,139.53,3.91,18.84,12.1,23.69,18.92
176,2020-01-01 20:00:00,68.24,138.23,4.4,16.89,11.52,23.67,
177,2020-01-01 20:15:00,72.52,134.45,4.86,15.83,11.35,23.54,15.46
178,2020-01-01 20:30:00,72.52,134.45,6.46,17.26,13.23,23.63,18.13
179,2020-01-01 20:45:00,72.52,134.45,8.11,18.08,14.87,23.67,15.07
180,2020-01-01 21:00:00,74.47,135.36,7.75,17.04,14.09,23.69,12.76
181,2020-01-01 21:15:00,80.51,138.18,5.61,14.76,11.4,23.69,10.66
182,2020-01-01 21:30:00,80.51,138.18,8.46,15.74,13.99,23.67,9.09
183,2020-01-01 21:45:00,80.51,138.18,7.2,15.85,13.1,23.65,7.44
184,2020-01-01 22:00:00,79.24,137.2,7.04,13.84,12.0,23.63,
185,2020-01-01 22:15:00,75.54,134.35,4.53,13.32,9.88,23.6,16.98
186,2020-01-01 22:30:00,75.54,134.35,4.97,12.69,9.9,23.63,18.89
187,2020-01-01 22:45:00,75.54,134.35,5.15,12.44,9.91,23.63,17.84
188,2020-01-01 23:00:00,75.98,133.17,4.34,13.06,9.61,23.63,16.98
189,2020-01-01 23:15:00,77.28,129.54,5.6,11.05,9.58,23.63,15.82
190,2020-01-01 23:30:00,77.28,129.54,5.15,11.23,9.33,23.6,14.72
191,2020-01-01 23:45:00,77.28,129.54,5.16,10.21,8.83,23.6,14.07
192,2020-01-02 00:00:00,75.05,126.98,6.06,8.75,8.79,23.71,
193,2020-01-02 00:15:00,68.16,119.08,4.66,9.86,8.3,23.6,18.55
194,2020-01-02 00:30:00,68.16,119.08,4.4,9.78,8.05,23.63,21.93
195,2020-01-02 00:45:00,68.16,119.08,4.19,10.48,8.24,23.67,22.35
196,2020-01-02 01:00:00,66.01,115.98,4.42,11.13,8.73,23.67,22.3
197,2020-01-02 01:15:00,59.77,106.4,4.09,11.91,8.86,23.69,23.21
198,2020-01-02 01:30:00,59.77,106.4,3.4,13.06,8.91,23.73,23.29
199,2020-01-02 01:45:00,59.77,106.4,2.96,12.67,8.39,23.69,23.42
200,2020-01-02 02:00:00,60.36,106.96,2.73,12.94,8.34,23.67,
201,2020-01-02 02:15:00,62.11,108.7,2.72,12.63,8.19,23.69,12.79
202,2020-01-02 02:30:00,62.11,108.7,2.88,12.18,8.09,23.69,15.93
203,2020-01-02 02:45:00,62.11,108.7,2.69,12.01,7.88,23.69,15.9
204,2020-01-02 03:00:00,62.82,110.43,2.55,11.75,7.63,23.67,16.11
205,2020-01-02 03:15:00,64.9,115.78,2.61,12.2,7.9,23.63,14.96
206,2020-01-02 03:30:00,64.9,115.78,3.02,13.18,8.69,23.65,15.54
207,2020-01-02 03:45:00,64.9,115.78,2.83,14.58,9.21,23.67,14.78
208,2020-01-02 04:00:00,65.82,115.82,2.96,14.21,9.15,23.67,
209,2020-01-02 04:15:00,68.5,115.94,2.96,12.18,8.15,23.65,16.58
210,2020-01-02 04:30:00,68.5,115.94,2.79,11.13,7.51,23.67,17.97
211,2020-01-02 04:45:00,68.5,115.94,2.51,10.64,7.05,23.67,15.41
212,2020-01-02 05:00:00,69.99,115.87,2.55,10.89,7.21,23.63,13.7
213,2020-01-02 05:15:00,74.34,115.67,2.72,11.75,7.75,23.65,11.16
214,2020-01-02 05:30:00,74.34,115.67,3.03,11.58,7.92,23.6,8.38
215,2020-01-02 05:45:00,74.34,115.67,3.16,11.68,8.06,23.65,6.1
216,2020-01-02 06:00:00,73.46,115.29,2.68,12.12,7.9,23.69,
217,2020-01-02 06:15:00,70.89,114.11,2.61,12.03,7.82,23.71,11.11
218,2020-01-02 06:30:00,70.89,114.11,2.84,11.34,7.65,23.69,12.92
219,2020-01-02 06:45:00,70.89,114.11,3.0,11.25,7.72,23.67,11.29
220,2020-01-02 07:00:00,74.04,115.45,2.53,12.34,7.9,23.65,10.82
221,2020-01-02 07:15:00,83.22,119.59,2.55,13.65,8.56,23.63,11.16
222,2020-01-02 07:30:00,83.22,119.59,3.02,13.88,9.02,23.67,9.96
223,2020-01-02 07:45:00,83.22,119.59,3.02,13.49,8.83,23.67,8.83
224,2020-01-02 08:00:00,82.57,120.82,2.84,13.69,8.8,23.52,
225,2020-01-02 08:15:00,80.7,124.65,2.96,13.35,8.72,23.6,16.3
226,2020-01-02 08:30:00,80.7,124.65,4.02,13.04,9.35,23.69,22.9
227,2020-01-02 08:45:00,80.7,124.65,3.99,12.67,9.17,23.69,27.96
228,2020-01-02 09:00:00,82.14,127.14,3.47,12.81,8.84,23.78,32.04
229,2020-01-02 09:15:00,86.33,134.84,4.33,13.26,9.7,23.65,37.15
230,2020-01-02 09:30:00,86.33,134.84,3.59,12.28,8.67,23.71,39.98
231,2020-01-02 09:45:00,86.33,134.84,3.19,11.15,7.82,23.65,39.43
232,2020-01-02 10:00:00,87.37,136.86,3.44,10.89,7.88,23.69,
233,2020-01-02 10:15:00,90.4,143.12,3.07,10.7,7.51,23.67,23.27
234,2020-01-02 10:30:00,90.4,143.12,3.24,10.68,7.63,23.69,27.46
235,2020-01-02 10:45:00,90.4,143.12,3.2,11.34,7.92,23.73,29.89
236,2020-01-02 11:00:00,90.25,144.9,3.11,10.89,7.64,23.71,30.6
237,2020-01-02 11:15:00,,,,,7.77,,31.78
238,2020-01-02 11:30:00,,,,,8.21,,31.96
239,2020-01-02 11:45:00,89.78,150.39,3.1,11.34,7.85,23.71,35.27
240,2020-01-02 12:00:00,86.62,149.22,3.56,12.12,8.57,23.73,
241,2020-01-02 12:15:00,77.41,145.81,2.97,11.73,7.94,23.73,35.55
242,2020-01-02 12:30:00,77.41,145.81,2.56,10.64,7.1,23.67,36.81
243,2020-01-02 12:45:00,77.41,145.81,2.08,9.51,6.19,23.71,28.95
244,2020-01-02 13:00:00,76.62,143.66,1.66,9.72,5.98,23.65,23.16
245,2020-01-02 13:15:00,74.3,137.41,1.42,9.39,5.64,23.63,18.76
246,2020-01-02 13:30:00,74.3,137.41,1.35,9.37,5.58,23.65,15.43
247,2020-01-02 13:45:00,74.3,137.41,1.39,9.39,5.62,23.67,11.89
248,2020-01-02 14:00:00,70.52,135.52,1.11,9.2,5.33,23.67,
249,2020-01-02 14:15:00,59.49,130.03,1.03,9.66,5.49,23.67,19.7
250,2020-01-02 14:30:00,59.49,130.03,1.26,10.45,6.04,23.65,20.86
251,2020-01-02 14:45:00,59.49,130.03,1.22,10.23,5.9,23.67,18.81
252,2020-01-02 15:00:00,59.32,130.8,1.14,9.96,5.71,23.65,18.44
253,2020-01-02 15:15:00,58.82,133.03,0.98,9.78,5.5,23.65,16.72
254,2020-01-02 15:30:00,58.82,133.03,1.01,9.88,5.57,23.69,14.33
255,2020-01-02 15:45:00,58.82,133.03,1.62,14.17,8.12,23.67,13.91
256,2020-01-02 16:00:00,60.56,132.59,1.72,15.66,8.92,23.71,
257,2020-01-02 16:15:00,65.93,131.24,1.38,16.11,8.89,23.69,27.35
258,2020-01-02 16:30:00,65.93,131.24,1.13,11.56,6.49,23.67,33.22
259,2020-01-02 16:45:00,65.93,131.24,0.94,11.38,6.25,23.67,33.88
260,2020-01-02 17:00:00,65.43,129.18,0.9,13.92,7.46,23.67,37.31
261,2020-01-02 17:15:00,63.98,122.82,1.11,15.17,8.22,23.67,37.52
262,2020-01-02 17:30:00,63.98,122.82,1.17,14.86,8.12,23.67,40.58
263,2020-01-02 17:45:00,63.98,122.82,1.03,19.91,10.49,23.69,56.38
264,2020-01-02 18:00:00,63.37,121.21,1.34,27.16,14.25,23.67,
265,2020-01-02 18:15:00,61.51,116.23,5.04,36.1,21.37,23.69,40.35
266,2020-01-02 18:30:00,61.51,116.23,7.12,35.92,22.83,23.67,38.04
267,2020-01-02 18:45:00,61.51,116.23,7.3,34.91,22.48,23.71,33.12
268,2020-01-02 19:00:00,62.48,121.34,5.98,27.61,17.93,23.69,30.31
269,2020-01-02 19:15:00,65.29,137.13,10.71,28.66,21.98,23.71,29.27
270,2020-01-02 19:30:00,65.29,137.13,9.53,29.77,21.63,23.65,35.66
271,2020-01-02 19:45:00,65.29,137.13,15.16,27.55,24.76,23.65,39.43
272,2020-01-02 20:00:00,68.22,139.07,13.23,29.23,24.13,23.67,
273,2020-01-02 20:15:00,76.76,145.08,7.85,30.93,20.95,23.65,40.82
274,2020-01-02 20:30:00,76.76,145.08,3.9,27.51,16.33,23.5,46.24
275,2020-01-02 20:45:00,76.76,145.08,5.13,24.6,15.83,23.63,41.11
276,2020-01-02 21:00:00,77.97,146.8,5.92,23.37,15.82,23.67,34.01
277,2020-01-02 21:15:00,81.7,152.12,5.35,19.43,13.47,23.67,27.75
278,2020-01-02 21:30:00,81.7,152.12,5.45,17.4,12.57,23.63,21.69
279,2020-01-02 21:45:00,81.7,152.12,4.92,14.45,10.72,23.69,17.27
280,2020-01-02 22:00:00,81.7,151.07,5.19,11.68,9.56,23.69,
281,2020-01-02 22:15:00,81.71,147.82,5.39,10.48,9.14,23.71,22.87
282,2020-01-02 22:30:00,81.71,147.82,5.96,10.39,9.53,23.65,22.69
283,2020-01-02 22:45:00,81.71,147.82,6.86,10.35,10.17,23.65,20.44
284,2020-01-02 23:00:00,81.26,145.62,7.25,10.54,10.55,23.65,19.1
285,2020-01-02 23:15:00,79.95,139.2,8.31,11.15,11.63,23.63,21.48
