,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
96,2020-01-01 00:00:00,75.63,114.99,18.56,10.25,1.01,10.24,9.36
97,2020-01-01 00:15:00,,,,,,,
98,2020-01-01 00:30:00,94.31,126.3,33.9,4.29,6.7,26.49,10.01
99,2020-01-01 00:45:00,99.31,129.33,11.39,9.03,1.63,27.94,9.61
100,2020-01-01 01:00:00,99.31,129.33,20.33,9.79,4.05,23.04,9.41
101,2020-01-01 01:15:00,99.31,129.33,4.65,19.94,0.0,23.04,9.13
102,2020-01-01 01:30:00,101.51,112.41,12.42,19.73,5.83,20.85,10.4
103,2020-01-01 01:45:00,102.1,107.88,7.86,17.98,0.1,19.05,11.67
104,2020-01-01 02:00:00,102.1,107.88,17.07,14.45,2.2,20.04,9.07
105,2020-01-01 02:15:00,102.1,107.88,10.59,6.81,0.43,7.72,7.95
106,2020-01-01 02:30:00,96.03,112.12,22.1,21.76,10.44,8.2,7.17
107,2020-01-01 02:45:00,94.4,113.25,18.82,14.95,5.37,20.29,7.09
108,2020-01-01 03:00:00,94.4,113.25,18.11,11.89,8.73,,6.78
109,2020-01-01 03:15:00,94.4,113.25,16.96,9.98,3.03,,6.62
110,2020-01-01 03:30:00,99.82,117.19,13.42,9.83,2.1,,7.14
111,2020-01-01 03:45:00,101.28,118.24,10.69,10.55,0.17,,7.07
112,2020-01-01 04:00:00,101.28,118.24,7.58,10.8,0.16,,7.23
113,2020-01-01 04:15:00,101.28,118.24,15.52,18.52,8.53,,7.38
114,2020-01-01 04:30:00,93.54,117.71,3.63,22.53,1.63,,7.05
115,2020-01-01 04:45:00,91.47,117.56,4.37,4.89,0.0,,6.98
116,2020-01-01 05:00:00,91.47,117.56,14.02,11.17,1.85,,6.75
117,2020-01-01 05:15:00,91.47,117.56,9.26,13.25,0.83,,6.63
118,2020-01-01 05:30:00,89.81,105.86,27.78,11.56,7.19,5.95,8.27
119,2020-01-01 05:45:00,89.36,102.72,23.49,9.48,3.85,10.14,11.31
120,2020-01-01 06:00:00,89.36,102.72,27.2,13.37,11.1,15.24,15.17
121,2020-01-01 06:15:00,89.36,102.72,27.15,9.95,9.59,14.88,18.53
122,2020-01-01 06:30:00,80.17,97.85,8.48,29.47,4.01,17.25,21.59
123,2020-01-01 06:45:00,77.71,97.85,27.27,12.24,7.0,18.4,18.09
124,2020-01-01 07:00:00,77.71,97.85,19.45,10.46,4.28,21.55,12.52
125,2020-01-01 07:15:00,77.71,97.85,21.85,13.73,4.15,23.41,10.22
126,2020-01-01 07:30:00,89.6,97.85,12.92,11.14,2.48,25.03,8.45
127,2020-01-01 07:45:00,92.78,103.61,15.51,10.4,4.04,28.91,8.35
128,2020-01-01 08:00:00,92.78,103.61,14.88,1.38,0.0,30.03,8.73
129,2020-01-01 08:15:00,92.78,103.61,2.81,18.5,1.23,32.57,8.42
130,2020-01-01 08:30:00,79.9,101.83,25.67,12.94,7.5,36.01,8.1
131,2020-01-01 08:45:00,76.46,101.35,21.88,15.13,8.44,32.42,7.72
132,2020-01-01 09:00:00,76.46,101.35,11.77,2.29,2.38,33.9,8.69
133,2020-01-01 09:15:00,76.46,101.35,33.43,13.38,12.83,35.59,9.14
134,2020-01-01 09:30:00,70.5,117.19,8.93,18.21,1.07,21.11,8.93
135,2020-01-01 09:45:00,68.91,121.43,1.24,15.16,0.01,50.5,10.78
136,2020-01-01 10:00:00,68.91,121.43,12.6,12.01,2.8,30.67,9.86
137,2020-01-01 10:15:00,68.91,121.43,11.66,7.98,2.59,19.48,7.99
138,2020-01-01 10:30:00,63.06,99.75,12.44,9.2,0.0,,7.3
139,2020-01-01 10:45:00,61.5,99.75,4.1,8.65,0.89,,7.46
140,2020-01-01 11:00:00,61.5,99.75,3.01,15.33,0.17,4.51,7.8
141,2020-01-01 11:15:00,61.5,99.75,12.31,10.31,3.1,0.45,6.37
142,2020-01-01 11:30:00,45.98,99.75,11.92,2.22,0.0,,6.69
143,2020-01-01 11:45:00,45.98,107.7,15.07,10.94,5.92,,5.9
144,2020-01-01 12:00:00,45.98,107.7,30.19,4.68,6.3,,5.21
145,2020-01-01 12:15:00,45.98,107.7,24.57,11.04,5.31,,5.42
146,2020-01-01 12:30:00,45.6,95.12,15.36,22.79,8.58,,5.77
147,2020-01-01 12:45:00,45.5,95.12,18.98,20.15,6.68,,5.66
148,2020-01-01 13:00:00,45.5,95.12,14.06,14.17,2.35,,5.74
149,2020-01-01 13:15:00,45.5,95.12,27.5,8.95,7.61,,6.04
150,2020-01-01 13:30:00,38.41,92.22,6.93,17.99,2.78,7.86,6.71
151,2020-01-01 13:45:00,36.51,91.45,16.35,5.24,2.47,12.1,11.66
152,2020-01-01 14:00:00,36.51,91.45,10.61,15.56,2.72,50.53,10.68
153,2020-01-01 14:15:00,36.51,91.45,8.93,20.81,1.58,67.96,9.07
154,2020-01-01 14:30:00,26.59,80.5,2.26,18.37,0.0,59.24,7.71
155,2020-01-01 14:45:00,23.93,77.57,1.29,17.22,0.38,70.15,7.49
156,2020-01-01 15:00:00,23.93,77.57,10.37,15.25,0.11,65.69,7.8
157,2020-01-01 15:15:00,23.93,77.57,12.7,9.13,2.8,65.71,7.4
158,2020-01-01 15:30:00,30.88,73.25,18.07,12.83,8.42,79.05,8.63
159,2020-01-01 15:45:00,32.74,72.09,1.92,16.34,0.0,59.51,8.43
160,2020-01-01 16:00:00,32.74,72.09,12.9,6.14,0.01,60.08,7.83
161,2020-01-01 16:15:00,32.74,72.09,28.74,9.38,12.47,51.12,8.21
162,2020-01-01 16:30:00,28.94,76.76,22.65,19.57,9.84,53.81,8.61
163,2020-01-01 16:45:00,27.92,78.01,13.5,14.69,1.16,56.73,7.99
164,2020-01-01 17:00:00,27.92,78.01,9.73,6.52,0.83,56.99,8.13
165,2020-01-01 17:15:00,27.92,78.01,3.82,5.48,0.0,42.03,9.51
166,2020-01-01 17:30:00,29.26,75.87,18.4,13.44,5.03,41.14,8.28
167,2020-01-01 17:45:00,29.61,75.29,11.18,13.34,4.22,17.94,9.18
168,2020-01-01 18:00:00,29.61,75.29,29.08,8.14,5.57,13.93,15.02
169,2020-01-01 18:15:00,29.61,75.29,6.22,8.62,0.28,11.95,11.4
170,2020-01-01 18:30:00,37.16,75.29,12.42,14.46,1.18,14.99,8.64
171,2020-01-01 18:45:00,39.19,100.47,17.85,13.23,3.4,2.15,7.58
172,2020-01-01 19:00:00,39.19,100.47,15.29,5.52,0.46,18.78,6.28
173,2020-01-01 19:15:00,39.19,100.47,2.36,13.33,0.78,9.07,6.11
174,2020-01-01 19:30:00,39.19,128.94,16.47,8.14,5.83,1.64,6.44
175,2020-01-01 19:45:00,68.36,136.56,0.43,19.97,0.0,32.46,7.04
176,2020-01-01 20:00:00,68.36,136.56,10.7,8.27,0.01,,6.44
177,2020-01-01 20:15:00,68.36,136.56,13.13,9.89,1.58,,6.65
178,2020-01-01 20:30:00,88.32,150.05,27.06,5.41,2.77,,7.1
179,2020-01-01 20:45:00,93.66,153.66,12.89,11.33,2.02,,6.88
180,2020-01-01 21:00:00,93.66,153.66,14.08,11.86,0.4,,7.7
181,2020-01-01 21:15:00,93.66,153.66,2.95,13.32,1.64,,7.49
182,2020-01-01 21:30:00,88.97,165.07,14.51,6.06,0.2,1.71,7.98
183,2020-01-01 21:45:00,87.72,168.12,21.64,24.24,8.76,10.49,8.21
184,2020-01-01 22:00:00,87.72,168.12,15.14,6.56,1.22,4.1,12.27
185,2020-01-01 22:15:00,87.72,168.12,4.77,18.92,1.17,25.4,17.05
186,2020-01-01 22:30:00,69.77,134.2,10.98,13.6,1.42,28.91,18.68
187,2020-01-01 22:45:00,64.96,125.13,22.96,6.77,4.49,41.23,13.85
188,2020-01-01 23:00:00,64.96,125.13,9.77,15.31,0.39,41.69,12.17
189,2020-01-01 23:15:00,64.96,125.13,26.69,19.36,8.94,45.87,10.42
190,2020-01-01 23:30:00,,,,,,,
191,2020-01-01 23:45:00,,,,,,,
192,2020-01-02 00:00:00,68.62,116.3,7.4,19.89,2.26,36.72,7.07
193,2020-01-02 00:15:00,68.62,116.3,2.1,19.14,0.0,26.44,7.18
194,2020-01-02 00:30:00,69.65,110.95,15.68,10.96,3.03,24.35,6.73
195,2020-01-02 00:45:00,69.93,109.52,25.66,15.15,10.66,25.8,6.96
196,2020-01-02 01:00:00,69.93,109.52,23.45,7.01,3.31,35.37,6.84
197,2020-01-02 01:15:00,69.93,109.52,11.45,17.35,0.26,36.97,7.26
198,2020-01-02 01:30:00,70.37,85.99,12.18,23.88,2.09,34.77,7.26
199,2020-01-02 01:45:00,70.48,85.99,10.27,14.17,0.21,48.84,6.48
200,2020-01-02 02:00:00,70.48,85.99,26.3,28.54,16.6,42.93,9.47
201,2020-01-02 02:15:00,70.48,85.99,4.68,4.87,0.57,44.79,11.23
202,2020-01-02 02:30:00,68.57,91.11,3.47,17.15,0.65,23.3,7.14
203,2020-01-02 02:45:00,68.06,92.48,6.18,17.23,1.47,5.27,5.65
204,2020-01-02 03:00:00,68.06,92.48,9.79,23.04,5.48,20.28,5.28
205,2020-01-02 03:15:00,68.06,92.48,20.3,13.0,2.98,,5.74
206,2020-01-02 03:30:00,67.08,92.48,10.54,11.07,0.0,,4.95
207,2020-01-02 03:45:00,66.82,106.44,23.93,7.01,4.19,,5.26
208,2020-01-02 04:00:00,66.82,106.44,10.63,22.62,1.47,,5.88
209,2020-01-02 04:15:00,66.82,106.44,27.53,3.66,2.18,,5.7
210,2020-01-02 04:30:00,70.74,98.46,26.77,4.49,7.24,,5.85
211,2020-01-02 04:45:00,71.78,98.46,8.05,12.21,0.0,,4.99
212,2020-01-02 05:00:00,71.78,98.46,21.52,12.58,10.02,,4.65
213,2020-01-02 05:15:00,71.78,98.46,10.34,6.75,0.0,,5.22
214,2020-01-02 05:30:00,78.47,90.5,10.36,7.24,0.14,,5.54
215,2020-01-02 05:45:00,80.26,88.36,10.37,15.65,2.01,1.93,5.78
