,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,,,,,,,
1,2020-01-01 00:15:00,173.45,271.94,30.17,50.0,80.18,3.18,5.53
2,2020-01-01 00:30:00,173.45,271.94,34.32,46.84,81.17,3.3,5.5
3,2020-01-01 00:45:00,163.73,271.94,34.31,45.37,79.67,3.09,5.44
4,2020-01-01 01:00:00,160.2,258.45,37.47,46.9,84.36,2.87,5.37
5,2020-01-01 01:15:00,160.2,254.08,35.31,41.59,76.9,3.17,5.37
6,2020-01-01 01:30:00,160.2,254.08,36.44,35.25,71.69,3.49,5.38
7,2020-01-01 01:45:00,153.26,254.08,44.56,45.37,89.93,3.21,5.36
8,2020-01-01 02:00:00,150.74,250.47,35.74,42.64,78.38,3.44,5.14
9,2020-01-01 02:15:00,150.74,249.3,34.68,44.12,78.81,3.6,5.39
10,2020-01-01 02:30:00,150.74,249.3,38.89,47.25,86.14,3.33,5.41
11,2020-01-01 02:45:00,144.64,249.3,41.93,48.11,90.04,3.16,5.48
12,2020-01-01 03:00:00,142.42,239.0,42.11,46.75,88.86,3.24,5.45
13,2020-01-01 03:15:00,142.42,235.67,41.61,41.9,83.51,3.13,5.48
14,2020-01-01 03:30:00,142.42,235.67,32.76,42.22,74.98,3.19,5.46
15,2020-01-01 03:45:00,158.97,235.67,35.51,41.82,77.33,3.5,5.44
16,2020-01-01 04:00:00,164.99,237.5,47.28,41.24,88.53,3.47,5.65
17,2020-01-01 04:15:00,164.99,238.09,42.65,48.18,90.83,3.17,5.54
18,2020-01-01 04:30:00,164.99,238.09,47.36,51.63,99.0,3.16,5.49
19,2020-01-01 04:45:00,163.52,238.09,43.4,49.53,92.93,3.36,5.52
20,2020-01-01 05:00:00,162.99,245.58,56.42,51.0,107.42,3.25,5.44
21,2020-01-01 05:15:00,162.99,248.0,49.38,47.99,97.37,3.36,5.47
22,2020-01-01 05:30:00,162.99,248.0,44.13,47.06,91.19,3.25,5.42
23,2020-01-01 05:45:00,157.13,248.0,54.39,46.59,100.97,3.26,5.49
24,2020-01-01 06:00:00,155.01,248.34,61.39,43.97,105.36,3.51,5.29
25,2020-01-01 06:15:00,155.01,248.45,65.35,44.37,109.72,3.53,5.53
26,2020-01-01 06:30:00,155.01,248.45,53.17,45.49,98.65,3.53,5.51
27,2020-01-01 06:45:00,161.29,248.45,48.07,43.54,91.6,3.29,5.52
28,2020-01-01 07:00:00,163.57,262.51,50.52,41.73,92.24,3.24,5.54
29,2020-01-01 07:15:00,163.57,267.06,48.96,46.33,95.28,3.42,5.49
30,2020-01-01 07:30:00,163.57,267.06,35.8,43.7,79.5,3.61,5.46
31,2020-01-01 07:45:00,161.22,267.06,32.5,42.79,75.28,3.94,5.49
32,2020-01-01 08:00:00,160.36,256.98,40.46,40.2,81.8,4.15,5.59
33,2020-01-01 08:15:00,160.36,253.72,33.24,44.12,77.36,4.44,5.58
34,2020-01-01 08:30:00,160.36,253.72,27.91,41.82,69.73,5.24,5.65
35,2020-01-01 08:45:00,154.81,253.72,26.04,35.78,61.82,6.02,5.66
36,2020-01-01 09:00:00,152.8,257.05,28.73,38.93,67.66,6.5,5.81
37,2020-01-01 09:15:00,152.8,258.12,26.5,46.96,73.46,6.34,5.86
38,2020-01-01 09:30:00,152.8,258.12,27.07,47.03,74.1,6.32,6.02
39,2020-01-01 09:45:00,168.68,258.12,24.64,44.93,69.57,7.43,6.07
40,2020-01-01 10:00:00,174.45,275.76,26.2,45.03,71.23,8.06,5.6
41,2020-01-01 10:15:00,174.45,281.47,28.64,49.53,78.17,8.49,6.01
42,2020-01-01 10:30:00,174.45,281.47,21.1,40.46,61.56,8.07,6.02
43,2020-01-01 10:45:00,177.86,281.47,18.8,35.01,53.81,9.26,6.12
44,2020-01-01 11:00:00,179.09,278.89,15.76,31.45,47.21,8.91,5.92
45,2020-01-01 11:15:00,179.09,278.06,21.29,30.66,51.94,10.3,5.89
46,2020-01-01 11:30:00,179.09,278.06,21.11,33.83,54.95,10.92,5.83
47,2020-01-01 11:45:00,173.05,278.06,14.12,27.27,41.39,13.57,5.8
48,2020-01-01 12:00:00,170.85,257.33,14.46,24.41,39.63,6.99,5.88
