,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,59.0,88.0,2.1,21.1,13.0,20.4,10.2
1,2020-01-01 00:15:00,,,,,,,
2,2020-01-01 00:30:00,59.0,88.0,1.5,22.3,13.1,13.3,8.1
3,2020-01-01 00:45:00,66.0,89.0,2.3,22.3,13.7,11.8,6.9
4,2020-01-01 01:00:00,66.0,89.0,2.3,23.3,14.2,19.3,6.9
5,2020-01-01 01:15:00,66.0,89.0,1.8,25.4,15.0,4.6,7.6
6,2020-01-01 01:30:00,66.0,89.0,2.7,24.3,15.2,10.2,7.3
7,2020-01-01 01:45:00,31.0,92.0,1.6,24.9,14.6,14.2,7.2
8,2020-01-01 02:00:00,,,,,,,
9,2020-01-01 02:15:00,31.0,92.0,2.9,22.6,14.4,31.1,8.0
10,2020-01-01 02:30:00,31.0,92.0,1.8,23.6,14.1,41.5,7.2
11,2020-01-01 02:45:00,56.0,75.0,2.4,18.3,11.7,140.6,7.0
12,2020-01-01 03:00:00,56.0,75.0,1.9,15.7,9.9,33.5,6.8
13,2020-01-01 03:15:00,56.0,75.0,1.5,14.3,8.8,40.9,7.8
14,2020-01-01 03:30:00,56.0,75.0,0.7,11.4,6.6,29.6,6.1
15,2020-01-01 03:45:00,,,0.4,9.6,5.4,26.1,7.2
16,2020-01-01 04:00:00,,,3.1,6.1,5.8,24.7,6.7
17,2020-01-01 04:15:00,,,1.4,9.2,6.0,22.6,8.3
18,2020-01-01 04:30:00,,,,,,,
19,2020-01-01 04:45:00,43.0,63.0,1.0,10.4,6.3,20.4,9.5
20,2020-01-01 05:00:00,43.0,63.0,1.9,8.8,6.2,20.4,9.5
21,2020-01-01 05:15:00,43.0,63.0,1.5,8.3,5.6,20.5,9.2
22,2020-01-01 05:30:00,43.0,63.0,1.7,8.3,5.8,21.1,9.9
23,2020-01-01 05:45:00,36.0,65.0,1.5,9.7,6.4,21.4,9.5
24,2020-01-01 06:00:00,36.0,65.0,2.3,9.3,6.8,21.4,9.5
25,2020-01-01 06:15:00,36.0,65.0,2.4,10.9,7.7,20.7,9.5
26,2020-01-01 06:30:00,36.0,65.0,2.5,11.2,8.0,20.8,9.8
27,2020-01-01 06:45:00,48.0,60.0,1.2,12.7,7.8,20.9,9.3
28,2020-01-01 07:00:00,48.0,60.0,2.4,13.7,9.3,21.4,9.8
29,2020-01-01 07:15:00,,,,,,,
30,2020-01-01 07:30:00,48.0,60.0,3.1,11.8,8.8,27.1,10.3
31,2020-01-01 07:45:00,0.0,73.0,3.8,11.1,9.0,30.7,9.6
32,2020-01-01 08:00:00,0.0,73.0,3.5,12.7,9.6,29.8,9.2
33,2020-01-01 08:15:00,0.0,73.0,3.7,12.7,9.8,33.0,9.7
34,2020-01-01 08:30:00,0.0,73.0,4.5,12.3,10.2,40.4,9.9
35,2020-01-01 08:45:00,41.0,66.0,4.4,18.2,13.2,38.5,9.5
36,2020-01-01 09:00:00,41.0,66.0,8.3,27.7,21.5,38.4,9.9
37,2020-01-01 09:15:00,41.0,66.0,3.3,14.0,10.1,47.8,9.4
38,2020-01-01 09:30:00,41.0,66.0,8.7,23.9,19.8,48.3,9.4
39,2020-01-01 09:45:00,43.0,56.0,11.1,27.9,23.9,45.4,9.3
40,2020-01-01 10:00:00,43.0,56.0,8.8,28.7,22.4,51.8,10.5
41,2020-01-01 10:15:00,43.0,56.0,7.1,26.0,19.6,54.4,10.8
42,2020-01-01 10:30:00,43.0,56.0,4.3,13.3,10.6,64.1,10.1
43,2020-01-01 10:45:00,25.0,52.0,6.0,15.2,13.0,63.7,9.8
44,2020-01-01 11:00:00,25.0,52.0,6.4,21.3,16.5,65.5,
45,2020-01-01 11:15:00,25.0,52.0,2.1,14.0,9.2,67.1,13.7
46,2020-01-01 11:30:00,25.0,52.0,4.8,14.8,11.8,67.3,13.4
47,2020-01-01 11:45:00,0.0,58.0,15.9,7.8,16.8,64.8,12.4
48,2020-01-01 12:00:00,0.0,58.0,433.3,66.0,383.7,62.6,12.1
49,2020-01-01 12:15:00,0.0,58.0,5.0,15.6,12.4,62.0,13.0
50,2020-01-01 12:30:00,0.0,58.0,5.1,16.6,13.0,61.4,14.2
51,2020-01-01 12:45:00,25.0,49.0,5.4,15.4,12.5,61.8,12.4
52,2020-01-01 13:00:00,25.0,49.0,6.7,24.3,18.4,60.8,13.1
53,2020-01-01 13:15:00,25.0,49.0,10.6,29.3,24.2,45.9,13.0
54,2020-01-01 13:30:00,25.0,49.0,4.9,20.5,14.9,63.8,12.5
55,2020-01-01 13:45:00,0.0,49.0,4.5,23.8,16.3,67.5,12.1
56,2020-01-01 14:00:00,0.0,49.0,5.2,21.1,15.4,68.7,10.9
57,2020-01-01 14:15:00,0.0,49.0,4.9,16.3,12.7,73.0,11.3
58,2020-01-01 14:30:00,0.0,49.0,5.5,17.6,13.8,71.0,11.4
59,2020-01-01 14:45:00,28.0,52.0,7.2,21.3,17.2,67.9,11.9
60,2020-01-01 15:00:00,28.0,52.0,5.1,12.3,10.7,70.3,11.7
61,2020-01-01 15:15:00,28.0,52.0,5.8,23.5,17.2,70.3,11.9
62,2020-01-01 15:30:00,28.0,52.0,6.2,18.8,15.1,71.1,10.9
63,2020-01-01 15:45:00,27.0,47.0,6.6,21.3,16.7,70.3,10.2
64,2020-01-01 16:00:00,27.0,47.0,6.5,17.2,14.5,66.2,11.0
65,2020-01-01 16:15:00,27.0,47.0,4.4,19.0,13.7,72.8,11.4
66,2020-01-01 16:30:00,27.0,47.0,4.6,22.9,15.9,72.8,11.2
