,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,829.0,,373.1,117.3,366.6,8.1,16.8
1,2020-01-01 00:15:00,829.0,,371.1,117.5,365.1,9.4,18.7
2,2020-01-01 00:30:00,829.0,,343.0,112.5,339.5,8.3,15.5
3,2020-01-01 00:45:00,669.0,864.0,280.2,100.0,281.6,7.7,16.0
4,2020-01-01 01:00:00,669.0,864.0,250.5,100.9,257.9,,13.7
5,2020-01-01 01:15:00,669.0,864.0,218.4,95.8,229.0,,12.4
6,2020-01-01 01:30:00,669.0,864.0,207.9,94.9,220.0,7.8,11.8
7,2020-01-01 01:45:00,544.0,682.0,217.5,96.9,228.9,7.2,11.4
8,2020-01-01 02:00:00,544.0,682.0,,,,7.8,
9,2020-01-01 02:15:00,544.0,682.0,,,,8.0,
10,2020-01-01 02:30:00,544.0,682.0,198.9,99.8,213.5,7.6,4.8
11,2020-01-01 02:45:00,423.0,550.0,200.8,100.9,217.4,6.8,6.4
12,2020-01-01 03:00:00,423.0,550.0,199.0,98.3,214.5,7.9,6.0
13,2020-01-01 03:15:00,423.0,550.0,194.6,95.2,209.3,7.6,5.3
14,2020-01-01 03:30:00,423.0,550.0,175.1,95.8,193.7,7.5,3.0
15,2020-01-01 03:45:00,372.0,469.0,159.4,94.3,180.1,7.4,3.2
16,2020-01-01 04:00:00,372.0,469.0,152.5,91.9,173.2,6.7,3.9
17,2020-01-01 04:15:00,372.0,469.0,148.4,90.3,169.0,6.7,3.9
18,2020-01-01 04:30:00,372.0,469.0,145.1,88.1,165.2,6.3,2.3
19,2020-01-01 04:45:00,315.0,407.0,143.2,84.7,161.8,8.0,2.1
20,2020-01-01 05:00:00,315.0,407.0,142.8,85.2,161.8,7.6,2.1
21,2020-01-01 05:15:00,315.0,407.0,146.4,85.4,164.8,7.4,2.3
22,2020-01-01 05:30:00,315.0,407.0,159.6,81.7,173.6,7.3,1.9
23,2020-01-01 05:45:00,328.0,423.0,178.9,85.8,191.5,7.0,0.1
24,2020-01-01 06:00:00,328.0,423.0,197.2,90.7,209.0,7.6,3.1
25,2020-01-01 06:15:00,328.0,423.0,207.7,92.4,218.4,7.5,6.8
26,2020-01-01 06:30:00,328.0,423.0,207.3,94.8,219.5,7.9,1.9
27,2020-01-01 06:45:00,423.0,559.0,206.3,93.9,218.1,8.2,4.8
28,2020-01-01 07:00:00,423.0,559.0,204.2,94.4,216.7,8.4,6.8
29,2020-01-01 07:15:00,423.0,559.0,206.7,96.2,219.7,9.4,4.5
30,2020-01-01 07:30:00,423.0,559.0,219.7,102.8,233.8,10.3,7.9
31,2020-01-01 07:45:00,526.0,635.0,240.2,103.5,250.9,11.3,8.3
32,2020-01-01 08:00:00,526.0,635.0,247.6,112.4,261.7,13.6,4.7
33,2020-01-01 08:15:00,526.0,635.0,253.6,121.7,271.5,14.9,4.5
34,2020-01-01 08:30:00,526.0,635.0,256.8,125.4,276.0,15.8,1.1
35,2020-01-01 08:45:00,622.0,842.0,233.9,143.1,266.8,16.2,4.0
36,2020-01-01 09:00:00,622.0,842.0,185.4,145.6,228.6,13.7,1.3
37,2020-01-01 09:15:00,622.0,842.0,125.7,143.0,178.6,11.2,1.2
38,2020-01-01 09:30:00,622.0,842.0,92.4,140.0,149.8,9.9,
39,2020-01-01 09:45:00,392.0,487.0,68.2,145.6,133.1,9.0,0.2
40,2020-01-01 10:00:00,392.0,487.0,53.9,144.4,120.7,8.0,
41,2020-01-01 10:15:00,392.0,487.0,,,,7.5,
42,2020-01-01 10:30:00,392.0,487.0,,,,7.4,
43,2020-01-01 10:45:00,340.0,414.0,,,,8.4,
44,2020-01-01 11:00:00,340.0,414.0,,,,12.2,1.3
45,2020-01-01 11:15:00,340.0,414.0,,,,15.3,5.8
46,2020-01-01 11:30:00,340.0,414.0,,,,13.9,4.9
47,2020-01-01 11:45:00,237.0,301.0,,,,11.9,5.4
48,2020-01-01 12:00:00,237.0,301.0,,,,9.5,2.1
49,2020-01-01 12:15:00,237.0,301.0,,,,9.5,1.2
50,2020-01-01 12:30:00,237.0,301.0,,,,11.2,2.4
51,2020-01-01 12:45:00,189.0,263.0,,,,12.5,0.9
52,2020-01-01 13:00:00,189.0,263.0,,,,12.5,
53,2020-01-01 13:15:00,189.0,263.0,,,,13.4,
54,2020-01-01 13:30:00,189.0,263.0,,,,14.0,
55,2020-01-01 13:45:00,161.0,227.0,,,,15.0,
56,2020-01-01 14:00:00,161.0,227.0,,,,15.3,
57,2020-01-01 14:15:00,161.0,227.0,,,,16.3,
58,2020-01-01 14:30:00,161.0,227.0,,,,14.7,
59,2020-01-01 14:45:00,145.0,218.0,,,,13.6,
60,2020-01-01 15:00:00,145.0,218.0,,,,12.6,
61,2020-01-01 15:15:00,145.0,218.0,,,,13.1,1.3
62,2020-01-01 15:30:00,145.0,218.0,,,,13.0,2.1
63,2020-01-01 15:45:00,146.0,217.0,,,,12.0,3.4
64,2020-01-01 16:00:00,146.0,217.0,,,,10.5,1.3
65,2020-01-01 16:15:00,146.0,217.0,,,,9.5,0.2
66,2020-01-01 16:30:00,146.0,217.0,,,,8.2,2.1
67,2020-01-01 16:45:00,183.0,276.0,,,,7.3,
68,2020-01-01 17:00:00,183.0,276.0,,,,7.4,3.7
