,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,,,,,,,
1,2020-01-01 00:15:00,873.0,,,,,18.03,71.53
2,2020-01-01 00:30:00,873.0,,,,,18.42,67.86
3,2020-01-01 00:45:00,582.0,,,,,19.4,66.29
4,2020-01-01 01:00:00,582.0,,,,,19.01,63.14
5,2020-01-01 01:15:00,582.0,,,,,18.42,60.26
6,2020-01-01 01:30:00,582.0,,,,,20.58,58.43
7,2020-01-01 01:45:00,549.0,,,,,,58.16
8,2020-01-01 02:00:00,549.0,,,,,,56.59
9,2020-01-01 02:15:00,549.0,,,,,,59.74
10,2020-01-01 02:30:00,549.0,,,,,,61.05
11,2020-01-01 02:45:00,692.0,,,,,18.82,62.09
12,2020-01-01 03:00:00,692.0,,,,,19.01,44.54
13,2020-01-01 03:15:00,692.0,,,,,18.23,46.37
14,2020-01-01 03:30:00,692.0,,,,,17.25,92.49
15,2020-01-01 03:45:00,645.0,,,,,18.82,75.98
16,2020-01-01 04:00:00,645.0,,,,,18.82,68.12
17,2020-01-01 04:15:00,645.0,,,,,19.4,68.38
18,2020-01-01 04:30:00,645.0,,,,,19.01,69.95
19,2020-01-01 04:45:00,,,,,,,
20,2020-01-01 05:00:00,610.0,,,,,20.38,70.22
21,2020-01-01 05:15:00,610.0,,,,,18.62,68.91
22,2020-01-01 05:30:00,610.0,,,,,20.19,72.05
23,2020-01-01 05:45:00,,,,,,,
24,2020-01-01 06:00:00,595.0,,,,,25.68,71.79
25,2020-01-01 06:15:00,595.0,,,,,28.62,67.33
26,2020-01-01 06:30:00,595.0,,,,,30.18,66.29
27,2020-01-01 06:45:00,580.0,,,,,35.87,65.76
28,2020-01-01 07:00:00,580.0,,,,,35.28,64.19
29,2020-01-01 07:15:00,580.0,,,,,35.87,63.67
30,2020-01-01 07:30:00,580.0,,,,,35.67,63.4
31,2020-01-01 07:45:00,537.0,,,,,33.52,62.36
32,2020-01-01 08:00:00,537.0,,,,,29.01,63.14
33,2020-01-01 08:15:00,537.0,,,,,25.09,61.05
34,2020-01-01 08:30:00,537.0,,,,,22.54,57.12
35,2020-01-01 08:45:00,503.0,,,,,21.56,55.02
36,2020-01-01 09:00:00,503.0,,,,,21.36,53.71
37,2020-01-01 09:15:00,503.0,,,,,19.4,52.92
38,2020-01-01 09:30:00,,,,,,,
39,2020-01-01 09:45:00,,,,,,,
40,2020-01-01 10:00:00,,,,,,,
41,2020-01-01 10:15:00,346.0,,,,,18.82,55.81
42,2020-01-01 10:30:00,346.0,,,,,22.74,58.69
43,2020-01-01 10:45:00,237.0,,,,,29.4,53.45
44,2020-01-01 11:00:00,237.0,,,,,29.99,48.47
45,2020-01-01 11:15:00,,,,,,,
46,2020-01-01 11:30:00,237.0,,,,,42.73,39.56
47,2020-01-01 11:45:00,145.0,,,,,48.22,42.71
48,2020-01-01 12:00:00,145.0,,,,,54.1,43.75
49,2020-01-01 12:15:00,145.0,,,,,59.19,43.49
50,2020-01-01 12:30:00,145.0,,,,,63.9,39.56
51,2020-01-01 12:45:00,129.0,,,,,67.03,35.63
52,2020-01-01 13:00:00,129.0,,,,,69.38,34.58
53,2020-01-01 13:15:00,129.0,,,,,72.91,38.51
54,2020-01-01 13:30:00,129.0,,,,,79.58,35.11
55,2020-01-01 13:45:00,111.0,,,,,83.5,26.2
56,2020-01-01 14:00:00,111.0,,,,,87.42,24.1
57,2020-01-01 14:15:00,111.0,,,,,91.73,23.84
58,2020-01-01 14:30:00,111.0,,,,,93.69,24.1
59,2020-01-01 14:45:00,107.0,,,,,96.82,24.89
60,2020-01-01 15:00:00,,,,,,,
61,2020-01-01 15:15:00,107.0,,,,,94.86,24.37
62,2020-01-01 15:30:00,107.0,,,,,97.8,25.15
63,2020-01-01 15:45:00,105.0,,,,,98.39,22.53
64,2020-01-01 16:00:00,105.0,,,,,97.02,25.94
65,2020-01-01 16:15:00,105.0,,,,,91.53,26.46
66,2020-01-01 16:30:00,105.0,,,,,88.2,24.89
67,2020-01-01 16:45:00,99.0,,,,,74.48,25.15
68,2020-01-01 17:00:00,99.0,,,,,59.19,25.94
69,2020-01-01 17:15:00,99.0,,,,,36.26,24.63
70,2020-01-01 17:30:00,99.0,,,,,23.72,25.94
71,2020-01-01 17:45:00,150.0,,,,,19.99,28.03
72,2020-01-01 18:00:00,150.0,,,,,19.8,28.3
73,2020-01-01 18:15:00,150.0,,,,,19.8,27.51
74,2020-01-01 18:30:00,150.0,,,,,19.01,28.82
75,2020-01-01 18:45:00,347.0,,,,,19.99,31.7
76,2020-01-01 19:00:00,347.0,,,,,19.6,33.8
77,2020-01-01 19:15:00,347.0,,,,,21.36,36.16
78,2020-01-01 19:30:00,347.0,,,,,18.42,41.66
79,2020-01-01 19:45:00,650.0,,,,,19.01,44.8
80,2020-01-01 20:00:00,650.0,,,,,21.17,48.73
81,2020-01-01 20:15:00,650.0,,,,,21.36,51.35
82,2020-01-01 20:30:00,650.0,,,,,21.17,51.88
83,2020-01-01 20:45:00,802.0,,,,,20.19,52.4
84,2020-01-01 21:00:00,802.0,,,,,20.58,54.5
85,2020-01-01 21:15:00,802.0,,,,,20.38,57.38
86,2020-01-01 21:30:00,802.0,,,,,19.4,58.95
87,2020-01-01 21:45:00,918.0,,,,,19.01,61.83
88,2020-01-01 22:00:00,918.0,,,,,19.21,63.93
89,2020-01-01 22:15:00,918.0,,,,,19.21,66.29
90,2020-01-01 22:30:00,918.0,,,,,19.8,66.29
91,2020-01-01 22:45:00,751.0,,,,,19.4,66.55
92,2020-01-01 23:00:00,751.0,,,,,19.21,68.12
93,2020-01-01 23:15:00,751.0,,,,,19.6,67.07
94,2020-01-01 23:30:00,751.0,,,,,19.4,67.86
95,2020-01-01 23:45:00,,,,,,,
96,2020-01-02 00:00:00,684.0,,,,,19.21,68.91
97,2020-01-02 00:15:00,684.0,,,,,20.19,56.59
98,2020-01-02 00:30:00,684.0,,,,,20.19,53.45
99,2020-01-02 00:45:00,715.0,,,,,20.78,51.09
100,2020-01-02 01:00:00,715.0,,,,,21.76,51.09
101,2020-01-02 01:15:00,715.0,,,,,20.58,51.88
102,2020-01-02 01:30:00,715.0,,,,,18.42,51.61
103,2020-01-02 01:45:00,535.0,,,,,,50.3
104,2020-01-02 02:00:00,535.0,,,,,,49.52
105,2020-01-02 02:15:00,535.0,,,,,,51.61
106,2020-01-02 02:30:00,535.0,,,,,,50.83
107,2020-01-02 02:45:00,438.0,,,,,18.23,49.26
108,2020-01-02 03:00:00,438.0,,,,,18.42,37.99
109,2020-01-02 03:15:00,438.0,,,,,18.03,28.82
110,2020-01-02 03:30:00,438.0,,,,,18.03,61.05
111,2020-01-02 03:45:00,383.0,,,,,18.82,51.88
112,2020-01-02 04:00:00,383.0,,,,,17.05,47.95
113,2020-01-02 04:15:00,383.0,,,,,17.25,46.11
114,2020-01-02 04:30:00,383.0,,,,,19.4,42.71
115,2020-01-02 04:45:00,324.0,,,,,20.78,43.49
116,2020-01-02 05:00:00,324.0,,,,,25.09,41.13
117,2020-01-02 05:15:00,324.0,,,,,28.42,40.61
118,2020-01-02 05:30:00,324.0,,,,,29.79,40.61
119,2020-01-02 05:45:00,289.0,,,,,34.3,38.78
120,2020-01-02 06:00:00,289.0,,,,,39.59,39.04
121,2020-01-02 06:15:00,289.0,,,,,45.08,40.09
122,2020-01-02 06:30:00,289.0,,,,,59.39,40.61
123,2020-01-02 06:45:00,342.0,,,,,73.89,39.3
124,2020-01-02 07:00:00,342.0,,,,,71.15,41.92
125,2020-01-02 07:15:00,342.0,,,,,71.34,41.92
126,2020-01-02 07:30:00,342.0,,,,,71.34,43.49
127,2020-01-02 07:45:00,440.0,,,,,63.31,45.33
128,2020-01-02 08:00:00,440.0,,,,,60.96,43.75
129,2020-01-02 08:15:00,440.0,,,,,62.52,42.18
130,2020-01-02 08:30:00,440.0,,,,,57.62,43.49
131,2020-01-02 08:45:00,498.0,,,,,53.31,43.23
132,2020-01-02 09:00:00,498.0,,,,,38.61,42.97
133,2020-01-02 09:15:00,498.0,,,,,33.12,42.44
134,2020-01-02 09:30:00,,,,,,,
135,2020-01-02 09:45:00,,,,,,,
136,2020-01-02 10:00:00,,,,,,,
137,2020-01-02 10:15:00,,,,,,,
138,2020-01-02 10:30:00,367.0,,,,,21.36,79.91
139,2020-01-02 10:45:00,273.0,,,,,20.58,90.65
140,2020-01-02 11:00:00,273.0,,,,,21.76,82.27
141,2020-01-02 11:15:00,273.0,,,,,22.93,73.1
142,2020-01-02 11:30:00,273.0,,,,,25.09,71.26
143,2020-01-02 11:45:00,231.0,,,,,28.42,61.31
144,2020-01-02 12:00:00,231.0,,,,,33.52,59.47
145,2020-01-02 12:15:00,231.0,,,,,39.4,80.43
146,2020-01-02 12:30:00,231.0,,,,,46.45,74.41
147,2020-01-02 12:45:00,116.0,,,,,53.51,52.66
