,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,,,429.3,119.9,412.8,60.78,18.3
1,2020-01-01 00:15:00,,,322.4,124.0,328.1,74.56,12.4
2,2020-01-01 00:30:00,,,219.3,96.5,229.6,72.52,11.6
3,2020-01-01 00:45:00,933.0,,149.0,103.0,175.9,60.84,11.8
4,2020-01-01 01:00:00,933.0,,136.1,87.2,157.1,49.76,11.0
5,2020-01-01 01:15:00,933.0,,80.2,86.3,111.1,25.17,7.9
6,2020-01-01 01:30:00,933.0,,63.8,88.2,98.8,18.86,6.7
7,2020-01-01 01:45:00,491.0,556.0,59.0,86.1,93.7,15.5,6.6
8,2020-01-01 02:00:00,491.0,556.0,39.7,87.9,79.0,14.19,5.8
9,2020-01-01 02:15:00,491.0,556.0,40.0,81.2,75.7,52.45,4.6
10,2020-01-01 02:30:00,491.0,556.0,42.8,79.1,76.9,137.94,4.9
11,2020-01-01 02:45:00,467.0,508.0,37.5,78.7,72.3,73.32,4.7
12,2020-01-01 03:00:00,467.0,508.0,86.3,55.5,99.7,,4.4
13,2020-01-01 03:15:00,467.0,508.0,175.2,78.9,184.5,,7.4
14,2020-01-01 03:30:00,467.0,508.0,162.6,85.0,177.4,,9.0
15,2020-01-01 03:45:00,492.0,545.0,173.0,72.3,179.1,,7.9
16,2020-01-01 04:00:00,492.0,545.0,179.3,72.8,184.5,,8.0
17,2020-01-01 04:15:00,492.0,545.0,163.1,86.8,178.8,,9.1
18,2020-01-01 04:30:00,492.0,545.0,137.5,98.9,164.3,,9.8
19,2020-01-01 04:45:00,483.0,542.0,131.3,87.7,153.3,,8.7
20,2020-01-01 05:00:00,483.0,542.0,126.6,92.6,152.1,191.35,7.8
21,2020-01-01 05:15:00,483.0,542.0,124.0,95.9,151.8,122.11,8.1
22,2020-01-01 05:30:00,483.0,542.0,121.2,99.3,151.3,125.64,8.7
23,2020-01-01 05:45:00,495.0,576.0,120.4,98.9,150.5,119.27,9.4
24,2020-01-01 06:00:00,495.0,576.0,121.0,99.1,151.1,84.73,10.7
25,2020-01-01 06:15:00,,,,,,,
26,2020-01-01 06:30:00,,,,,,,
27,2020-01-01 06:45:00,,,,,,,
28,2020-01-01 07:00:00,,,,,,,
29,2020-01-01 07:15:00,,,,,,,
30,2020-01-01 07:30:00,,,,,,,
31,2020-01-01 07:45:00,,,,,,,
32,2020-01-01 08:00:00,,,,,,,
33,2020-01-01 08:15:00,,,,,,,
34,2020-01-01 08:30:00,,,,,,,
35,2020-01-01 08:45:00,,,,,,,
36,2020-01-01 09:00:00,,,,,,,
37,2020-01-01 09:15:00,,,,,,,
38,2020-01-01 09:30:00,,,,,,,
39,2020-01-01 09:45:00,,,,,,,
40,2020-01-01 10:00:00,,,,,,,
41,2020-01-01 10:15:00,,,,,,,
42,2020-01-01 10:30:00,,,,,,,
43,2020-01-01 10:45:00,,,,,,,
44,2020-01-01 11:00:00,,,,,,,
45,2020-01-01 11:15:00,,,,,,,
46,2020-01-01 11:30:00,,,,,,,
47,2020-01-01 11:45:00,,,,,,,
48,2020-01-01 12:00:00,,,,,,,
49,2020-01-01 12:15:00,197.0,239.0,2.0,36.4,20.9,40.73,23.7
50,2020-01-01 12:30:00,197.0,239.0,1.5,32.8,18.7,46.3,8.7
51,2020-01-01 12:45:00,172.0,208.0,1.7,31.9,18.4,47.49,10.2
52,2020-01-01 13:00:00,172.0,208.0,1.3,29.2,16.6,53.45,4.8
53,2020-01-01 13:15:00,172.0,208.0,1.3,28.0,15.9,57.04,4.5
54,2020-01-01 13:30:00,172.0,208.0,1.2,27.0,15.4,59.86,4.6
55,2020-01-01 13:45:00,138.0,169.0,1.2,30.1,17.0,59.78,10.3
56,2020-01-01 14:00:00,138.0,169.0,0.9,27.9,15.6,64.76,7.4
57,2020-01-01 14:15:00,138.0,169.0,0.8,28.2,15.7,63.03,13.1
58,2020-01-01 14:30:00,138.0,169.0,1.0,32.0,17.9,62.88,32.8
59,2020-01-01 14:45:00,140.0,182.0,1.1,32.7,18.3,65.64,26.8
60,2020-01-01 15:00:00,140.0,182.0,0.9,31.7,17.6,65.74,21.3
61,2020-01-01 15:15:00,140.0,182.0,1.1,34.4,19.2,65.21,27.4
62,2020-01-01 15:30:00,140.0,182.0,0.5,32.1,17.4,71.72,8.6
63,2020-01-01 15:45:00,121.0,171.0,0.4,33.9,18.4,65.95,16.2
64,2020-01-01 16:00:00,121.0,171.0,0.6,36.2,19.7,66.95,8.1
65,2020-01-01 16:15:00,121.0,171.0,0.4,40.5,21.8,61.84,8.8
66,2020-01-01 16:30:00,121.0,171.0,0.4,41.5,22.4,64.82,8.5
67,2020-01-01 16:45:00,118.0,173.0,0.2,43.7,23.4,58.13,3.2
68,2020-01-01 17:00:00,118.0,173.0,0.2,52.4,28.1,49.33,8.8
69,2020-01-01 17:15:00,118.0,173.0,0.9,77.2,41.8,28.54,10.0
70,2020-01-01 17:30:00,118.0,173.0,2.4,108.6,59.7,14.25,1.9
71,2020-01-01 17:45:00,171.0,257.0,7.6,120.8,70.4,9.25,3.4
72,2020-01-01 18:00:00,171.0,257.0,17.6,144.6,91.2,13.33,7.2
73,2020-01-01 18:15:00,171.0,257.0,12.2,133.8,81.0,2.72,2.8
74,2020-01-01 18:30:00,171.0,257.0,6.8,129.8,74.5,3.61,1.1
75,2020-01-01 18:45:00,255.0,324.0,28.6,122.1,88.2,5.43,0.1
76,2020-01-01 19:00:00,255.0,324.0,95.2,119.7,141.2,7.11,
77,2020-01-01 19:15:00,255.0,324.0,132.4,130.5,177.1,8.58,1.7
78,2020-01-01 19:30:00,255.0,324.0,137.3,129.9,180.7,7.02,2.8
79,2020-01-01 19:45:00,555.0,616.0,183.3,149.9,228.7,9.41,3.2
80,2020-01-01 20:00:00,555.0,616.0,139.8,158.8,198.1,8.64,3.9
81,2020-01-01 20:15:00,555.0,616.0,136.6,153.9,192.9,8.09,3.9
82,2020-01-01 20:30:00,555.0,616.0,191.4,154.3,237.7,9.74,3.1
83,2020-01-01 20:45:00,734.0,837.0,214.9,151.4,255.2,13.41,3.6
84,2020-01-01 21:00:00,734.0,837.0,239.2,165.9,282.7,14.84,4.0
85,2020-01-01 21:15:00,734.0,837.0,249.8,167.9,292.4,16.21,3.6
86,2020-01-01 21:30:00,734.0,837.0,236.7,158.6,276.8,16.01,4.4
87,2020-01-01 21:45:00,,,343.5,144.3,356.1,22.85,5.9
88,2020-01-01 22:00:00,,,401.8,168.7,416.4,34.22,5.8
89,2020-01-01 22:15:00,,,489.3,150.6,477.9,43.2,7.4
90,2020-01-01 22:30:00,,,301.1,117.3,307.1,32.32,7.5
91,2020-01-01 22:45:00,,,248.5,135.8,274.3,56.7,12.8
92,2020-01-01 23:00:00,,,208.4,124.7,235.8,38.14,15.2
93,2020-01-01 23:15:00,,,196.8,110.9,219.0,24.7,13.1
94,2020-01-01 23:30:00,,,193.8,110.7,216.4,19.5,10.0
95,2020-01-01 23:45:00,569.0,648.0,183.3,111.7,208.4,18.99,
96,2020-01-02 00:00:00,569.0,648.0,162.2,115.4,193.2,17.46,17.4
97,2020-01-02 00:15:00,569.0,648.0,132.1,109.4,165.6,15.7,18.8
98,2020-01-02 00:30:00,569.0,648.0,134.5,101.6,163.3,16.09,17.6
99,2020-01-02 00:45:00,458.0,522.0,123.3,100.6,153.7,15.6,16.0
100,2020-01-02 01:00:00,458.0,522.0,120.8,96.9,149.7,15.76,15.2
101,2020-01-02 01:15:00,458.0,522.0,239.5,62.2,227.8,36.95,14.1
102,2020-01-02 01:30:00,458.0,522.0,344.2,76.9,320.7,87.53,14.1
103,2020-01-02 01:45:00,,642.0,419.6,74.1,380.6,,14.7
104,2020-01-02 02:00:00,583.0,,462.4,57.5,406.6,,15.8
105,2020-01-02 02:15:00,,,472.1,69.0,420.5,,17.0
106,2020-01-02 02:30:00,583.0,642.0,474.1,76.4,426.1,,18.2
107,2020-01-02 02:45:00,625.0,681.0,464.3,75.1,417.4,,20.2
108,2020-01-02 03:00:00,625.0,681.0,376.8,38.0,326.6,,25.7
109,2020-01-02 03:15:00,625.0,681.0,355.2,81.3,332.0,,24.7
110,2020-01-02 03:30:00,625.0,681.0,357.1,83.0,334.5,,20.4
111,2020-01-02 03:45:00,543.0,589.0,376.8,85.6,351.8,132.97,18.2
112,2020-01-02 04:00:00,543.0,589.0,360.4,88.2,339.9,133.26,17.3
113,2020-01-02 04:15:00,543.0,589.0,328.3,105.1,322.8,102.82,16.5
114,2020-01-02 04:30:00,543.0,589.0,309.3,104.2,306.9,64.84,15.2
115,2020-01-02 04:45:00,561.0,589.0,292.2,105.9,293.9,95.43,14.6
116,2020-01-02 05:00:00,561.0,589.0,223.7,97.4,233.7,168.87,15.1
117,2020-01-02 05:15:00,561.0,589.0,198.7,89.0,208.9,174.62,14.6
118,2020-01-02 05:30:00,561.0,589.0,175.1,102.4,196.8,159.45,15.4
119,2020-01-02 05:45:00,463.0,469.0,130.1,111.4,165.0,127.38,16.1
120,2020-01-02 06:00:00,463.0,469.0,121.1,111.8,158.0,100.94,15.9
121,2020-01-02 06:15:00,463.0,469.0,115.9,116.2,156.1,89.55,16.6
122,2020-01-02 06:30:00,,,,,,,
123,2020-01-02 06:45:00,,,,,,,
124,2020-01-02 07:00:00,463.0,469.0,,,,,
125,2020-01-02 07:15:00,463.0,469.0,,,,23.79,
126,2020-01-02 07:30:00,463.0,469.0,202.2,107.6,221.7,103.59,2.2
127,2020-01-02 07:45:00,,,249.1,105.9,258.9,42.81,0.6
128,2020-01-02 08:00:00,,,267.9,89.6,265.4,,1.4
129,2020-01-02 08:15:00,,,217.0,114.9,237.5,,2.8
130,2020-01-02 08:30:00,,,195.2,108.6,216.4,,5.6
131,2020-01-02 08:45:00,549.0,613.0,185.3,110.4,209.3,190.55,12.2
132,2020-01-02 09:00:00,,613.0,200.2,120.0,226.6,130.91,15.1
133,2020-01-02 09:15:00,549.0,613.0,187.7,119.8,216.3,154.11,21.4
134,2020-01-02 09:30:00,549.0,613.0,154.6,153.7,207.4,155.86,31.3
135,2020-01-02 09:45:00,557.0,680.0,136.4,168.5,200.5,,36.6
136,2020-01-02 10:00:00,557.0,680.0,54.2,145.4,121.4,,47.1
137,2020-01-02 10:15:00,557.0,680.0,46.1,150.1,117.3,76.44,43.1
138,2020-01-02 10:30:00,557.0,680.0,41.4,150.4,113.6,26.66,42.4
139,2020-01-02 10:45:00,397.0,552.0,34.9,149.3,107.8,18.52,37.2
140,2020-01-02 11:00:00,397.0,552.0,21.5,127.5,85.2,19.36,30.1
141,2020-01-02 11:15:00,397.0,552.0,14.4,103.9,67.0,22.46,22.3
142,2020-01-02 11:30:00,397.0,552.0,11.2,80.2,51.8,26.91,15.8
143,2020-01-02 11:45:00,247.0,346.0,8.8,67.5,43.1,30.28,10.2
144,2020-01-02 12:00:00,,,7.3,64.8,40.5,34.71,12.3
145,2020-01-02 12:15:00,247.0,346.0,5.3,47.9,29.8,39.63,0.9
146,2020-01-02 12:30:00,247.0,346.0,3.8,44.6,26.8,43.24,4.4
147,2020-01-02 12:45:00,131.0,191.0,2.9,45.2,26.4,49.39,1.8
148,2020-01-02 13:00:00,131.0,191.0,2.5,42.8,24.8,51.25,
149,2020-01-02 13:15:00,131.0,191.0,1.7,40.1,22.7,54.82,
150,2020-01-02 13:30:00,131.0,191.0,1.0,38.5,21.3,57.94,2.8
151,2020-01-02 13:45:00,96.0,135.0,1.8,40.6,23.1,58.21,3.9
152,2020-01-02 14:00:00,96.0,135.0,1.5,40.3,22.7,62.19,3.0
153,2020-01-02 14:15:00,96.0,135.0,1.4,41.8,23.4,64.84,2.1
154,2020-01-02 14:30:00,96.0,135.0,1.0,38.4,21.2,68.31,0.8
155,2020-01-02 14:45:00,98.0,147.0,0.7,35.3,19.4,68.84,
156,2020-01-02 15:00:00,98.0,147.0,0.8,32.5,17.9,71.62,
157,2020-01-02 15:15:00,98.0,147.0,0.8,32.1,17.7,70.76,
158,2020-01-02 15:30:00,,,0.6,35.1,19.2,67.03,
159,2020-01-02 15:45:00,83.0,135.0,,38.3,20.4,65.31,
160,2020-01-02 16:00:00,83.0,135.0,0.7,39.8,21.7,65.03,
161,2020-01-02 16:15:00,83.0,135.0,0.5,39.2,21.2,67.58,
162,2020-01-02 16:30:00,83.0,135.0,0.7,41.4,22.6,61.0,
163,2020-01-02 16:45:00,81.0,134.0,0.9,50.4,27.5,51.23,
164,2020-01-02 17:00:00,81.0,134.0,0.6,54.5,29.5,47.12,
165,2020-01-02 17:15:00,81.0,134.0,0.5,65.6,35.3,38.95,0.5
166,2020-01-02 17:30:00,81.0,134.0,0.2,72.8,38.9,35.04,1.2
167,2020-01-02 17:45:00,117.0,186.0,0.2,79.3,42.3,28.93,1.2
168,2020-01-02 18:00:00,117.0,186.0,14.5,91.5,60.5,16.46,2.3
169,2020-01-02 18:15:00,117.0,186.0,78.7,115.9,125.7,10.41,6.1
170,2020-01-02 18:30:00,117.0,186.0,103.5,139.2,158.2,11.02,10.5
171,2020-01-02 18:45:00,348.0,462.0,99.4,134.3,152.2,10.27,10.8
172,2020-01-02 19:00:00,348.0,462.0,136.6,136.9,183.9,12.68,9.5
173,2020-01-02 19:15:00,348.0,462.0,149.7,143.6,198.1,16.58,13.0
174,2020-01-02 19:30:00,348.0,462.0,142.5,145.2,193.1,13.86,16.6
175,2020-01-02 19:45:00,570.0,691.0,143.6,140.0,191.2,12.84,16.1
176,2020-01-02 20:00:00,570.0,691.0,191.3,142.6,231.4,52.31,15.4
