,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,59.44,88.61,24.17,13.45,33.72,40.32,8.53
1,2020-01-01 00:15:00,59.44,88.61,24.13,11.21,34.59,40.74,8.14
2,2020-01-01 00:30:00,59.44,88.61,24.7,12.02,33.73,40.38,8.45
3,2020-01-01 00:45:00,59.42,88.43,22.13,15.65,25.98,39.59,8.64
4,2020-01-01 01:00:00,59.02,84.49,33.27,10.46,28.49,39.93,8.3
5,2020-01-01 01:15:00,59.02,84.49,16.16,19.24,21.6,40.38,8.21
6,2020-01-01 01:30:00,59.02,84.49,21.0,10.37,27.56,40.29,8.42
7,2020-01-01 01:45:00,58.96,84.25,12.37,14.24,23.86,40.24,8.49
8,2020-01-01 02:00:00,57.74,78.97,16.82,12.41,29.04,39.0,8.03
9,2020-01-01 02:15:00,57.74,78.97,16.78,13.7,29.41,38.99,8.35
10,2020-01-01 02:30:00,57.74,78.97,21.0,11.13,29.12,37.81,8.3
11,2020-01-01 02:45:00,57.78,79.02,16.46,13.95,29.72,37.87,8.38
12,2020-01-01 03:00:00,58.7,79.97,8.78,15.88,22.57,36.01,8.43
13,2020-01-01 03:15:00,58.7,79.97,20.2,8.78,27.77,35.56,8.56
14,2020-01-01 03:30:00,58.7,79.97,20.54,9.81,27.85,36.67,8.17
15,2020-01-01 03:45:00,58.8,80.02,20.04,9.48,27.85,35.9,8.14
16,2020-01-01 04:00:00,60.99,81.09,14.94,12.29,24.51,35.22,8.7
17,2020-01-01 04:15:00,60.99,81.09,21.93,6.45,27.02,34.59,8.16
18,2020-01-01 04:30:00,60.99,81.09,16.07,11.95,26.83,32.89,8.75
19,2020-01-01 04:45:00,60.91,81.09,14.36,10.59,24.02,33.52,8.41
20,2020-01-01 05:00:00,59.28,81.2,14.39,13.02,26.41,33.67,8.59
21,2020-01-01 05:15:00,59.28,81.2,15.68,11.17,24.95,31.07,8.63
22,2020-01-01 05:30:00,59.28,81.2,16.05,10.05,23.84,30.14,8.08
23,2020-01-01 05:45:00,59.53,81.5,17.89,11.48,28.96,29.08,8.07
24,2020-01-01 06:00:00,65.02,87.97,15.97,10.35,26.15,30.03,8.16
25,2020-01-01 06:15:00,65.02,87.97,13.48,12.31,25.64,30.49,8.47
26,2020-01-01 06:30:00,65.02,87.97,14.39,13.28,26.73,30.08,8.5
27,2020-01-01 06:45:00,65.24,87.84,19.68,9.75,29.43,29.47,8.52
28,2020-01-01 07:00:00,70.08,84.94,17.03,10.71,27.74,29.18,8.47
29,2020-01-01 07:15:00,70.08,84.94,14.73,13.22,27.24,28.61,8.4
30,2020-01-01 07:30:00,70.08,84.94,16.33,12.89,29.23,26.52,8.32
31,2020-01-01 07:45:00,70.09,84.85,16.77,13.39,30.16,25.4,8.25
32,2020-01-01 08:00:00,70.15,82.84,18.6,10.13,28.73,24.46,8.09
33,2020-01-01 08:15:00,70.15,82.84,19.55,11.18,30.73,24.67,8.52
34,2020-01-01 08:30:00,70.15,82.84,18.84,11.09,29.9,26.66,8.52
35,2020-01-01 08:45:00,70.29,83.13,18.07,8.82,26.87,28.53,8.25
36,2020-01-01 09:00:00,73.43,89.33,17.42,11.33,28.74,30.26,8.1
37,2020-01-01 09:15:00,73.43,89.33,18.74,10.34,29.07,32.21,8.6
38,2020-01-01 09:30:00,73.43,89.33,17.8,10.97,28.77,33.67,8.3
39,2020-01-01 09:45:00,62.4,82.87,20.04,11.1,31.14,35.92,6.31
40,2020-01-01 10:00:00,46.98,78.73,18.62,11.55,30.17,37.0,4.75
41,2020-01-01 10:15:00,46.98,78.73,17.74,13.45,31.19,37.18,5.45
42,2020-01-01 10:30:00,46.98,78.73,21.52,11.55,33.07,39.33,5.57
43,2020-01-01 10:45:00,46.92,78.67,16.52,11.01,27.5,40.49,4.64
44,2020-01-01 11:00:00,45.63,77.21,17.61,12.43,29.91,42.62,4.77
45,2020-01-01 11:15:00,45.63,77.21,19.26,11.27,30.53,44.78,5.01
46,2020-01-01 11:30:00,45.63,77.21,17.74,12.29,30.03,45.88,4.59
47,2020-01-01 11:45:00,45.64,77.25,19.47,11.67,31.14,46.4,5.12
48,2020-01-01 12:00:00,45.67,78.1,18.78,12.0,30.78,45.45,3.03
49,2020-01-01 12:15:00,45.67,78.1,18.65,11.84,30.49,49.24,5.01
50,2020-01-01 12:30:00,45.67,78.1,17.54,13.41,30.96,49.96,4.57
51,2020-01-01 12:45:00,45.72,78.13,15.41,12.86,28.27,56.66,5.24
52,2020-01-01 13:00:00,46.8,78.72,18.33,10.61,28.94,54.64,4.81
53,2020-01-01 13:15:00,46.8,78.72,18.16,10.39,28.54,58.64,5.13
54,2020-01-01 13:30:00,46.8,78.72,19.63,11.63,31.27,54.68,5.16
55,2020-01-01 13:45:00,46.62,78.61,15.04,12.43,27.48,54.99,4.64
56,2020-01-01 14:00:00,42.79,76.17,16.87,12.22,29.1,56.39,4.81
57,2020-01-01 14:15:00,42.79,76.17,16.93,12.18,29.11,55.63,4.13
58,2020-01-01 14:30:00,42.79,76.17,18.14,11.0,29.14,57.44,4.47
59,2020-01-01 14:45:00,42.74,76.11,19.38,12.99,32.37,58.23,4.22
60,2020-01-01 15:00:00,41.65,74.89,18.32,10.99,29.31,58.14,3.89
61,2020-01-01 15:15:00,41.65,74.89,22.26,11.58,33.84,56.95,4.24
62,2020-01-01 15:30:00,41.65,74.89,20.1,11.44,31.54,57.98,4.37
63,2020-01-01 15:45:00,41.53,74.71,23.7,12.42,36.12,55.79,3.97
64,2020-01-01 16:00:00,38.95,70.64,20.92,12.33,33.25,56.35,2.29
65,2020-01-01 16:15:00,38.95,70.64,26.07,11.92,37.99,55.23,3.31
