,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,665.0,774.0,325.23,159.22,343.74,16.2,25.7
1,2020-01-01 00:15:00,665.0,774.0,329.22,159.39,347.02,16.1,25.9
2,2020-01-01 00:30:00,665.0,774.0,330.37,162.83,349.75,16.0,25.9
3,2020-01-01 00:45:00,665.0,774.0,330.52,162.19,349.53,16.1,26.0
4,2020-01-01 01:00:00,688.0,789.0,331.72,161.12,349.93,16.4,26.1
5,2020-01-01 01:15:00,691.0,790.0,330.96,162.24,349.91,16.3,26.1
6,2020-01-01 01:30:00,691.0,790.0,329.27,158.72,346.71,16.3,26.1
7,2020-01-01 01:45:00,691.0,790.0,322.79,156.76,340.51,16.5,26.2
8,2020-01-01 02:00:00,766.0,858.0,313.73,155.19,332.44,16.6,25.2
9,2020-01-01 02:15:00,773.0,861.0,297.46,150.9,317.18,16.7,25.1
10,2020-01-01 02:30:00,773.0,861.0,,144.44,307.64,16.8,25.0
11,2020-01-01 02:45:00,773.0,861.0,297.06,146.15,314.36,16.6,25.1
12,2020-01-01 03:00:00,673.0,806.0,300.31,149.41,318.68,16.5,24.8
13,2020-01-01 03:15:00,665.0,804.0,300.28,151.97,319.99,16.4,24.8
14,2020-01-01 03:30:00,665.0,804.0,302.63,147.48,319.52,16.5,25.0
15,2020-01-01 03:45:00,665.0,804.0,299.29,149.47,317.89,16.3,25.1
16,2020-01-01 04:00:00,655.0,730.0,299.8,149.47,318.3,16.4,25.0
17,2020-01-01 04:15:00,654.0,727.0,298.1,147.96,316.14,16.1,24.8
18,2020-01-01 04:30:00,654.0,727.0,293.23,147.62,312.07,16.4,24.5
19,2020-01-01 04:45:00,654.0,727.0,289.74,146.22,308.55,16.5,24.3
20,2020-01-01 05:00:00,657.0,723.0,286.73,143.32,304.62,16.2,24.5
21,2020-01-01 05:15:00,657.0,723.0,284.65,143.9,303.26,16.6,24.5
22,2020-01-01 05:30:00,657.0,723.0,280.21,139.78,297.55,16.7,24.9
23,2020-01-01 05:45:00,657.0,723.0,275.89,138.29,293.32,16.5,24.7
24,2020-01-01 06:00:00,650.0,697.0,273.23,134.6,289.25,16.9,24.7
25,2020-01-01 06:15:00,649.0,697.0,267.73,134.28,284.69,17.2,24.8
26,2020-01-01 06:30:00,649.0,697.0,,130.38,276.67,18.1,24.6
27,2020-01-01 06:45:00,649.0,697.0,254.0,126.9,269.84,19.7,23.8
28,2020-01-01 07:00:00,631.0,676.0,252.88,123.3,267.06,20.4,24.5
29,2020-01-01 07:15:00,630.0,675.0,261.27,132.45,278.56,24.1,25.0
30,2020-01-01 07:30:00,630.0,675.0,282.42,138.5,298.65,25.8,26.2
31,2020-01-01 07:45:00,630.0,675.0,301.26,145.98,317.64,25.0,27.2
32,2020-01-01 08:00:00,647.0,729.0,304.22,149.51,321.85,24.7,27.6
33,2020-01-01 08:15:00,648.0,731.0,310.75,150.46,327.57,26.8,28.7
34,2020-01-01 08:30:00,648.0,731.0,306.49,150.56,324.22,27.0,28.2
35,2020-01-01 08:45:00,648.0,731.0,288.97,147.7,308.71,37.0,27.5
36,2020-01-01 09:00:00,704.0,802.0,273.77,146.82,296.09,41.5,26.6
37,2020-01-01 09:15:00,709.0,805.0,268.41,150.4,293.67,38.2,26.5
38,2020-01-01 09:30:00,709.0,805.0,256.8,149.74,284.03,35.1,25.9
39,2020-01-01 09:45:00,709.0,805.0,230.44,144.38,260.14,31.5,25.2
40,2020-01-01 10:00:00,608.0,688.0,199.92,142.93,234.97,28.4,23.9
41,2020-01-01 10:15:00,599.0,684.0,176.94,143.69,216.98,25.0,22.9
42,2020-01-01 10:30:00,599.0,684.0,150.3,138.05,192.72,19.9,21.9
43,2020-01-01 10:45:00,599.0,684.0,136.86,154.01,190.33,21.0,20.3
44,2020-01-01 11:00:00,303.0,390.0,119.1,191.23,195.6,18.9,18.9
45,2020-01-01 11:15:00,277.0,379.0,97.39,159.46,161.6,16.2,17.7
46,2020-01-01 11:30:00,277.0,379.0,77.36,126.09,128.1,14.5,17.2
47,2020-01-01 11:45:00,277.0,379.0,67.49,119.98,117.01,14.9,16.1
48,2020-01-01 12:00:00,183.0,264.0,61.76,111.38,107.92,15.4,15.6
49,2020-01-01 12:15:00,175.0,260.0,52.67,105.64,97.65,14.9,15.2
50,2020-01-01 12:30:00,175.0,260.0,41.13,92.84,81.71,14.0,14.5
51,2020-01-01 12:45:00,175.0,260.0,29.99,89.81,71.22,14.1,14.0
52,2020-01-01 13:00:00,158.0,230.0,24.76,84.99,64.51,14.3,13.1
53,2020-01-01 13:15:00,156.0,229.0,19.99,72.29,54.04,15.0,13.1
54,2020-01-01 13:30:00,156.0,229.0,15.32,69.25,48.72,14.8,12.8
55,2020-01-01 13:45:00,156.0,229.0,10.61,62.22,41.27,16.5,12.2
56,2020-01-01 14:00:00,130.0,217.0,5.67,59.92,36.11,16.3,11.9
57,2020-01-01 14:15:00,127.0,217.0,5.24,53.01,32.15,17.5,11.6
58,2020-01-01 14:30:00,127.0,217.0,3.98,50.06,29.59,18.5,11.6
59,2020-01-01 14:45:00,127.0,217.0,3.58,47.82,28.1,18.8,11.7
60,2020-01-01 15:00:00,130.0,230.0,2.26,45.91,26.05,16.9,11.0
61,2020-01-01 15:15:00,131.0,230.0,2.59,43.52,25.06,17.4,11.3
62,2020-01-01 15:30:00,131.0,230.0,3.03,40.58,23.87,19.2,11.5
63,2020-01-01 15:45:00,131.0,230.0,2.44,40.12,23.16,15.7,11.4
64,2020-01-01 16:00:00,124.0,201.0,2.46,39.11,22.64,18.2,11.8
65,2020-01-01 16:15:00,124.0,200.0,3.05,39.79,23.47,16.0,11.9
66,2020-01-01 16:30:00,124.0,200.0,3.67,39.2,23.66,15.6,12.0
67,2020-01-01 16:45:00,124.0,200.0,3.26,39.67,23.58,14.2,11.7
68,2020-01-01 17:00:00,117.0,182.0,4.72,39.58,24.7,13.7,11.8
69,2020-01-01 17:15:00,116.0,182.0,3.47,37.64,22.68,13.5,11.8
70,2020-01-01 17:30:00,116.0,182.0,4.74,38.08,23.93,13.5,12.3
71,2020-01-01 17:45:00,116.0,182.0,7.4,38.71,26.39,13.3,12.0
72,2020-01-01 18:00:00,148.0,241.0,7.73,41.75,28.24,13.2,11.9
73,2020-01-01 18:15:00,151.0,243.0,10.58,43.92,31.66,13.2,12.1
74,2020-01-01 18:30:00,151.0,243.0,20.54,48.3,41.92,13.3,12.6
75,2020-01-01 18:45:00,151.0,243.0,35.08,55.17,57.15,13.5,13.5
76,2020-01-01 19:00:00,326.0,475.0,56.08,62.54,77.81,13.6,14.5
77,2020-01-01 19:15:00,342.0,483.0,70.92,69.58,93.36,13.9,14.9
78,2020-01-01 19:30:00,342.0,483.0,88.07,74.89,109.86,13.9,15.6
79,2020-01-01 19:45:00,342.0,483.0,99.59,79.18,121.32,13.8,16.2
80,2020-01-01 20:00:00,384.0,547.0,107.35,81.4,128.7,13.8,16.8
81,2020-01-01 20:15:00,388.0,549.0,129.15,93.56,152.51,14.1,17.7
82,2020-01-01 20:30:00,388.0,549.0,162.45,106.4,185.86,14.3,19.5
83,2020-01-01 20:45:00,388.0,549.0,179.3,111.06,201.79,14.3,20.2
84,2020-01-01 21:00:00,476.0,622.0,334.52,169.72,356.67,15.9,26.5
85,2020-01-01 21:15:00,484.0,625.0,405.76,195.13,426.97,15.7,28.5
86,2020-01-01 21:30:00,484.0,625.0,,186.24,400.4,15.6,28.2
87,2020-01-01 21:45:00,484.0,625.0,368.68,182.54,390.72,15.5,28.4
88,2020-01-01 22:00:00,455.0,583.0,367.73,184.6,391.03,15.4,27.9
89,2020-01-01 22:15:00,453.0,581.0,364.82,183.14,387.94,15.1,27.7
90,2020-01-01 22:30:00,453.0,581.0,,181.41,385.28,15.1,28.0
91,2020-01-01 22:45:00,453.0,581.0,,179.06,382.23,15.1,27.9
92,2020-01-01 23:00:00,458.0,567.0,360.22,176.44,380.75,15.3,28.3
93,2020-01-01 23:15:00,458.0,567.0,365.42,182.33,387.99,15.3,28.6
94,2020-01-01 23:30:00,,,,,,,
95,2020-01-01 23:45:00,,,,,,,
96,2020-01-02 00:00:00,492.0,599.0,372.15,183.33,393.91,15.6,29.2
97,2020-01-02 00:15:00,495.0,600.0,371.9,180.83,392.4,15.5,29.5
98,2020-01-02 00:30:00,495.0,600.0,372.27,182.89,393.77,15.6,29.5
99,2020-01-02 00:45:00,495.0,600.0,367.68,182.5,389.9,15.6,28.9
100,2020-01-02 01:00:00,499.0,569.0,368.55,184.64,391.71,15.8,29.2
101,2020-01-02 01:15:00,499.0,568.0,360.5,179.31,382.48,15.7,29.1
102,2020-01-02 01:30:00,499.0,568.0,354.3,177.45,376.54,15.7,28.3
103,2020-01-02 01:45:00,499.0,568.0,349.46,178.65,373.3,15.7,27.9
104,2020-01-02 02:00:00,457.0,530.0,348.16,172.2,368.88,15.9,27.7
105,2020-01-02 02:15:00,454.0,528.0,344.85,167.65,363.86,15.8,27.4
106,2020-01-02 02:30:00,454.0,528.0,335.78,170.05,357.85,15.8,27.2
107,2020-01-02 02:45:00,454.0,528.0,330.13,167.86,352.19,16.0,26.8
108,2020-01-02 03:00:00,434.0,501.0,319.68,162.0,340.76,16.1,27.1
109,2020-01-02 03:15:00,433.0,500.0,308.33,157.55,329.35,16.4,26.8
110,2020-01-02 03:30:00,433.0,500.0,298.5,152.66,318.93,16.6,26.4
111,2020-01-02 03:45:00,433.0,500.0,291.6,148.01,310.97,17.4,26.1
112,2020-01-02 04:00:00,425.0,470.0,286.72,145.39,305.7,18.4,25.5
113,2020-01-02 04:15:00,425.0,469.0,280.68,145.48,300.91,20.2,25.4
114,2020-01-02 04:30:00,425.0,469.0,275.25,141.54,294.51,21.5,25.2
115,2020-01-02 04:45:00,425.0,469.0,268.43,136.33,286.32,24.2,25.1
116,2020-01-02 05:00:00,430.0,482.0,263.47,133.75,281.0,24.0,24.7
117,2020-01-02 05:15:00,431.0,482.0,255.36,128.75,271.89,27.9,24.5
