,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,79.0,113.0,2.3,36.2,21.1,58.6,3.9
1,2020-01-01 00:15:00,79.0,113.0,2.3,35.8,20.9,59.7,4.1
2,2020-01-01 00:30:00,79.0,,2.3,35.9,20.9,58.8,
3,2020-01-01 00:45:00,53.0,86.0,1.7,36.5,20.8,58.5,
4,2020-01-01 01:00:00,53.0,86.0,1.8,37.0,21.1,59.3,
5,2020-01-01 01:15:00,53.0,86.0,1.8,29.2,17.0,65.2,5.2
6,2020-01-01 01:30:00,53.0,86.0,1.9,29.8,17.4,63.4,2.4
7,2020-01-01 01:45:00,48.0,80.0,2.0,29.3,17.1,62.7,
8,2020-01-01 02:00:00,48.0,80.0,1.8,30.5,17.7,61.3,2.5
9,2020-01-01 02:15:00,48.0,80.0,1.6,27.8,16.1,59.6,3.6
10,2020-01-01 02:30:00,48.0,80.0,1.7,31.2,18.0,51.7,2.0
11,2020-01-01 02:45:00,54.0,77.0,2.1,34.3,19.9,48.5,
12,2020-01-01 03:00:00,54.0,77.0,2.0,35.5,20.5,48.2,0.3
13,2020-01-01 03:15:00,54.0,77.0,1.7,34.3,19.6,46.7,1.4
14,2020-01-01 03:30:00,54.0,77.0,1.9,34.9,20.1,44.1,2.1
15,2020-01-01 03:45:00,55.0,78.0,1.6,34.5,19.6,44.1,
16,2020-01-01 04:00:00,55.0,78.0,1.7,32.5,18.7,48.1,0.5
17,2020-01-01 04:15:00,55.0,78.0,1.4,31.0,17.6,51.8,2.3
18,2020-01-01 04:30:00,55.0,78.0,1.4,29.0,16.6,50.4,
19,2020-01-01 04:45:00,58.0,79.0,1.4,27.0,15.5,53.4,
20,2020-01-01 05:00:00,58.0,79.0,1.5,25.6,14.8,55.2,
21,2020-01-01 05:15:00,58.0,79.0,1.4,24.7,14.3,50.4,5.9
22,2020-01-01 05:30:00,58.0,79.0,1.4,25.3,14.6,48.0,1.9
23,2020-01-01 05:45:00,60.0,91.0,1.6,27.8,16.1,38.2,
24,2020-01-01 06:00:00,60.0,91.0,1.6,28.5,16.4,31.9,
25,2020-01-01 06:15:00,60.0,91.0,1.9,28.7,16.8,27.3,2.2
26,2020-01-01 06:30:00,60.0,91.0,2.6,28.7,17.4,28.3,
27,2020-01-01 06:45:00,98.0,135.0,3.3,30.4,18.9,23.9,
28,2020-01-01 07:00:00,98.0,135.0,3.6,32.5,20.2,21.5,
29,2020-01-01 07:15:00,98.0,135.0,4.4,33.4,21.3,20.7,1.4
30,2020-01-01 07:30:00,98.0,135.0,6.1,35.4,23.7,12.3,
31,2020-01-01 07:45:00,140.0,221.0,10.4,35.7,27.5,11.0,
32,2020-01-01 08:00:00,140.0,221.0,9.5,39.6,28.9,13.9,
33,2020-01-01 08:15:00,140.0,221.0,7.4,37.0,25.7,17.0,0.3
34,2020-01-01 08:30:00,140.0,221.0,7.5,37.8,26.2,15.8,2.1
35,2020-01-01 08:45:00,158.0,206.0,10.2,40.2,29.7,,0.1
36,2020-01-01 09:00:00,158.0,206.0,11.1,41.9,31.3,,1.7
37,2020-01-01 09:15:00,158.0,206.0,9.5,38.9,28.4,38.6,2.9
38,2020-01-01 09:30:00,158.0,206.0,7.1,37.7,25.8,26.8,1.5
39,2020-01-01 09:45:00,150.0,205.0,8.3,38.1,27.1,31.6,
40,2020-01-01 10:00:00,150.0,205.0,7.9,38.3,26.8,36.6,3.9
41,2020-01-01 10:15:00,150.0,205.0,6.0,37.5,24.8,41.9,4.2
42,2020-01-01 10:30:00,150.0,205.0,5.6,37.1,24.3,41.7,1.1
43,2020-01-01 10:45:00,112.0,157.0,5.2,37.1,24.0,45.1,
44,2020-01-01 11:00:00,112.0,157.0,5.0,36.1,23.2,48.6,
45,2020-01-01 11:15:00,112.0,157.0,5.7,37.1,24.4,53.0,
46,2020-01-01 11:30:00,112.0,157.0,6.6,40.5,26.9,53.3,3.0
47,2020-01-01 11:45:00,97.0,138.0,,,,54.9,6.9
48,2020-01-01 12:00:00,97.0,138.0,,,,57.5,3.7
49,2020-01-01 12:15:00,97.0,138.0,28.3,41.8,49.8,61.3,9.0
50,2020-01-01 12:30:00,97.0,138.0,5.1,42.2,26.6,60.8,2.4
51,2020-01-01 12:45:00,96.0,146.0,4.5,41.7,25.9,60.6,6.1
52,2020-01-01 13:00:00,96.0,146.0,3.8,39.8,24.3,66.5,7.4
53,2020-01-01 13:15:00,96.0,146.0,3.3,41.1,24.6,69.3,4.9
54,2020-01-01 13:30:00,96.0,146.0,6.7,34.5,23.8,66.6,7.2
55,2020-01-01 13:45:00,88.0,145.0,7.5,50.9,33.2,60.0,7.7
56,2020-01-01 14:00:00,88.0,145.0,3.9,36.6,22.7,63.0,8.4
57,2020-01-01 14:15:00,88.0,145.0,4.7,41.4,25.9,59.6,8.1
58,2020-01-01 14:30:00,88.0,145.0,4.7,42.8,26.6,59.7,8.0
59,2020-01-01 14:45:00,84.0,121.0,7.6,48.8,32.1,49.6,8.8
60,2020-01-01 15:00:00,84.0,121.0,5.5,46.6,29.3,54.7,8.1
61,2020-01-01 15:15:00,84.0,121.0,3.7,46.3,27.6,56.8,7.7
62,2020-01-01 15:30:00,84.0,121.0,4.7,44.9,27.6,58.3,8.6
63,2020-01-01 15:45:00,82.0,127.0,5.4,43.1,27.3,60.2,9.3
64,2020-01-01 16:00:00,82.0,127.0,5.0,42.8,26.9,58.7,9.2
65,2020-01-01 16:15:00,82.0,127.0,5.1,42.4,26.7,56.4,8.2
66,2020-01-01 16:30:00,82.0,127.0,6.5,50.7,32.2,47.5,7.3
67,2020-01-01 16:45:00,79.0,125.0,6.5,53.3,33.6,45.4,6.6
68,2020-01-01 17:00:00,79.0,125.0,6.4,52.8,33.3,45.5,5.7
69,2020-01-01 17:15:00,79.0,125.0,6.6,59.2,36.9,39.1,6.1
70,2020-01-01 17:30:00,79.0,125.0,18.8,69.6,52.9,23.5,6.4
71,2020-01-01 17:45:00,93.0,149.0,23.3,74.0,58.3,17.6,5.7
72,2020-01-01 18:00:00,93.0,149.0,21.8,70.0,54.9,17.2,5.4
73,2020-01-01 18:15:00,93.0,149.0,17.2,62.3,47.1,19.2,4.1
74,2020-01-01 18:30:00,93.0,149.0,17.4,58.7,45.4,17.2,3.6
75,2020-01-01 18:45:00,131.0,184.0,20.2,64.0,50.5,15.2,3.7
76,2020-01-01 19:00:00,131.0,184.0,24.2,70.1,56.9,11.5,3.6
77,2020-01-01 19:15:00,131.0,184.0,23.6,62.0,52.2,13.1,3.2
78,2020-01-01 19:30:00,131.0,184.0,24.9,66.2,55.5,11.8,3.0
79,2020-01-01 19:45:00,151.0,228.0,21.4,63.3,51.0,12.4,3.3
80,2020-01-01 20:00:00,151.0,228.0,21.8,62.5,51.0,10.3,3.1
81,2020-01-01 20:15:00,151.0,228.0,20.0,56.1,46.0,13.4,2.5
82,2020-01-01 20:30:00,151.0,228.0,24.0,63.1,53.1,10.3,2.4
83,2020-01-01 20:45:00,162.0,228.0,19.0,55.8,45.1,12.4,3.1
84,2020-01-01 21:00:00,162.0,228.0,14.4,50.9,38.8,13.8,2.7
85,2020-01-01 21:15:00,162.0,228.0,14.2,53.5,40.0,11.2,2.9
86,2020-01-01 21:30:00,162.0,228.0,12.0,52.6,37.8,11.5,2.3
87,2020-01-01 21:45:00,156.0,210.0,9.1,50.2,34.1,13.5,1.8
88,2020-01-01 22:00:00,156.0,210.0,7.5,46.8,31.0,14.7,1.5
89,2020-01-01 22:15:00,156.0,210.0,7.8,45.2,30.4,16.3,1.5
90,2020-01-01 22:30:00,156.0,210.0,6.5,43.3,28.4,19.9,2.3
91,2020-01-01 22:45:00,128.0,182.0,5.9,42.2,27.2,22.2,1.6
92,2020-01-01 23:00:00,128.0,182.0,4.7,40.7,25.4,23.6,1.1
93,2020-01-01 23:15:00,128.0,182.0,4.0,38.3,23.6,25.5,1.2
94,2020-01-01 23:30:00,128.0,182.0,4.8,40.5,25.4,17.8,1.2
95,2020-01-01 23:45:00,102.0,169.0,4.8,42.3,26.4,17.8,
96,2020-01-02 00:00:00,102.0,169.0,3.6,40.4,24.4,20.9,2.8
97,2020-01-02 00:15:00,102.0,169.0,3.4,38.6,23.3,20.8,4.2
98,2020-01-02 00:30:00,102.0,169.0,2.7,36.4,21.6,22.5,4.5
99,2020-01-02 00:45:00,87.0,134.0,1.9,33.3,19.2,26.6,4.7
100,2020-01-02 01:00:00,87.0,134.0,1.5,30.3,17.4,27.6,4.7
101,2020-01-02 01:15:00,87.0,134.0,2.4,32.1,19.1,21.2,4.7
102,2020-01-02 01:30:00,87.0,134.0,2.5,31.0,18.5,25.1,4.3
103,2020-01-02 01:45:00,78.0,117.0,1.8,28.8,16.8,25.4,4.2
104,2020-01-02 02:00:00,78.0,117.0,2.0,28.1,16.5,26.5,3.7
105,2020-01-02 02:15:00,78.0,117.0,1.9,26.2,15.5,29.6,3.7
106,2020-01-02 02:30:00,78.0,117.0,1.5,24.7,14.3,27.6,3.7
107,2020-01-02 02:45:00,72.0,102.0,1.1,23.0,13.2,30.5,3.8
108,2020-01-02 03:00:00,72.0,102.0,1.2,22.0,12.7,31.2,4.6
109,2020-01-02 03:15:00,72.0,102.0,1.1,20.8,12.0,33.1,4.3
110,2020-01-02 03:30:00,72.0,102.0,0.8,20.5,11.5,33.5,3.5
111,2020-01-02 03:45:00,59.0,85.0,1.0,21.2,12.0,31.6,3.7
112,2020-01-02 04:00:00,59.0,85.0,1.1,21.0,12.1,29.6,3.6
113,2020-01-02 04:15:00,59.0,85.0,1.2,20.7,11.9,32.4,3.8
114,2020-01-02 04:30:00,59.0,85.0,1.2,20.2,11.7,32.4,3.3
115,2020-01-02 04:45:00,64.0,89.0,1.6,19.6,11.7,32.5,3.7
116,2020-01-02 05:00:00,64.0,89.0,2.2,20.5,12.7,32.1,4.5
