,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,155.68,229.06,,20.67,13.83,,37.89
1,2020-01-01 00:15:00,148.53,215.01,,20.68,13.63,,37.97
2,2020-01-01 00:30:00,132.56,188.28,,20.61,13.56,,37.97
3,2020-01-01 00:45:00,119.74,172.59,,20.99,14.0,,37.88
4,2020-01-01 01:00:00,105.43,177.98,,19.85,14.9,,31.45
5,2020-01-01 01:15:00,93.91,185.68,,18.55,16.59,,26.48
6,2020-01-01 01:30:00,77.35,187.21,,17.98,17.17,,25.24
7,2020-01-01 01:45:00,58.42,186.56,0.01,17.77,17.62,,25.53
8,2020-01-01 02:00:00,41.99,183.94,0.33,17.36,17.69,,24.64
9,2020-01-01 02:15:00,30.18,180.2,0.36,17.69,18.05,,25.04
10,2020-01-01 02:30:00,31.06,180.61,0.65,17.7,18.35,,25.19
11,2020-01-01 02:45:00,33.78,192.59,1.01,17.41,18.42,,25.0
12,2020-01-01 03:00:00,36.36,218.13,1.12,17.25,18.36,,26.17
13,2020-01-01 03:15:00,48.19,242.92,1.06,17.37,18.42,,26.24
14,2020-01-01 03:30:00,66.47,272.43,1.17,17.36,18.54,,27.21
15,2020-01-01 03:45:00,90.34,293.27,0.68,17.65,18.33,,27.41
16,2020-01-01 04:00:00,101.69,321.84,0.44,17.66,18.1,0.58,28.15
17,2020-01-01 04:15:00,117.21,347.91,0.5,17.46,17.96,1.76,28.93
18,2020-01-01 04:30:00,151.93,359.47,0.58,17.24,17.82,1.47,29.38
19,2020-01-01 04:45:00,177.4,358.47,0.81,17.4,18.21,0.08,29.02
20,2020-01-01 05:00:00,184.91,359.8,0.38,17.9,18.01,,32.14
21,2020-01-01 05:15:00,177.73,348.03,,19.45,15.34,0.02,37.6
22,2020-01-01 05:30:00,186.92,314.01,,20.3,14.15,,38.93
23,2020-01-01 05:45:00,198.37,256.1,,20.27,14.23,0.02,40.54
24,2020-01-01 06:00:00,209.49,242.15,,19.69,14.96,0.11,41.73
25,2020-01-01 06:15:00,220.51,243.43,,19.66,15.09,,40.42
26,2020-01-01 06:30:00,236.8,258.61,,20.05,14.78,,40.69
27,2020-01-01 06:45:00,265.18,309.01,,20.28,14.34,0.82,41.34
28,2020-01-01 07:00:00,283.75,369.68,,20.34,14.33,2.99,42.19
29,2020-01-01 07:15:00,303.7,428.64,,19.91,14.29,4.87,42.8
30,2020-01-01 07:30:00,308.72,436.73,,20.17,14.29,0.32,43.23
31,2020-01-01 07:45:00,284.98,416.34,,20.34,14.27,0.51,45.54
32,2020-01-01 08:00:00,260.29,368.05,,20.21,14.33,0.81,46.03
33,2020-01-01 08:15:00,225.27,346.15,,20.39,13.65,1.03,45.0
34,2020-01-01 08:30:00,229.04,353.41,,20.88,13.96,0.67,47.94
35,2020-01-01 08:45:00,235.85,382.39,,20.76,13.91,0.04,47.2
36,2020-01-01 09:00:00,234.43,400.85,,20.75,13.77,4.79,52.32
37,2020-01-01 09:15:00,246.36,433.9,,19.51,15.68,10.07,49.3
38,2020-01-01 09:30:00,262.99,506.15,,18.51,17.11,12.65,39.2
39,2020-01-01 09:45:00,279.99,571.14,,18.15,17.58,23.02,35.44
40,2020-01-01 10:00:00,296.06,604.26,0.04,17.81,17.71,33.51,31.51
41,2020-01-01 10:15:00,265.05,544.52,0.31,17.59,17.91,50.07,26.25
42,2020-01-01 10:30:00,231.83,497.92,0.41,17.6,18.01,52.33,25.93
43,2020-01-01 10:45:00,157.7,394.03,0.59,17.46,18.05,60.56,25.82
44,2020-01-01 11:00:00,102.1,303.54,0.47,17.79,18.26,66.56,25.32
45,2020-01-01 11:15:00,64.61,242.38,0.65,17.64,18.29,64.7,24.13
46,2020-01-01 11:30:00,53.27,202.68,0.82,17.52,18.34,68.76,23.37
47,2020-01-01 11:45:00,50.2,185.41,0.7,17.59,18.29,76.41,23.37
48,2020-01-01 12:00:00,50.96,181.41,0.52,17.63,18.15,80.94,23.49
49,2020-01-01 12:15:00,58.62,185.08,0.47,17.58,18.06,79.08,25.07
50,2020-01-01 12:30:00,66.19,226.58,0.47,17.68,18.14,81.61,25.86
51,2020-01-01 12:45:00,85.37,252.35,0.4,17.31,17.72,89.29,23.12
52,2020-01-01 13:00:00,97.67,188.85,0.33,17.37,17.7,86.69,23.88
53,2020-01-01 13:15:00,96.94,150.47,0.09,17.58,17.44,84.94,27.57
54,2020-01-01 13:30:00,,,,19.38,15.17,87.81,35.36
55,2020-01-01 13:45:00,,,,20.51,13.48,82.81,37.53
56,2020-01-01 14:00:00,,,,21.23,13.18,81.05,37.6
57,2020-01-01 14:15:00,,,,21.48,12.84,81.78,38.27
58,2020-01-01 14:30:00,,,,21.43,12.39,85.05,38.28
59,2020-01-01 14:45:00,,,,21.38,12.39,83.26,38.26
60,2020-01-01 15:00:00,140.04,156.09,,21.55,12.69,83.17,37.73
61,2020-01-01 15:15:00,,,,21.34,12.88,81.86,38.02
62,2020-01-01 15:30:00,,,,21.16,12.93,82.59,37.11
63,2020-01-01 15:45:00,,,,21.24,13.07,81.67,37.57
64,2020-01-01 16:00:00,,,,21.21,13.1,79.56,36.24
65,2020-01-01 16:15:00,,,,21.19,13.23,55.55,37.17
66,2020-01-01 16:30:00,,,,20.86,13.02,36.96,36.47
67,2020-01-01 16:45:00,90.74,116.49,,21.3,12.99,30.02,37.69
68,2020-01-01 17:00:00,85.08,128.9,,21.28,12.73,27.63,37.83
69,2020-01-01 17:15:00,92.89,135.94,,21.17,12.81,17.27,36.65
70,2020-01-01 17:30:00,103.11,168.55,,20.09,15.09,11.95,29.44
71,2020-01-01 17:45:00,112.53,227.09,,18.37,16.96,3.71,25.06
