,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
0,2020-01-01 00:00:00,600.7,,32.61,28.6,41.3,,62.34
1,2020-01-01 00:15:00,588.9,,30.35,27.99,39.17,,62.85
2,2020-01-01 00:30:00,588.9,,29.62,27.8,38.48,,64.25
3,2020-01-01 00:45:00,588.9,,29.67,27.81,38.53,,64.94
4,2020-01-01 01:00:00,467.1,,29.8,27.84,38.65,,68.66
5,2020-01-01 01:15:00,446.6,,30.42,28.01,39.24,,73.42
6,2020-01-01 01:30:00,446.6,,32.27,28.51,40.98,,77.59
7,2020-01-01 01:45:00,446.6,,33.0,28.71,41.67,,79.57
8,2020-01-01 02:00:00,684.4,,34.04,28.99,42.65,,85.07
9,2020-01-01 02:15:00,724.5,,35.77,29.46,44.29,,89.58
10,2020-01-01 02:30:00,724.5,,36.02,29.52,44.52,,93.16
11,2020-01-01 02:45:00,724.5,,34.34,29.07,42.93,,94.96
12,2020-01-01 03:00:00,742.6,,32.03,28.45,40.75,,93.56
13,2020-01-01 03:15:00,745.6,,29.99,27.9,38.83,,96.35
14,2020-01-01 03:30:00,745.6,,27.95,27.34,36.91,,91.72
15,2020-01-01 03:45:00,745.6,,28.0,27.36,36.95,,93.39
16,2020-01-01 04:00:00,590.1,,28.06,27.37,37.01,,94.2
17,2020-01-01 04:15:00,563.8,,27.92,27.34,36.88,,97.07
18,2020-01-01 04:30:00,563.8,,27.56,27.24,36.53,,98.81
19,2020-01-01 04:45:00,563.8,,27.5,27.22,36.48,,98.3
20,2020-01-01 05:00:00,465.9,,27.37,27.19,36.35,,97.93
21,2020-01-01 05:15:00,449.4,,26.56,26.97,35.59,,94.62
22,2020-01-01 05:30:00,449.4,,25.74,26.75,34.82,,92.17
23,2020-01-01 05:45:00,449.4,,25.92,26.8,34.99,,85.39
24,2020-01-01 06:00:00,375.7,,26.74,27.02,35.77,,80.73
25,2020-01-01 06:15:00,363.3,,27.15,27.13,36.15,,76.01
26,2020-01-01 06:30:00,363.3,,27.21,27.15,36.21,,71.52
27,2020-01-01 06:45:00,363.3,,27.1,27.12,36.11,,67.1
28,2020-01-01 07:00:00,342.8,,26.78,27.03,35.8,,62.41
29,2020-01-01 07:15:00,339.4,,26.46,26.94,35.5,,60.37
30,2020-01-01 07:30:00,339.4,,27.62,27.25,36.59,,58.35
31,2020-01-01 07:45:00,339.4,,28.28,27.43,37.21,,59.2
32,2020-01-01 08:00:00,476.2,,29.39,27.73,38.27,,56.02
33,2020-01-01 08:15:00,499.3,,28.75,27.56,37.66,,60.37
34,2020-01-01 08:30:00,499.3,,27.45,27.21,36.43,,60.08
35,2020-01-01 08:45:00,499.3,,25.53,26.69,34.63,,58.33
36,2020-01-01 09:00:00,491.6,,23.92,26.27,33.11,,58.02
37,2020-01-01 09:15:00,490.3,,23.03,26.16,32.34,,58.97
38,2020-01-01 09:30:00,490.3,,22.7,26.18,32.08,,60.86
39,2020-01-01 09:45:00,490.3,,22.45,26.29,31.94,,59.64
40,2020-01-01 10:00:00,367.1,,22.33,26.26,31.83,,59.36
41,2020-01-01 10:15:00,346.3,,22.24,26.28,31.77,,58.43
42,2020-01-01 10:30:00,346.3,,21.95,26.22,31.51,,
43,2020-01-01 10:45:00,346.3,,21.12,25.98,30.72,,2.13
44,2020-01-01 11:00:00,235.9,,21.74,26.21,31.33,,
45,2020-01-01 11:15:00,217.2,,21.52,26.18,31.14,,
46,2020-01-01 11:30:00,217.2,,21.46,26.16,31.08,,6.54
47,2020-01-01 11:45:00,217.2,,21.75,26.18,31.33,,4.82
48,2020-01-01 12:00:00,137.5,,21.15,25.94,30.72,,1.2
49,2020-01-01 12:15:00,124.1,,21.12,26.02,30.74,,
50,2020-01-01 12:30:00,124.1,,21.57,26.04,31.1,,
51,2020-01-01 12:45:00,124.1,,21.62,26.11,31.18,,7.26
52,2020-01-01 13:00:00,105.7,,21.94,26.2,31.48,,3.84
53,2020-01-01 13:15:00,102.6,,21.99,26.25,31.56,,
54,2020-01-01 13:30:00,102.6,,21.95,26.28,31.54,,
55,2020-01-01 13:45:00,102.6,,22.47,26.34,31.99,,
56,2020-01-01 14:00:00,104.0,,22.36,26.4,31.93,,
57,2020-01-01 14:15:00,104.3,,22.27,26.39,31.85,,
58,2020-01-01 14:30:00,104.3,,21.32,26.01,30.89,,
59,2020-01-01 14:45:00,104.3,,21.31,26.06,30.91,,
60,2020-01-01 15:00:00,115.8,,22.26,26.28,31.78,,
61,2020-01-01 15:15:00,117.7,,21.67,26.09,31.22,,
62,2020-01-01 15:30:00,117.7,,21.62,26.18,31.23,,
63,2020-01-01 15:45:00,117.7,,21.9,26.27,31.49,,6.43
64,2020-01-01 16:00:00,136.8,,21.55,26.15,31.15,,2.31
65,2020-01-01 16:15:00,140.0,,21.94,26.31,31.55,,0.54
66,2020-01-01 16:30:00,140.0,,21.96,26.2,31.51,,0.01
67,2020-01-01 16:45:00,140.0,,21.7,26.16,31.28,,
68,2020-01-01 17:00:00,173.5,,22.26,26.42,31.86,,
69,2020-01-01 17:15:00,179.2,,21.94,26.34,31.57,,
70,2020-01-01 17:30:00,179.2,,21.62,26.18,31.22,,
71,2020-01-01 17:45:00,179.2,,22.32,26.35,31.87,,
72,2020-01-01 18:00:00,220.2,,22.58,26.36,32.08,,
73,2020-01-01 18:15:00,227.2,,21.71,25.84,31.11,,
74,2020-01-01 18:30:00,227.2,,22.82,26.09,32.14,,
75,2020-01-01 18:45:00,227.2,,24.35,26.41,33.52,,8.97
76,2020-01-01 19:00:00,302.0,,25.75,26.75,34.83,,10.52
77,2020-01-01 19:15:00,314.7,,25.46,26.67,34.56,,11.16
78,2020-01-01 19:30:00,314.7,,26.31,26.9,35.36,,9.9
79,2020-01-01 19:45:00,314.7,,28.07,27.38,37.01,,12.22
80,2020-01-01 20:00:00,523.0,,29.06,27.65,37.96,,20.15
81,2020-01-01 20:15:00,558.2,,29.01,27.63,37.9,,26.42
82,2020-01-01 20:30:00,558.2,,28.29,27.44,37.23,,32.96
83,2020-01-01 20:45:00,558.2,,28.49,27.49,37.41,,37.68
84,2020-01-01 21:00:00,616.9,,28.39,27.46,37.32,,46.56
85,2020-01-01 21:15:00,626.9,,29.55,27.78,38.41,,53.07
86,2020-01-01 21:30:00,626.9,,29.73,27.82,38.58,,62.89
87,2020-01-01 21:45:00,626.9,,28.38,27.46,37.31,,71.09
88,2020-01-01 22:00:00,576.0,,28.88,27.6,37.78,,80.02
89,2020-01-01 22:15:00,567.4,,27.34,27.18,36.33,,81.18
90,2020-01-01 22:30:00,567.4,,27.66,27.27,36.63,,80.2
91,2020-01-01 22:45:00,567.4,,27.63,27.26,36.6,,86.02
92,2020-01-01 23:00:00,502.6,,27.13,27.12,36.13,,94.44
93,2020-01-01 23:15:00,491.6,,26.54,26.96,35.57,,101.91
94,2020-01-01 23:30:00,491.6,,27.03,27.1,36.04,,105.73
95,2020-01-01 23:45:00,,,,,,,
96,2020-01-02 00:00:00,365.3,,26.86,27.05,35.87,,115.52
97,2020-01-02 00:15:00,344.0,,26.66,27.0,35.69,,120.86
98,2020-01-02 00:30:00,344.0,,27.0,27.09,36.01,,128.73
99,2020-01-02 00:45:00,344.0,,26.12,26.85,35.18,,127.99
100,2020-01-02 01:00:00,289.0,,26.37,26.92,35.41,,125.17
101,2020-01-02 01:15:00,279.7,,27.79,27.3,36.76,,128.06
102,2020-01-02 01:30:00,279.7,,27.85,27.32,36.81,,131.58
103,2020-01-02 01:45:00,279.7,,27.02,27.09,36.02,,134.38
104,2020-01-02 02:00:00,414.2,,26.18,26.87,35.24,,137.24
105,2020-01-02 02:15:00,434.9,,25.61,26.71,34.7,,139.06
106,2020-01-02 02:30:00,434.9,,25.71,26.74,34.79,,141.3
