,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
96,2020-01-01 00:00:00,,41.73,136.48,33.55,170.05,,185.82
97,2020-01-01 00:15:00,,40.0,118.95,34.83,153.81,,135.28
98,2020-01-01 00:30:00,,40.0,78.42,28.32,106.76,,87.94
99,2020-01-01 00:45:00,,40.0,78.65,27.34,105.99,,93.37
100,2020-01-01 01:00:00,,51.12,82.73,26.34,109.07,,102.57
101,2020-01-01 01:15:00,,53.0,126.34,40.15,166.5,,191.59
102,2020-01-01 01:30:00,,53.0,193.59,29.83,223.44,,
103,2020-01-01 01:45:00,,53.0,208.63,32.42,241.07,,
104,2020-01-01 02:00:00,,,224.97,35.27,260.25,,
105,2020-01-01 02:15:00,,,198.98,36.2,234.67,,
106,2020-01-01 02:30:00,,,34.73,20.31,54.99,,74.52
107,2020-01-01 02:45:00,,,32.09,18.69,50.77,,45.49
108,2020-01-01 03:00:00,,,32.26,20.69,52.96,,35.09
109,2020-01-01 03:15:00,,,32.51,22.26,54.77,31.0,32.36
110,2020-01-01 03:30:00,,,32.44,18.47,50.9,26.51,23.26
111,2020-01-01 03:45:00,,,30.98,11.63,42.6,8.44,25.69
112,2020-01-01 04:00:00,,35.0,31.12,11.18,42.29,6.73,19.76
113,2020-01-01 04:15:00,,35.0,33.49,11.55,45.04,6.98,19.82
114,2020-01-01 04:30:00,,35.0,34.72,10.52,45.25,6.45,18.38
115,2020-01-01 04:45:00,,35.0,35.13,9.42,44.54,6.13,21.71
116,2020-01-01 05:00:00,,38.42,35.71,8.27,43.99,6.74,21.94
117,2020-01-01 05:15:00,,39.0,36.39,7.42,43.82,6.58,22.84
118,2020-01-01 05:30:00,,39.0,36.22,8.44,44.67,6.5,21.69
119,2020-01-01 05:45:00,,39.0,35.81,9.57,45.37,6.17,21.26
120,2020-01-01 06:00:00,,30.56,35.78,10.64,46.43,6.4,20.57
121,2020-01-01 06:15:00,,29.0,,,,,
122,2020-01-01 06:30:00,,29.0,36.2,12.11,48.32,,20.35
123,2020-01-01 06:45:00,,29.0,36.53,11.5,48.03,5.92,19.73
124,2020-01-01 07:00:00,,46.11,37.13,11.88,49.01,6.36,19.42
125,2020-01-01 07:15:00,,49.0,36.79,13.49,50.29,6.49,19.23
126,2020-01-01 07:30:00,,49.0,35.5,14.78,50.28,6.35,19.51
127,2020-01-01 07:45:00,,49.0,36.76,16.75,53.51,6.39,20.32
128,2020-01-01 08:00:00,,50.71,33.99,12.99,46.97,6.62,19.96
129,2020-01-01 08:15:00,,51.0,33.07,11.62,44.67,6.52,20.19
130,2020-01-01 08:30:00,,51.0,32.57,11.86,44.42,6.32,20.08
131,2020-01-01 08:45:00,,51.0,33.26,16.34,49.6,6.45,20.31
132,2020-01-01 09:00:00,,54.42,34.0,19.26,53.26,6.04,20.47
133,2020-01-01 09:15:00,,55.0,31.93,15.59,47.53,6.47,21.25
134,2020-01-01 09:30:00,,55.0,35.26,20.45,55.73,6.34,24.23
135,2020-01-01 09:45:00,,55.0,37.41,24.4,61.81,6.13,31.8
136,2020-01-01 10:00:00,,49.87,32.64,23.73,56.34,6.56,28.76
137,2020-01-01 10:15:00,,49.0,29.38,19.88,49.27,6.54,27.09
138,2020-01-01 10:30:00,,49.0,33.33,24.69,58.01,6.14,29.29
139,2020-01-01 10:45:00,,49.0,33.68,18.91,52.6,6.51,36.4
140,2020-01-01 11:00:00,,45.58,,,,,
141,2020-01-01 11:15:00,,45.0,,,,,39.77
142,2020-01-01 11:30:00,,45.0,39.05,15.57,54.63,6.46,47.7
143,2020-01-01 11:45:00,,45.0,40.35,19.29,59.65,6.2,48.54
144,2020-01-01 12:00:00,,45.0,41.25,21.39,62.64,6.55,60.39
145,2020-01-01 12:15:00,,45.0,41.28,26.15,67.41,6.26,56.17
146,2020-01-01 12:30:00,,45.0,39.7,26.98,66.67,6.21,62.21
147,2020-01-01 12:45:00,,45.0,41.37,31.28,72.63,6.2,62.51
148,2020-01-01 13:00:00,,62.33,35.22,22.24,57.42,6.29,67.06
149,2020-01-01 13:15:00,,65.0,35.12,28.86,63.97,6.42,84.18
150,2020-01-01 13:30:00,,65.0,32.47,25.02,57.47,6.29,64.83
151,2020-01-01 13:45:00,,65.0,30.64,21.0,51.64,6.02,59.9
152,2020-01-01 14:00:00,,53.88,30.95,23.85,54.8,6.52,62.13
153,2020-01-01 14:15:00,,52.0,32.14,28.34,60.48,6.24,64.37
154,2020-01-01 14:30:00,,52.0,32.55,27.03,59.58,5.99,74.91
155,2020-01-01 14:45:00,,52.0,33.58,26.4,59.99,5.96,84.5
156,2020-01-01 15:00:00,,60.56,37.59,27.02,64.62,6.15,102.83
157,2020-01-01 15:15:00,,62.0,39.44,24.41,63.83,,87.96
158,2020-01-01 15:30:00,,62.0,42.51,22.08,64.6,,87.51
159,2020-01-01 15:45:00,,62.0,,,,,
160,2020-01-01 16:00:00,,59.43,,,,,153.94
161,2020-01-01 16:15:00,,59.0,108.31,29.43,137.8,,180.64
162,2020-01-01 16:30:00,,59.0,134.06,31.4,165.48,,193.75
163,2020-01-01 16:45:00,,59.0,151.63,34.53,186.18,,198.32
164,2020-01-01 17:00:00,,52.16,92.32,39.21,131.51,,114.2
165,2020-01-01 17:15:00,,51.0,88.86,33.79,122.67,,109.52
166,2020-01-01 17:30:00,,51.0,89.19,31.04,120.24,,112.75
167,2020-01-01 17:45:00,,51.0,89.61,32.95,122.54,,172.89
168,2020-01-01 18:00:00,,47.53,81.32,33.05,114.4,,
169,2020-01-01 18:15:00,,47.0,77.96,28.96,106.91,,70.1
170,2020-01-01 18:30:00,,47.0,46.05,23.97,69.99,,35.33
171,2020-01-01 18:45:00,,47.0,40.55,25.93,66.48,11.34,31.75
172,2020-01-01 19:00:00,,44.43,44.09,24.28,68.36,9.78,24.41
173,2020-01-01 19:15:00,,44.0,38.08,19.54,57.61,6.88,29.97
174,2020-01-01 19:30:00,,44.0,34.48,17.51,51.99,6.41,24.71
175,2020-01-01 19:45:00,,44.0,35.04,16.36,51.4,6.92,24.21
176,2020-01-01 20:00:00,,21.76,34.33,9.87,44.21,6.78,21.53
177,2020-01-01 20:15:00,,18.0,35.16,7.99,43.16,6.49,22.86
178,2020-01-01 20:30:00,,18.0,,,,,
179,2020-01-01 20:45:00,,18.0,34.37,11.5,45.87,,23.86
180,2020-01-01 21:00:00,,14.58,34.13,10.93,45.07,5.94,22.78
181,2020-01-01 21:15:00,,14.0,34.21,9.77,43.98,6.48,22.63
182,2020-01-01 21:30:00,,14.0,34.82,8.14,42.95,6.48,21.83
183,2020-01-01 21:45:00,,14.0,35.03,8.67,43.68,6.19,22.32
184,2020-01-01 22:00:00,,11.43,34.97,8.81,43.79,5.45,21.31
185,2020-01-01 22:15:00,,11.0,34.25,10.4,44.65,6.08,21.06
186,2020-01-01 22:30:00,,11.0,34.19,8.82,43.02,6.36,20.24
187,2020-01-01 22:45:00,,11.0,33.75,8.28,42.03,6.56,20.35
188,2020-01-01 23:00:00,,8.47,33.35,8.8,42.14,6.2,19.74
189,2020-01-01 23:15:00,,8.0,32.91,8.82,41.72,6.15,19.98
190,2020-01-01 23:30:00,,8.0,32.09,8.84,40.95,6.6,19.82
191,2020-01-01 23:45:00,,8.0,31.95,8.71,40.67,6.59,20.19
192,2020-01-02 00:00:00,,13.99,31.6,8.1,39.7,5.96,19.72
193,2020-01-02 00:15:00,,15.0,31.1,8.7,39.82,6.08,19.83
194,2020-01-02 00:30:00,,15.0,30.81,7.79,38.61,6.55,19.81
195,2020-01-02 00:45:00,,15.0,29.97,8.57,38.52,6.72,19.58
196,2020-01-02 01:00:00,,13.29,,,,,
197,2020-01-02 01:15:00,,13.0,,,,,
198,2020-01-02 01:30:00,,13.0,27.32,9.87,37.18,6.45,18.93
199,2020-01-02 01:45:00,,13.0,27.53,9.47,36.99,6.29,18.89
200,2020-01-02 02:00:00,,23.13,27.33,9.62,36.94,6.22,18.91
201,2020-01-02 02:15:00,,25.0,27.15,8.47,35.62,6.23,18.86
202,2020-01-02 02:30:00,,25.0,26.88,8.87,35.74,6.32,18.67
203,2020-01-02 02:45:00,,25.0,26.56,9.02,35.59,6.62,19.06
204,2020-01-02 03:00:00,,21.58,26.67,8.28,34.94,6.2,18.54
205,2020-01-02 03:15:00,,21.0,26.95,7.73,34.68,6.36,18.5
206,2020-01-02 03:30:00,,21.0,32.18,8.64,40.84,6.44,17.29
207,2020-01-02 03:45:00,,21.0,37.29,6.85,44.14,6.31,17.11
208,2020-01-02 04:00:00,,20.14,35.29,4.17,39.47,6.05,16.21
209,2020-01-02 04:15:00,,20.0,34.05,3.92,37.98,6.13,15.65
210,2020-01-02 04:30:00,,20.0,33.78,4.1,37.88,6.33,15.73
211,2020-01-02 04:45:00,,20.0,32.74,3.25,35.98,6.32,16.36
212,2020-01-02 05:00:00,,21.71,31.49,4.85,36.36,6.46,16.08
213,2020-01-02 05:15:00,,22.0,30.66,4.33,35.0,6.35,16.12
214,2020-01-02 05:30:00,,22.0,30.87,2.58,33.46,6.45,15.8
215,2020-01-02 05:45:00,,22.0,,,,,
216,2020-01-02 06:00:00,,17.72,,,,,16.25
217,2020-01-02 06:15:00,,17.0,31.11,3.19,34.32,6.05,16.61
218,2020-01-02 06:30:00,,17.0,31.61,3.36,34.97,6.53,16.31
219,2020-01-02 06:45:00,,17.0,32.05,5.57,37.63,6.49,16.52
220,2020-01-02 07:00:00,,27.13,32.8,10.25,43.05,6.39,16.62
221,2020-01-02 07:15:00,,29.0,32.1,9.85,41.95,6.48,15.95
222,2020-01-02 07:30:00,,29.0,32.2,9.0,41.22,6.92,16.47
223,2020-01-02 07:45:00,,29.0,30.95,7.56,38.49,6.59,16.86
224,2020-01-02 08:00:00,,29.0,29.89,5.6,35.49,6.13,16.96
225,2020-01-02 08:15:00,,29.0,29.02,7.46,36.49,6.41,17.32
226,2020-01-02 08:30:00,,29.0,27.98,4.55,32.53,6.46,18.19
227,2020-01-02 08:45:00,,29.0,27.47,3.67,31.13,6.17,21.18
228,2020-01-02 09:00:00,,53.81,27.64,2.58,30.22,6.37,23.22
229,2020-01-02 09:15:00,,58.0,27.81,1.97,29.75,6.47,21.82
230,2020-01-02 09:30:00,,58.0,28.88,3.36,32.22,6.14,21.29
231,2020-01-02 09:45:00,,58.0,29.89,4.05,33.95,6.88,20.36
232,2020-01-02 10:00:00,,30.62,29.15,3.73,32.88,6.27,19.92
233,2020-01-02 10:15:00,,26.0,28.28,4.45,32.75,5.92,19.52
234,2020-01-02 10:30:00,,26.0,,,,,
235,2020-01-02 10:45:00,,26.0,28.59,5.44,34.02,,18.92
236,2020-01-02 11:00:00,,18.4,27.99,5.96,33.94,6.65,19.35
237,2020-01-02 11:15:00,,17.0,26.98,5.15,32.13,6.64,19.06
238,2020-01-02 11:30:00,,17.0,26.11,5.55,31.65,6.05,19.85
239,2020-01-02 11:45:00,,17.0,26.53,4.24,30.79,5.91,20.15
240,2020-01-02 12:00:00,,22.07,27.64,5.57,33.21,6.28,20.91
241,2020-01-02 12:15:00,,23.0,25.3,8.21,33.51,6.19,20.64
242,2020-01-02 12:30:00,,23.0,24.31,10.14,34.44,6.27,20.5
243,2020-01-02 12:45:00,,23.0,23.02,9.42,32.43,6.29,20.58
244,2020-01-02 13:00:00,,16.16,21.35,9.2,30.54,6.58,20.22
245,2020-01-02 13:15:00,,15.0,19.51,9.94,29.45,6.46,20.62
246,2020-01-02 13:30:00,,15.0,18.87,9.61,28.49,6.19,20.32
247,2020-01-02 13:45:00,,15.0,,,,,
248,2020-01-02 14:00:00,,15.0,,,,,
249,2020-01-02 14:15:00,,15.0,16.84,7.96,24.81,,21.12
250,2020-01-02 14:30:00,,15.0,14.46,8.6,23.04,6.38,20.89
251,2020-01-02 14:45:00,,15.0,13.19,9.71,22.89,6.25,19.45
252,2020-01-02 15:00:00,,19.28,13.54,8.91,22.45,6.43,18.49
253,2020-01-02 15:15:00,,20.0,13.57,9.77,23.33,6.31,24.63
254,2020-01-02 15:30:00,,20.0,12.95,13.41,26.34,6.41,26.25
255,2020-01-02 15:45:00,,20.0,13.16,12.56,25.74,6.04,25.04
256,2020-01-02 16:00:00,,29.41,17.12,22.18,39.29,6.51,34.17
257,2020-01-02 16:15:00,,31.0,12.33,12.86,25.18,6.53,23.12
258,2020-01-02 16:30:00,,31.0,10.29,9.31,19.6,5.78,20.22
259,2020-01-02 16:45:00,,31.0,9.82,9.12,18.94,6.18,19.22
260,2020-01-02 17:00:00,,35.22,9.8,8.56,18.37,6.52,18.63
261,2020-01-02 17:15:00,,36.0,9.53,8.4,17.94,6.39,18.74
262,2020-01-02 17:30:00,,36.0,,,,,
263,2020-01-02 17:45:00,,36.0,,,,,18.64
264,2020-01-02 18:00:00,,30.09,10.04,10.18,20.21,6.08,18.18
265,2020-01-02 18:15:00,,29.0,10.93,15.14,26.08,6.29,18.25
266,2020-01-02 18:30:00,,29.0,10.95,15.74,26.68,6.24,18.55
267,2020-01-02 18:45:00,,29.0,10.84,15.13,25.97,6.27,18.31
268,2020-01-02 19:00:00,,37.56,10.86,19.22,30.07,6.75,17.72
269,2020-01-02 19:15:00,,39.0,11.79,21.54,33.32,6.25,17.57
270,2020-01-02 19:30:00,,39.0,11.98,21.28,33.27,6.06,17.63
271,2020-01-02 19:45:00,,39.0,11.62,19.22,30.84,5.98,17.46
272,2020-01-02 20:00:00,,45.84,11.13,15.29,26.43,6.53,17.62
273,2020-01-02 20:15:00,,47.0,13.01,15.43,28.44,6.41,17.09
274,2020-01-02 20:30:00,,47.0,15.83,13.22,29.04,5.99,16.57
275,2020-01-02 20:45:00,,47.0,16.22,11.07,27.29,6.24,16.21
276,2020-01-02 21:00:00,,41.01,15.79,12.67,28.49,6.42,16.19
277,2020-01-02 21:15:00,,40.0,,,,,
278,2020-01-02 21:30:00,,40.0,14.48,10.92,25.4,,16.16
279,2020-01-02 21:45:00,,40.0,14.93,9.31,24.23,6.03,16.68
280,2020-01-02 22:00:00,,33.16,15.03,8.6,23.64,6.73,16.6
281,2020-01-02 22:15:00,,32.0,14.11,8.34,22.46,6.48,16.5
282,2020-01-02 22:30:00,,32.0,14.37,6.75,21.13,6.32,16.41
283,2020-01-02 22:45:00,,32.0,14.89,6.33,21.22,6.28,16.62
284,2020-01-02 23:00:00,,28.62,14.59,7.08,21.65,6.18,16.71
