dates,PM25,PM10,NO,NOx,NO2,Ozone
01-01-2020 00:15,189.1,370.9,295.1,343.9,48.87,2.51
01-01-2020 00:30,190.9,369.7,276.4,332.5,56.08,2.3
01-01-2020 00:45,194.8,367,322.8,371.6,48.82,2.47
01-01-2020 01:00,194.8,367,319.6,371.3,51.72,2.63
01-01-2020 01:15,194.8,367,279.7,333.2,53.47,2.66
01-01-2020 01:30,192.8,365.1,288.3,335.7,47.38,2.48
01-01-2020 01:45,188.4,360.9,191,247,56.1,2.08
01-01-2020 02:00,188.4,360.9,150.8,214.7,63.95,2.32
01-01-2020 02:15,None,None,142,204.4,62.41,None
01-01-2020 02:30,190.9,361.6,186.1,245.9,59.77,2.49
01-01-2020 02:45,196.2,363,189.2,246.7,57.47,2.1
01-01-2020 03:00,196.2,363,231.6,276.9,45.31,1.87
01-01-2020 03:15,None,None,172.8,None,53.87,None
01-01-2020 03:30,194.3,361.1,198.1,244,45.91,1.99
01-01-2020 03:45,190.5,356.6,179.9,223.1,43.12,2.15
01-01-2020 04:00,190.5,356.6,100.1,152.5,52.39,1.71
01-01-2020 04:15,190.5,356.6,61.1,115.7,54.6,1.66
01-01-2020 04:30,184.3,339,34.1,95.2,61.09,1.89
01-01-2020 04:45,None,None,24.1,84.8,60.7,1.65
01-01-2020 05:00,171.5,299.9,16.1,78.9,62.82,1.92
01-01-2020 05:15,171.5,299.9,20.8,81.2,60.41,2.2
01-01-2020 05:30,163.6,290.6,26.6,82.6,55.97,1.82
01-01-2020 05:45,147,269.8,37.1,92.6,55.51,1.62
01-01-2020 06:00,None,None,47.8,None,None,None
01-01-2020 06:15,None,269.8,49.1,101.1,52.04,1.86
01-01-2020 06:30,None,None,None,None,None,None
01-01-2020 06:45,128.2,221.6,53.9,95.7,41.84,1.66
01-01-2020 07:00,128.2,221.6,52.6,93.6,40.97,1.7
01-01-2020 07:15,128.2,221.6,45.2,86.2,41.06,2.23
01-01-2020 07:30,126,218.3,41.8,86.4,44.51,2.73
01-01-2020 07:45,121.4,211.1,41,92,51.03,3.27
01-01-2020 08:00,121.4,211.1,36.9,96.5,59.57,3.4
01-01-2020 08:15,121.4,211.1,32.1,96.7,64.61,4.96
01-01-2020 08:30,123.6,215,34.1,105.9,71.83,4.88
01-01-2020 08:45,None,223.8,35.9,118.4,82.49,7.07
01-01-2020 09:00,128.4,223.8,34.2,123.7,89.51,7.52
01-01-2020 09:15,128.4,223.8,22.6,118,95.42,9.97
01-01-2020 09:30,131.6,230.9,13.1,101.3,88.23,18.92
01-01-2020 09:45,138.3,246.8,10.1,82,71.88,29.72
01-01-2020 10:00,138.3,246.8,7,56.3,49.38,57.46
01-01-2020 10:15,138.3,246.8,4.9,40.3,35.4,64.95
01-01-2020 10:30,132.9,245.4,4.9,44.2,39.24,55.76
01-01-2020 10:45,121.6,242.2,4.9,47.7,42.76,69.5
01-01-2020 11:00,121.6,242.2,4.3,36.3,31.97,89.52
01-01-2020 11:15,121.6,242.2,4.7,41.9,37.22,97.22
01-01-2020 11:30,115.9,240.4,3.5,36.2,32.68,104.85
01-01-2020 11:45,103.9,236.4,2.9,27,24.17,111.32
01-01-2020 12:00,103.9,236.4,3,26.8,23.84,112.42
01-01-2020 12:15,103.9,236.4,2.6,22.9,20.3,115.06
01-01-2020 12:30,102,223.8,3.4,23.8,20.45,118.68
01-01-2020 12:45,98.1,195.8,3.2,24.9,21.66,113.14
01-01-2020 13:00,98.1,195.8,2.7,21.1,18.41,118.12
01-01-2020 13:15,98.1,195.8,2.8,19.4,16.63,121.62
01-01-2020 13:30,92.7,193.9,2,21.5,19.52,120.76
01-01-2020 13:45,81.2,189.7,2,23.7,21.73,124.4
01-01-2020 14:00,81.2,189.7,2,22.6,20.56,124.01
01-01-2020 14:15,81.2,189.7,2.1,22.2,20.08,125.36
01-01-2020 14:30,82.1,186.2,2,22.8,20.83,124.25
01-01-2020 14:45,83.9,178.4,1.7,20.9,19.17,121.49
01-01-2020 15:00,None,None,None,None,None,None
01-01-2020 15:15,83.9,178.4,1.9,23.8,21.96,117.7
01-01-2020 15:30,80.8,178.3,1.8,27.3,25.47,110.58
01-01-2020 15:45,74.3,178.2,1.8,29.8,28,101.33
01-01-2020 16:00,74.3,178.2,2.2,39.9,37.69,84.55
01-01-2020 16:15,74.3,178.2,2.5,49.3,46.78,77.56
01-01-2020 16:30,None,None,2.4,None,None,None
01-01-2020 16:45,80.5,188.5,3.4,67.4,64,39.12
01-01-2020 17:00,None,None,10.2,100.2,89.9,None
01-01-2020 17:15,80.5,188.5,12.5,121.2,108.78,4.79
01-01-2020 17:30,None,None,18.4,None,None,None
01-01-2020 17:45,87.9,223.7,7.3,120.2,112.92,5.27
01-01-2020 18:00,None,None,7,117.6,110.66,None
01-01-2020 18:15,87.9,223.7,13.3,124,110.68,6.74
01-01-2020 18:30,90.3,228.1,34.5,155.5,121,4.47
01-01-2020 18:45,95.3,237.7,32.7,149.9,117.22,4.02
01-01-2020 19:00,95.3,237.7,28.4,141.3,112.92,3.88
01-01-2020 19:15,95.3,237.7,71.6,183.3,111.71,4.13
01-01-2020 19:30,101.3,245.3,195.5,293.1,97.57,3.68
01-01-2020 19:45,113.8,262.1,200.3,302.6,102.21,3.24
01-01-2020 20:00,113.8,262.1,258.3,363.9,105.66,3.51
01-01-2020 20:15,113.8,262.1,288,386.7,98.71,3.64
01-01-2020 20:30,126.8,279.9,270.1,364.8,94.7,3.17
01-01-2020 20:45,154,317.2,175,276.8,101.8,3
01-01-2020 21:00,154,317.2,160,265.1,105.07,3.72
01-01-2020 21:15,154,317.2,186.6,281.6,94.96,3.64
01-01-2020 21:30,157.4,329.3,136.5,240.7,104.25,3.16
01-01-2020 21:45,164.5,356.3,119.8,221.9,102.09,3.44
01-01-2020 22:00,None,356.3,179.1,266.2,87.11,3.1
01-01-2020 22:15,164.5,356.3,207.8,281.1,73.25,2.85
01-01-2020 22:30,169.3,365.1,169.5,254.7,85.17,2.78
01-01-2020 22:45,179.4,384.4,131.3,220.2,88.85,3.22
01-01-2020 23:00,179.4,384.4,87.4,172.1,84.73,3.23
01-01-2020 23:15,179.4,384.4,54.7,136.9,82.22,2.68
01-01-2020 23:30,181.1,375.1,44.8,126.3,81.47,2.94
01-01-2020 23:45,None,None,None,None,None,None
02-01-2020 00:00,None,None,None,None,None,None
02-01-2020 00:15,184.5,354.5,28.6,93.3,64.67,2.39
02-01-2020 00:30,183.2,332.9,24,83.1,59,2.59
02-01-2020 00:45,180.4,285.1,23.4,79.9,56.49,2.3
02-01-2020 01:00,180.4,285.1,19.4,74.1,54.73,2.24
02-01-2020 01:15,180.4,None,None,None,None,None
02-01-2020 01:30,173.5,277.8,20.4,67.7,47.22,2.41
02-01-2020 01:45,158.9,261.7,21.5,67.9,46.42,2.12
02-01-2020 02:00,158.9,261.7,18.8,65,46.27,2.11
02-01-2020 02:15,158.9,261.7,18.1,63.1,45,2.37
02-01-2020 02:30,153.4,256.6,18.3,61.4,43.18,2.23
02-01-2020 02:45,None,None,None,None,None,None
02-01-2020 03:00,141.7,245.3,19.9,61.1,41.16,1.99
02-01-2020 03:15,141.7,245.3,21.3,65.3,43.98,1.95
02-01-2020 03:30,138.6,242.4,21.8,64.8,43,1.88
02-01-2020 03:45,132,235.8,23.4,63.4,40.01,2.04
02-01-2020 04:00,132,235.8,26.2,62,35.84,1.66
02-01-2020 04:15,None,None,None,None,None,None
02-01-2020 04:30,127.5,233.1,45.9,79,33.13,1.33
02-01-2020 04:45,117.9,227.2,56.8,86.4,29.68,1.21
02-01-2020 05:00,117.9,227.2,48.7,79.2,30.51,1.47
02-01-2020 05:15,117.9,227.2,30.1,61.9,31.8,1.72
02-01-2020 05:30,118.7,225.2,17.6,49.8,32.17,1.48
02-01-2020 05:45,120.2,220.8,12.2,45.2,33,1.51
02-01-2020 06:00,None,None,None,None,None,None
02-01-2020 06:15,120.2,220.8,None,None,None,2.06
02-01-2020 06:30,None,None,None,None,None,None
02-01-2020 06:45,111.4,216.8,34.3,71.1,36.77,2.69
02-01-2020 07:00,111.4,216.8,29.7,67,37.35,2.67
02-01-2020 07:15,111.4,216.8,23.9,61,37.04,2.89
02-01-2020 07:30,112.2,218.1,20.9,60.2,39.29,3.1
02-01-2020 07:45,113.8,220.9,21.9,60.8,38.97,3.12
02-01-2020 08:00,None,None,None,None,None,None
02-01-2020 08:15,113.8,220.9,19.1,60.2,41.12,3.23
02-01-2020 08:30,115.9,218.3,17.4,57.8,40.39,3.76
02-01-2020 08:45,120.3,212.6,18.9,60.6,41.65,4.46
02-01-2020 09:00,120.3,212.6,18.8,60.9,42.05,5.53
02-01-2020 09:15,120.3,212.6,15.2,57,41.84,8.3
02-01-2020 09:30,120.7,220.6,14.5,60.9,46.35,11
02-01-2020 09:45,121.5,238.3,13,59.9,46.89,15.47
02-01-2020 10:00,121.5,238.3,10,55,45.01,20.72
02-01-2020 10:15,121.5,238.3,11,61.2,50.22,23.89
02-01-2020 10:30,None,None,None,None,None,None
02-01-2020 10:45,119.2,236.6,7.1,61.8,54.67,47
02-01-2020 11:00,119.2,236.6,6.4,61.4,54.97,53.8
02-01-2020 11:15,119.2,236.6,5.5,62.6,57.05,70
02-01-2020 11:30,117.8,233.9,4.7,55.2,50.55,79.28
02-01-2020 11:45,114.9,227.9,3.3,40.7,37.4,95.52
02-01-2020 12:00,114.9,227.9,3,38.2,35.19,105.12
02-01-2020 12:15,114.9,227.9,3.5,42.5,39.02,93.35
02-01-2020 12:30,115.3,221,3.9,45.6,41.75,100.63
02-01-2020 12:45,115.9,205.6,3.7,43.4,39.71,106.54
02-01-2020 13:00,115.9,205.6,None,None,None,None
02-01-2020 13:15,115.9,205.6,2.3,31.5,29.18,121.09
02-01-2020 13:30,113.5,201.1,2.2,33.2,30.97,127.77
02-01-2020 13:45,108.4,191.2,2.7,32.3,29.56,140.26
02-01-2020 14:00,108.4,191.2,3,32.1,29.08,140.63
02-01-2020 14:15,None,None,None,None,None,None
02-01-2020 14:30,102.4,184.9,3.3,29.1,25.8,134.96
02-01-2020 14:45,None,None,None,None,None,None
02-01-2020 15:00,89.7,170.9,2.4,34.8,32.36,113.48
02-01-2020 15:15,89.7,170.9,2.7,41.3,38.65,110.16
02-01-2020 15:30,83.8,162.4,None,None,None,106.03
02-01-2020 15:45,71.5,143.6,None,None,None,79.1
02-01-2020 16:00,71.5,143.6,None,None,None,69.25
02-01-2020 16:15,71.5,143.6,None,None,None,57.71
02-01-2020 16:30,79.4,152.1,None,None,None,35.83
02-01-2020 16:45,95.9,171,None,None,None,10.53
02-01-2020 17:00,95.9,171,26.7,113.1,86.45,3.78
02-01-2020 17:15,95.9,171,17.6,139.2,121.66,4.68
02-01-2020 17:30,96.7,181.1,9,128.8,119.77,4.6
02-01-2020 17:45,None,None,None,None,None,None
02-01-2020 18:00,98.4,203.5,17.9,131.9,114,3.24
02-01-2020 18:15,98.4,203.5,24.5,137.8,113.3,4.21
02-01-2020 18:30,101.1,214.5,37.3,152.9,115.67,3.65
02-01-2020 18:45,106.9,238.9,32.5,146.8,114.32,4.23
02-01-2020 19:00,106.9,238.9,42.2,150.3,108.13,4.08
02-01-2020 19:15,106.9,238.9,45.7,156.2,110.5,3.96
02-01-2020 19:30,108.6,240.4,40.2,147.5,107.28,3.59
02-01-2020 19:45,112.1,243.5,70.1,177.3,107.17,4.02
02-01-2020 20:00,112.1,243.5,59.2,165,105.79,4.2
02-01-2020 20:15,112.1,243.5,102.3,207.1,104.75,3.8
02-01-2020 20:30,None,None,None,None,None,None
02-01-2020 20:45,119.6,243.1,151.3,247.2,95.88,4.22
02-01-2020 21:00,None,None,None,None,None,None
02-01-2020 21:15,119.6,243.1,239.9,326.1,86.21,4.01
