,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
96,2020-01-01 00:00:00,112.2,245.5,119.1,82.6,201.7,11.91,10.9
97,2020-01-01 00:15:00,108.4,236.2,96.6,73.6,170.3,11.98,21.6
98,2020-01-01 00:30:00,106.1,230.5,80.5,68.5,149.0,12.34,12.6
99,2020-01-01 00:45:00,106.1,230.5,74.1,61.0,135.1,13.46,8.1
100,2020-01-01 01:00:00,106.1,230.5,67.7,48.5,116.2,17.41,6.4
101,2020-01-01 01:15:00,104.8,217.6,66.7,45.3,112.0,19.77,5.2
102,2020-01-01 01:30:00,104.1,209.7,63.7,35.6,99.3,24.49,4.8
103,2020-01-01 01:45:00,104.1,209.7,61.1,36.2,97.3,25.15,4.5
104,2020-01-01 02:00:00,104.1,209.7,57.5,35.1,92.6,26.7,3.7
105,2020-01-01 02:15:00,89.1,166.4,63.6,46.4,110.0,21.63,4.3
106,2020-01-01 02:30:00,80.1,140.0,52.2,39.9,92.1,21.1,4.0
107,2020-01-01 02:45:00,80.1,140.0,55.3,43.0,98.3,20.94,4.0
108,2020-01-01 03:00:00,80.1,140.0,49.2,36.5,85.7,21.81,4.8
109,2020-01-01 03:15:00,76.1,118.9,49.1,44.1,93.2,17.04,4.7
110,2020-01-01 03:30:00,73.7,106.1,48.9,45.0,93.9,16.41,4.4
111,2020-01-01 03:45:00,73.7,106.1,44.2,51.9,96.1,15.43,4.1
112,2020-01-01 04:00:00,73.7,106.1,58.4,58.0,116.4,12.82,3.6
113,2020-01-01 04:15:00,59.0,100.9,80.9,68.2,149.2,10.97,4.3
114,2020-01-01 04:30:00,50.1,97.8,52.2,53.4,105.6,11.35,4.4
115,2020-01-01 04:45:00,50.1,97.8,56.8,55.8,112.6,11.1,4.4
116,2020-01-01 05:00:00,50.1,97.8,49.1,54.1,103.2,11.23,4.2
117,2020-01-01 05:15:00,51.6,99.6,42.7,36.4,79.1,19.76,4.1
118,2020-01-01 05:30:00,52.6,100.7,39.2,25.9,65.1,27.9,3.9
119,2020-01-01 05:45:00,52.6,100.7,37.5,17.9,55.4,36.58,3.9
120,2020-01-01 06:00:00,52.6,100.7,35.9,19.3,55.2,38.24,3.8
121,2020-01-01 06:15:00,43.3,89.4,34.0,22.2,56.2,37.67,4.4
122,2020-01-01 06:30:00,37.7,82.5,36.0,23.6,59.7,37.49,4.5
123,2020-01-01 06:45:00,37.7,82.5,33.1,25.9,59.0,37.36,5.3
124,2020-01-01 07:00:00,37.7,82.5,30.4,28.1,58.4,34.15,6.0
125,2020-01-01 07:15:00,37.4,80.6,32.5,34.0,66.5,33.07,5.8
126,2020-01-01 07:30:00,37.2,79.4,30.8,38.4,69.1,28.51,6.0
127,2020-01-01 07:45:00,37.2,79.4,37.8,51.6,89.4,19.26,7.6
128,2020-01-01 08:00:00,37.2,79.4,31.0,37.7,68.7,27.31,4.2
129,2020-01-01 08:15:00,37.7,84.0,31.6,38.6,70.2,30.14,5.7
130,2020-01-01 08:30:00,38.0,86.9,31.9,41.5,73.4,29.4,6.3
131,2020-01-01 08:45:00,38.0,86.9,27.5,38.0,65.4,32.51,7.7
132,2020-01-01 09:00:00,38.0,86.9,29.9,35.9,65.8,32.98,5.3
133,2020-01-01 09:15:00,40.9,91.2,31.1,48.2,79.3,28.49,6.2
134,2020-01-01 09:30:00,42.7,93.9,32.4,44.5,76.9,28.89,7.2
135,2020-01-01 09:45:00,42.7,93.9,28.0,41.4,69.3,31.45,5.6
136,2020-01-01 10:00:00,42.7,93.9,28.8,40.6,69.4,31.36,4.4
137,2020-01-01 10:15:00,37.5,97.0,31.4,51.4,82.8,30.03,5.6
138,2020-01-01 10:30:00,34.3,98.9,28.6,42.2,70.8,32.75,5.6
139,2020-01-01 10:45:00,34.3,98.9,27.7,36.1,63.8,35.28,5.6
140,2020-01-01 11:00:00,34.3,98.9,27.8,41.3,69.0,32.63,5.0
141,2020-01-01 11:15:00,36.9,97.1,26.6,41.9,68.4,32.89,5.4
142,2020-01-01 11:30:00,38.5,96.0,21.2,37.0,58.2,35.32,5.0
143,2020-01-01 11:45:00,38.5,96.0,28.3,45.8,74.2,29.16,4.9
144,2020-01-01 12:00:00,38.5,96.0,25.5,43.9,69.4,31.52,4.4
145,2020-01-01 12:15:00,43.8,99.4,22.0,39.9,61.9,35.81,5.0
